"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INTP0086","2020-12","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","8",",N","5",",N","0",",N","","","","","21.1",",,N,12,","47.9",",,,N","",""
"US1INTP0086","2021-01","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","11","1,N","5","1,N","0","1,N","","","","","18.5","1,,N,31,","58.2","1,,,N","",""
"US1INTP0086","2021-02","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","10","2,N","5","2,N","0","2,N","3","4,N","165","4,,N,16,","8.1","2,,N,16,","27.2","2,,,N","304","4,,,N"
"US1INTP0086","2021-03","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","10",",N","9",",N","0",",N","","","","","23.4",",,N,19,","90.2",",,,N","",""
"US1INTP0086","2021-04","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","9",",N","3",",N","1",",N","","","","","43.2",",,N,29,","69.7",",,,N","",""
"US1INTP0086","2021-05","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","13","2,N","9","2,N","0","2,N","","","","","15.0","2,,N,27,","124.8",",a,,N","",""
"US1INTP0086","2021-06","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","11",",N","8",",N","3",",N","","","","","46.7",",,N,28,","174.1",",,,N","",""
"US1INTP0086","2021-07","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","13","1,N","9","1,N","1","1,N","","","","","40.1","1,,N,08,","92.9","1,,,N","",""
"US1INTP0086","2021-08","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","8",",N","6",",N","0",",N","0","5,N","0","5,,N,31,+","16.0",",,N,27,","55.2",",,,N","0","5,,,N"
"US1INTP0086","2021-09","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","8",",N","6",",N","0",",N","","","","","19.1",",,N,22,","55.5",",,,N","",""
"US1INTP0086","2021-10","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","17","1,N","10","1,N","3","1,N","","","","","64.8","1,,N,25,","217.8","1,,,N","",""
"US1INTP0086","2021-11","40.529","-86.929","206.7","WEST LAFAYETTE 5.9 N, IN US","6","5,N","4","5,N","0","5,N","","","","","5.8","5,,N,22,","31.5","1,a,,N","",""
