"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILDP0014","2007-11","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","8","3,N","2","3,N","0","3,N","0","3,N","0","3,T,N,22,","22.4","3,,N,21,","44.3","1,a,,N","0","3,T,,N"
"US1ILDP0014","2007-12","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","16",",N","9",",N","0",",N","3",",N","127",",,N,05,","17.0",",,N,02,","91.6",",,,N","297",",,,N"
"US1ILDP0014","2008-01","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","11",",N","7",",N","1",",N","4",",N","89",",,N,01,","31.8",",,N,08,","74.7",",,,N","273",",,,N"
"US1ILDP0014","2008-02","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","14",",N","10",",N","0",",N","6",",N","203",",,N,01,","18.8",",,N,17,","98.2",",,,N","659",",,,N"
"US1ILDP0014","2008-03","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","6","4,N","5","4,N","0","4,N","1","4,N","25","4,,N,22,","10.9","4,,N,31,","30.9","4,,,N","48","4,,,N"
"US1ILDP0014","2008-04","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","13","2,N","8","2,N","0","2,N","0","2,N","0","2,T,N,13,","22.4","2,,N,09,","93.9","2,,,N","0","2,T,,N"
"US1ILDP0014","2008-09","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","9","5,N","7","5,N","5","5,N","0","5,N","0","5,,N,30,+","72.6","5,,N,05,","279.4","5,,,N","0","5,,,N"
"US1ILDP0014","2008-10","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","11",",N","5",",N","1",",N","0",",N","0",",,N,31,+","29.2",",,N,08,","66.5",",,,N","0",",,,N"
"US1ILDP0014","2008-11","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","9","3,N","3","3,N","0","3,N","0","3,N","0","3,T,N,25,+","8.9","3,,N,07,","30.8","1,a,,N","0","3,T,,N"
"US1ILDP0014","2008-12","41.781053","-87.964079","228.9","WESTMONT 1.2 SSE, IL US","19","1,N","12","1,N","1","1,N","7","4,N","114","4,,N,17,","35.6","1,,N,28,","178.5","1,,,N","576","4,,,N"
