"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASC0054","2014-10","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","2","1,N","1","1,N","0","1,N","0","4,N","0","4,,N,31,+","4.1","1,,N,26,","4.6","1,,,N","0","4,,,N"
"US1CASC0054","2014-11","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","10","1,N","6","1,N","0","1,N","","","","","16.8","1,,N,01,","49.2","1,,,N","",""
"US1CASC0054","2014-12","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","14",",N","11",",N","2",",N","","","","","86.4",",,N,12,","232.8",",,,N","",""
"US1CASC0054","2015-01","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","0","3,N","0","3,N","0","3,N","0","4,N","0","4,,N,31,+","0.0","3,T,N,28,","0.0","3,T,,N","0","4,,,N"
"US1CASC0054","2015-02","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","5","2,N","3","2,N","1","2,N","","","","","49.3","2,,N,07,","71.0","2,,,N","",""
"US1CASC0054","2015-03","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","5","1,N","1","1,N","0","1,N","","","","","2.5","1,,N,12,","6.4","1,,,N","",""
"US1CASC0054","2015-07","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","0","3,N","0","3,N","0","3,N","","","","","0.0","3,T,N,16,+","0.0","3,T,,N","",""
"US1CASC0054","2015-08","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","1","2,N","0","2,N","0","2,N","0","4,N","0","4,,N,31,+","1.0","2,,N,07,","1.0","2,,,N","0","4,,,N"
"US1CASC0054","2015-09","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","0","2,N","0","2,N","0","2,N","0","4,N","0","4,,N,30,+","0.0","2,T,N,30,+","0.0","2,T,,N","0","4,,,N"
"US1CASC0054","2015-10","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","4","1,N","1","1,N","0","1,N","","","","","7.9","1,,N,01,","11.0","1,,,N","",""
"US1CASC0054","2015-11","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","7",",N","6",",N","0",",N","","","","","17.3",",,N,03,","75.0",",,,N","",""
"US1CASC0054","2015-12","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","13","2,N","8","2,N","0","2,N","","","","","12.7","2,,N,11,","63.2","2,,,N","",""
"US1CASC0054","2016-01","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","","","","","","","","","","","","","177.6","4,a,,N","",""
"US1CASC0054","2016-02","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","5","2,N","3","2,N","1","2,N","","","","","28.4","2,,N,18,","36.6","2,,,N","",""
"US1CASC0054","2016-05","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","2","2,N","1","2,N","0","2,N","","","","","9.7","2,,N,07,","10.2","2,,,N","",""
"US1CASC0054","2016-06","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASC0054","2016-07","37.009232","-121.577019","64.3","GILROY 0.1 SE, CA US","0","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","0.0","1,,N,31,+","0.0","1,,,N","0","1,,,N"
