"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10keit018","2007-05","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","9",",N","7",",N","1",",N","","","","","29.0",",,N,22,","96.0",",,,N","",""
"US10keit018","2007-06","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","7",",N","5",",N","2",",N","","","","","40.1",",,N,13,","142.8",",,,N","",""
"US10keit018","2007-07","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","10",",N","6",",N","0",",N","0","4,N","0","4,,N,31,+","23.6",",,N,09,","69.1",",,,N","0","4,,,N"
"US10keit018","2007-08","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","8",",N","5",",N","1",",N","","","","","25.9",",,N,08,","69.4",",,,N","",""
"US10keit018","2007-09","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","6",",N","3",",N","0",",N","","","","","7.4",",,N,24,","23.7",",,,N","",""
"US10keit018","2007-10","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","3",",N","2",",N","0",",N","","","","","14.0",",,N,15,","21.6",",,,N","",""
"US10keit018","2007-11","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","1",",N","0",",N","0",",N","","","","","1.0",",,N,21,","1.0",",,,N","",""
"US10keit018","2007-12","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","5",",N","3",",N","0",",N","","","","","6.6",",,N,09,","16.5",",,,N","",""
"US10keit018","2008-01","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","1",",N","0",",N","0",",N","","","","","0.3",",,N,21,","0.3",",,,N","",""
"US10keit018","2008-02","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","1",",N","0",",N","0",",N","","","","","0.8",",,N,05,","0.8",",,,N","",""
"US10keit018","2008-03","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","6",",N","1",",N","0",",N","","","","","2.8",",,N,31,","6.4",",,,N","",""
"US10keit018","2008-04","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","7",",N","6",",N","0",",N","","","","","19.8",",,N,11,","69.4",",,,N","",""
"US10keit018","2008-05","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","11",",N","8",",N","0",",N","","","","","19.6",",,N,10,","67.9",",,,N","",""
"US10keit018","2008-06","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","11",",N","5",",N","0",",N","","","","","13.2",",,N,06,","36.5",",,,N","",""
"US10keit018","2008-07","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","11",",N","6",",N","0",",N","","","","","14.7",",,N,16,","47.5",",,,N","",""
"US10keit018","2008-08","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","5",",N","2",",N","0",",N","","","","","3.8",",,N,15,+","10.7",",,,N","",""
"US10keit018","2008-09","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","9",",N","5",",N","0",",N","","","","","22.1",",,N,13,","58.5",",,,N","",""
"US10keit018","2008-10","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","5",",N","5",",N","1",",N","","","","","26.2",",,N,12,","54.6",",,,N","",""
"US10keit018","2008-11","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","2",",N","2",",N","0",",N","","","","","3.0",",,N,06,","5.5",",,,N","",""
"US10keit018","2008-12","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","2",",N","1",",N","0",",N","","","","","4.6",",,N,19,","5.1",",,,N","",""
"US10keit018","2009-01","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","6",",N","2",",N","0",",N","","","","","3.0",",,N,08,","11.6",",,,N","",""
"US10keit018","2009-02","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","4",",N","3",",N","0",",N","","","","","8.1",",,N,10,","22.1",",,,N","",""
"US10keit018","2009-03","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","4",",N","1",",N","0",",N","","","","","9.7",",,N,08,","12.2",",,,N","",""
"US10keit018","2009-04","41.2119","-101.8374","1049.1","BRULE 8.6 NNE, NE US","12",",N","9",",N","1",",N","","","","","28.7",",,N,18,","106.3",",,,N","",""
