"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA006158480","1965-11","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","15",",C","8",",C","1",",C","1",",C","48",",,C,16,","25.4",",,C,16,","95.2",",,,C","70",",,,C"
"CA006158480","1965-12","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","15",",C","6",",C","0",",C","2",",C","61",",,C,25,","19.6",",,C,24,","60.7",",,,C","129",",,,C"
"CA006158480","1966-01","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","14",",C","7",",C","0",",C","6",",C","152",",,C,22,","15.2",",,C,22,","55.1",",,,C","510",",,,C"
"CA006158480","1966-02","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","9",",C","4",",C","0",",C","2",",C","56",",,C,13,","17.0",",,C,28,","37.8",",,,C","139",",,,C"
"CA006158480","1966-03","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","13",",C","9",",C","0",",C","3",",C","97",",,C,24,","12.4",",,C,04,","60.7",",,,C","219",",,,C"
"CA006158480","1966-04","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","14",",C","8",",C","0",",C","3",",C","38",",,C,01,","7.9",",,C,28,","43.2",",,,C","157",",,,C"
"CA006158480","1966-05","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","11",",C","7",",C","0",",C","0",",C","13",",,C,03,","17.3",",,C,18,","61.2",",,,C","13",",,,C"
"CA006158480","1966-06","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","8",",C","5",",C","1",",C","0",",C","0",",,C,30,+","29.7",",,C,09,","62.6",",,,C","0",",,,C"
"CA006158480","1966-07","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","4",",C","3",",C","0",",C","0",",C","0",",,C,31,+","11.9",",,C,28,","28.4",",,,C","0",",,,C"
"CA006158480","1966-08","43.8","-79.35","175.0","TORONTO DUNN LORING WOOD, ON CA","11",",C","7",",C","0",",C","0",",C","0",",,C,31,+","11.9",",,C,22,","57.7",",,,C","0",",,,C"
