"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00344393","1947-12","36.91667","-96.1","226.8","HULAH DAM, OK US","","","0.0","1,6","4",",6","3",",6","0",",6","","","","","0","1,6","24","1,6","1",",6","0",",6","0",",6","1","","1","","-12.2","1,6,16,","","","","","14.7",",,6,04,","20.6",",6,30,","","","","","438.5",",6","","","","","29.2",",,,6","","","3.71","1,6","10.94",",,,6","-3.52","1,,,6","2984",",,,6"
"USC00344393","1948-01","36.91667","-96.1","226.8","HULAH DAM, OK US","","","","","1","5,0","0","5,0","0","5,0","0","5,0","0","5,0","","","","","","","","","","","1","","","","","","0","5,T,0,31,+","13","5,,0,31,+","1.3","5,,0,26,","","","","","","","","","","","","","1.3","5,,,0","26","5,,,0","","","","","","","",""
"USC00344393","1948-02","36.91667","-96.1","226.8","HULAH DAM, OK US","","","0.0",",0","12",",0","3",",0","0",",0","6",",0","1",",0","0",",0","23",",0","3",",0","5",",0","0",",0","1","","","","-13.3",",0,09,","25",",,0,13,+","30",",,0,06,","6.6",",,0,27,","23.9",",0,18,","","","","","476.2",",0","","","","","23.0",",,,0","69",",,,0","1.91",",0","8.36",",,,0","-4.53",",,,0","3847",",,,0"
"USC00344393","1948-03","36.91667","-96.1","226.8","HULAH DAM, OK US","","","4.5","2,0","10","2,0","6","2,0","0","2,0","6",",0","2","2,0","2","2,0","12","2,0","1","2,0","8","2,0","0","2,0","","","2","","-19.4","2,0,11,","102",",,0,13,+","119","2,,0,11,","23.4","2,,0,23,","28.3","2,0,21,","","","","","314.1","2,0","","","","","96.1","2,,,0","231","2,,,0","7.66","2,0","14.17","2,,,0","1.14","2,,,0","7273",",,,0"
"USC00344393","1948-04","36.91667","-96.1","226.8","HULAH DAM, OK US","","","50.6",",0","6",",0","4",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","23",",0","2",",0","","","4","","-1.1",",0,02,+","0",",,0,30,+","0",",,0,30,+","82.6",",,0,25,","32.8",",0,19,+","212.1","1,,,0","","","72.8",",0","","","","","131.1",",,,0","0",",,,0","17.59",",0","24.31",",,,0","10.87",",,,0","5369",",,,0"
"USC00344393","1948-05","36.91667","-96.1","226.8","HULAH DAM, OK US","","","47.6","1,0","6",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","26",",0","1",",0","","","4","","2.8","1,0,07,","0",",,0,31,+","0",",,0,31,+","63.0",",,0,10,","32.8",",0,01,","175.2","1,,,0","","","33.6",",0","","","","","88.7",",,,0","0",",,,0","18.81","1,0","25.47",",,,0","12.15","1,,,0","3077",",,,0"
"USC00344393","1948-06","36.91667","-96.1","226.8","HULAH DAM, OK US","","","176.2",",0","9",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","","","12","","9.4",",0,03,+","0",",,0,30,+","0",",,0,30,+","88.9",",,0,22,","36.7",",0,19,","225.0","1,,,0","","","0.0",",0","","","","","208.0",",,,0","0",",,,0","24.21",",0","31.87",",,,0","16.54",",,,0","2652",",,,0"
"USC00344393","1948-07","36.91667","-96.1","226.8","HULAH DAM, OK US","","","222.3","2,0","13",",0","11",",0","3",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","30","1,0","17","1,0","","","15","","13.9","2,0,10,","0",",,0,31,+","0",",,0,31,+","60.7",",,0,15,","36.1","1,0,28,","179.1","4,,,0","0.0","0","0.0","1,0","","","","","202.0",",,,0","0",",,,0","25.93","2,0","31.68","1,,,0","20.19","2,,,0","5366",",,,0"
"USC00344393","1948-08","36.91667","-96.1","226.8","HULAH DAM, OK US","","","187.6","4,0","10",",0","6",",0","3",",0","0",",0","0",",0","0","4,0","0","4,0","0","1,0","30","1,0","16","1,0","","","5","","12.2","4,0,05,","0",",,0,31,+","0",",,0,31,+","52.1",",,0,12,","35.6","1,0,23,","","","0.0","0","0.0","1,0","","","","","144.5",",,,0","0",",,,0","25.09","4,0","31.05","1,,,0","19.13","4,,,0","4622",",,,0"
"USC00344393","1948-09","36.91667","-96.1","226.8","HULAH DAM, OK US","","","106.0","5,0","1",",0","1",",0","0",",0","0",",0","0",",0","0","5,0","0","5,0","0","5,0","25","5,0","11","5,0","","","","","5.0","5,0,27,","0",",,0,30,+","0",",,0,30,+","4.3",",,0,08,","36.1","5,0,21,","177.2","5,,,0","13.0","0","13.0","5,0","","","","","4.3",",,,0","0",",,,0","22.05","5,0","30.44","5,,,0","13.66","5,,,0","10152",",,,0"
"USC00344393","1948-10","36.91667","-96.1","226.8","HULAH DAM, OK US","","","8.4","1,0","5",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","9","1,0","0","1,0","25","1,0","0","1,0","","","","","-6.1","1,0,18,","0",",,0,31,+","0",",,0,31,+","3.8",",,0,06,","30.0","1,0,14,+","132.3","1,,,0","140.5","0","127.5","1,0","","","","","8.6",",,,0","0",",,,0","14.36","1,0","24.61","1,,,0","4.12","1,,,0","3826",",,,0"
"USC00344393","1948-11","36.91667","-96.1","226.8","HULAH DAM, OK US","","","0.0","2,0","6",",0","4",",0","2",",0","0",",0","0",",0","0","1,0","16","1,0","0","2,0","4","2,0","0","2,0","1","","2","","-8.9","1,0,21,","0",",,0,30,+","0",",T,0,19,","31.2",",,0,28,","26.7","2,0,05,","77.3","1,,,0","431.2","0","290.7","2,0","","","","","72.7",",,,0","0",",T,,0","7.81","2,0","15.23","2,,,0","0.40","1,,,0","4915",",,,0"
"USC00344393","1948-12","36.91667","-96.1","226.8","HULAH DAM, OK US","","","0.0","2,0","9",",0","5",",0","0",",0","0",",0","0",",0","0","2,0","26","2,0","1","1,0","2","1,0","0","1,0","","","","","-12.8","2,0,30,","0",",,0,31,+","0",",,0,31,+","4.6",",,0,05,","25.0","1,0,14,","","","868.2","0","437.0","1,0","","","","","20.0",",,,0","0",",,,0","3.45","2,0","10.96","1,,,0","-4.06","2,,,0","5296",",,,0"
"USC00344393","1949-01","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0",",0","13",",0","12",",0","2",",0","","","6",",0","5",",0","28",",0","14",",0","0",",0","0",",0","3","","","","-29.4",",0,30,","","","89",",,0,18,","42.2",",,0,11,","20.0",",0,09,","","","1511.0","0","642.8",",0","","","","","164.5",",,,0","332",",,,0","-2.40",",0","3.53",",,,0","-8.33",",,,0","4287","1,,,0"
"USC00344393","1949-02","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0","1,0","4",",0","3",",0","1",",0","1",",0","1",",0","1","1,0","23","1,0","3","1,0","0","1,0","0","1,0","","","","","-18.9","1,0,01,","25",",,0,14,","25",",,0,14,","30.5",",,0,14,","20.0","1,0,19,","","","1946.7","0","435.7","1,0","","","","","53.3",",,,0","25",",,,0","2.19","1,0","8.87","1,,,0","-4.49","1,,,0","4850","2,,,0"
"USC00344393","1949-03","36.91667","-96.1","226.8","HULAH DAM, OK US","0.3","0","0.3","5,0","10",",0","6",",0","0",",0","0",",0","1",",0","0","5,0","14","5,0","0","3,0","9","3,0","0","3,0","","","","","-8.3","5,0,15,","0",",T,0,10,+","48",",,0,02,","18.0",",,0,26,","26.1","3,0,29,","106.5","4,,,0","2252.2","0","305.5","3,0","","","","","48.2",",,,0","48",",,,0","6.97","5,0","13.81","3,,,0","0.13","5,,,0","8541",",,,0"
"USC00344393","1949-04","36.91667","-96.1","226.8","HULAH DAM, OK US","22.5","0","22.2","1,0","7",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","4","1,0","0","1,0","13","1,0","1","1,0","","","","","-2.2","1,0,16,","0",",T,0,02,","13",",,0,02,","24.1",",,0,10,","32.8","1,0,25,","159.4","2,,,0","2412.0","0","159.8","1,0","","","","","61.6",",,,0","13",",,,0","13.59","1,0","20.01","1,,,0","7.16","1,,,0","5620",",,,0"
"USC00344393","1949-05","36.91667","-96.1","226.8","HULAH DAM, OK US","95.4","0","72.9","5,0","10",",0","7",",0","2",",0","0",",0","0",",0","0","3,0","0","3,0","0","5,0","25","5,0","0","5,0","","","","","7.8","3,0,11,","0",",,0,31,+","0",",,0,31,+","33.5",",,0,19,","30.6","5,0,07,+","13.3","4,,,0","2419.2","0","7.2","5,0","","","","","132.6",",,,0","0",",,,0","20.75","5,0","27.25","5,,,0","14.25","3,,,0","6159",",,,0"
"USC00344393","1949-06","36.91667","-96.1","226.8","HULAH DAM, OK US","293.1","0","197.7","1,0","11",",0","5",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","13","1,0","","","","","12.2","1,0,16,","0",",,0,30,+","0",",,0,30,+","26.4",",,0,09,","35.6","1,0,23,","182.7","2,,,0","2419.2","0","0.0","1,0","","","","","58.0",",,,0","0",",,,0","25.15","1,0","31.16","1,,,0","19.14","1,,,0","3469",",,,0"
"USC00344393","1949-07","36.91667","-96.1","226.8","HULAH DAM, OK US","547.7","0","254.6","1,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","20",",0","","","","","15.6","1,0,31,","0",",,0,31,+","0",",,0,31,+","21.3",",,0,15,","36.7",",0,04,+","224.6",",,,0","0.0","0","0.0",",0","","","","","104.2",",,,0","0",",,,0","26.81","1,0","32.62",",,,0","21.00","1,,,0","1979",",,,0"
"USC00344393","1949-08","36.91667","-96.1","226.8","HULAH DAM, OK US","714.6","0","166.9","5,0","5",",0","4",",0","1",",0","0",",0","0",",0","0","5,0","0","5,0","0","4,0","27","4,0","17","4,0","","","","","8.3","5,0,22,","0",",,0,31,+","0",",,0,31,+","38.9",",,0,14,","37.8","4,0,14,","182.5","4,,,0","0.8","0","0.8","4,0","","","","","67.9",",,,0","0",",,,0","24.57","5,0","32.08","4,,,0","17.07","5,,,0","1717","2,,,0"
"USC00344393","1949-09","36.91667","-96.1","226.8","HULAH DAM, OK US","760.1","0","45.5","4,0","10",",0","8",",0","1",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","21","4,0","2","4,0","","","","","0.6","4,0,29,","0",",,0,30,+","0",",,0,30,+","36.3",",,0,18,","34.4","4,0,13,","","","43.2","0","42.4","4,0","","","","","104.1",",,,0","0",",,,0","18.45","4,0","25.72","4,,,0","11.18","4,,,0","8607",",,,0"
"USC00344393","1949-10","36.91667","-96.1","226.8","HULAH DAM, OK US","797.6","0","37.5","1,0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0","1,0","24","1,0","0","1,0","1","","","","-2.8",",0,31,","0",",,0,31,+","0",",,0,31,+","28.4",",,0,21,","31.1","1,0,08,+","125.6","2,,,0","157.8","0","114.6","1,0","","","","","93.0",",,,0","0",",,,0","15.72","1,0","23.59","1,,,0","7.84",",,,0","5417",",,,0"
"USC00344393","1949-11","36.91667","-96.1","226.8","HULAH DAM, OK US","801.5","0","3.9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","12",",0","0",",0","","","","","-8.9",",0,22,","0",",,0,30,+","0",",,0,30,+","0.8",",,0,12,","27.2",",0,11,","117.7",",,,0","426.7","0","268.9",",0","","","","","0.8",",,,0","0",",,,0","9.50",",0","18.41",",,,0","0.59",",,,0","4459",",,,0"
"USC00344393","1949-12","36.91667","-96.1","226.8","HULAH DAM, OK US","801.5","0","0.0","1,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","28","1,0","1","1,0","1","1,0","0","1,0","1","","","","-12.8","1,0,15,","0",",T,0,26,+","3",",,0,21,","24.1",",,0,21,","21.7","1,0,21,","64.6","3,,,0","874.7","0","448.0","1,0","","","","","39.4",",,,0","3",",,,0","3.40","1,0","11.76","1,,,0","-4.96","1,,,0","3556",",,,0"
"USC00344393","1950-01","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0","3,0","5","2,0","2","2,0","0","2,0","0",",0","0",",0","0","3,0","23","3,0","8","3,0","2","3,0","0","3,0","3","","","","-15.6","3,0,05,+","0",",T,0,31,+","8",",,0,30,","7.4","2,,0,13,","26.7","3,0,25,","","","1372.7","0","498.0","3,0","","","","","21.6",",a,,0","135",",a,,0","0.55","3,0","7.64","3,,,0","-6.55","3,,,0","21054",",,,0"
"USC00344393","1950-02","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0","1,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","22","1,0","1",",0","3",",0","0",",0","4","","1","","-12.8","1,0,03,","0",",T,0,01,","0",",T,0,15,+","14.0",",,0,12,","23.3",",0,18,+","","","1720.5","0","347.8",",0","","","","","19.9",",,,0","0",",T,,0","5.48","1,0","14.46",",,,0","-3.50","1,,,0","3186",",,,0"
"USC00344393","1950-03","36.91667","-96.1","226.8","HULAH DAM, OK US","4.7","0","4.7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","20",",0","1",",0","10",",0","0",",0","","","","","-11.1",",0,13,","0",",,0,31,+","0",",T,0,19,+","15.2",",,0,16,","29.4",",0,25,","","","2050.8","0","330.3",",0","","","","","22.1",",,,0","0",",T,,0","7.83",",0","16.33",",,,0","-0.67",",,,0","5905","2,,,0"
"USC00344393","1950-04","36.91667","-96.1","226.8","HULAH DAM, OK US","31.4","0","26.7","2,0","4",",0","1",",0","0",",0","0",",0","0",",0","0","2,0","5","2,0","0","2,0","18","2,0","0","2,0","","","","","-6.7","2,0,06,","0",",,0,30,+","0",",,0,30,+","5.3",",,0,29,","31.7","2,0,23,","197.4","2,,,0","2184.6","0","133.8","2,0","","","","","8.6",",,,0","0",",,,0","14.51","2,0","22.57","2,,,0","6.45","2,,,0","5742","2,,,0"
"USC00344393","1950-05","36.91667","-96.1","226.8","HULAH DAM, OK US","102.8","0","71.4","3,0","17",",0","10",",0","1",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","26","3,0","2","3,0","","","","","5.0","3,0,01,","0",",,0,31,+","0",",,0,31,+","38.1",",,0,07,","33.3","3,0,03,","","","2204.1","0","19.5","3,0","","","","","150.7",",,,0","0",",,,0","20.19","3,0","27.06","3,,,0","13.31","3,,,0","",""
"USC00344393","1950-06","36.91667","-96.1","226.8","HULAH DAM, OK US","263.8","0","161.0","4,0","7",",0","7",",0","2",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","26","4,0","12","4,0","","","","","9.4","4,0,05,","0",",,0,30,+","0",",,0,30,+","43.9",",,0,10,","35.6","4,0,27,+","","","2206.6","0","2.5","4,0","","","","","130.7",",,,0","0",",,,0","24.43","4,0","30.57","4,,,0","18.29","4,,,0","",""
"USC00344393","1950-07","36.91667","-96.1","226.8","HULAH DAM, OK US","402.7","0","138.9","5,0","14","2,0","12","2,0","5","2,0","0",",0","0",",0","0","5,0","0","5,0","0","5,0","26","5,0","4","5,0","","","","","10.0","5,0,14,","0",",,0,31,+","0",",,0,31,+","45.0","2,,0,30,","32.8","5,0,31,","","","0.0","0","0.0","5,0","","","","","302.5",",a,,0","0",",,,0","23.68","5,0","29.42","5,,,0","17.93","5,,,0","",""
"USC00344393","1950-08","36.91667","-96.1","226.8","HULAH DAM, OK US","553.3","0","150.6","3,0","10",",0","9",",0","1",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","28","3,0","5","3,0","","","","","8.9","3,0,21,","0",",,0,31,+","0",",,0,31,+","41.9",",,0,17,","34.4","3,0,14,","","","0.0","0","0.0","3,0","","","","","135.5",",,,0","0",",,,0","23.71","3,0","29.81","3,,,0","17.61","3,,,0","",""
"USC00344393","1950-09","36.91667","-96.1","226.8","HULAH DAM, OK US","630.5","0","77.2","3,0","5",",0","4",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","2,0","28","2,0","0","2,0","","","","","7.2","3,0,25,","0",",,0,30,+","0",",,0,30,+","10.2",",,0,15,","31.7","2,0,19,","","","7.7","0","7.7","2,0","","","","","27.7",",,,0","0",",,,0","20.90","3,0","27.03","2,,,0","14.77","3,,,0","",""
"USC00344393","1950-10","36.91667","-96.1","226.8","HULAH DAM, OK US","664.5","0","34.0","4,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","1,0","28","1,0","4","1,0","","","","","2.8","4,0,09,","0",",,0,31,+","0",",,0,31,+","7.1",",,0,03,","34.4","1,0,26,","","","41.7","0","34.0","1,0","","","","","8.9",",,,0","0",",,,0","18.42","4,0","28.10","1,,,0","8.74","4,,,0","",""
"USC00344393","1950-11","36.91667","-96.1","226.8","HULAH DAM, OK US","","","","","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","2.5",",,0,03,","","","","","","","","","","","","","4.5",",,,0","0",",,,0","","","","","","","",""
"USC00344393","1950-12","36.91667","-96.1","226.8","HULAH DAM, OK US","","","0.0","5,0","1",",0","0",",0","0",",0","0",",0","0",",0","2","5,0","25","5,0","3","5,0","3","5,0","0","5,0","","","","","-18.3","5,0,07,","0",",T,0,14,+","0",",T,0,14,+","0.5",",,0,06,","25.0","5,0,01,","","","","","440.9","5,0","","","","","0.5",",,,0","0",",T,,0","1.38","5,0","10.60","5,,,0","-7.84","5,,,0","",""
"USC00344393","1951-01","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0",",0","1","2,0","1","2,0","0","2,0","0",",0","0",",0","0",",0","25",",0","4",",0","3",",0","0",",0","","","","","-17.2",",0,29,","0",",T,0,31,+","0",",T,0,31,+","10.9","2,,0,14,","23.3",",0,19,","","","","","485.3",",0","","","","","34.3",",a,,0","0",",T,,0","2.68",",0","10.57",",,,0","-5.22",",,,0","4781",",,,0"
"USC00344393","1951-02","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0",",0","9",",0","6",",0","1",",0","4","5,0","3",",0","2",",0","17",",0","3",",0","6",",0","0",",0","","","","","-25.0",",0,02,","127","5,,0,16,+","86",",,0,14,","33.0",",,0,20,","25.6",",0,11,","","","","","368.7",",0","","","","","65.1",",,,0","206",",,,0","5.17",",0","13.41",",,,0","-3.08",",,,0","",""
"USC00344393","1951-03","36.91667","-96.1","226.8","HULAH DAM, OK US","0.0","0","0.0","2,0","8",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","16","1,0","0","1,0","10","1,0","0","1,0","","","","","-9.4","1,0,19,","0",",T,0,12,","0",",T,0,12,","9.7",",,0,03,","29.4","1,0,23,+","","","","","304.8","1,0","","","","","42.9",",,,0","0",",T,,0","7.70","2,0","15.73","1,,,0","-0.33","1,,,0","5992","1,,,0"
