"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00391032","1948-03","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","0.0","3,0","2","1,0","0","1,0","0","1,0","8","5,0","","","4","3,0","23","3,0","9","1,0","0","1,0","0","1,0","1","","","","-30.6","3,0,11,","102","5,,0,08,+","","","1.5","1,,0,05,","20.6","1,0,24,","","","521.9","1,0","1.8","1,,,0","","","-0.27","3,0","6.00","1,,,0","-6.55","3,,,0"
"USC00391032","1948-04","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","3.4",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","7",",0","0",",0","17",",0","0",",0","","","","","-5.6",",0,01,","0",",,0,30,+","0",",,0,30,+","38.4",",,0,24,","30.0",",0,18,","","","186.0",",0","60.0",",,,0","0",",,,0","12.24",",0","20.27",",,,0","4.22",",,,0"
"USC00391032","1948-05","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","24.7","1,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","19",",0","2",",0","","","","","1.7","1,0,12,+","0",",,0,31,+","0",",,0,31,+","23.9",",,0,09,","34.4",",0,20,","","","120.2",",0","54.2",",,,0","0",",,,0","15.15","1,0","22.36",",,,0","7.93","1,,,0"
"USC00391032","1948-06","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","30.7","1,0","11",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","24","1,0","1","1,0","1","","","","5.6",",0,19,","0",",,0,30,+","0",",,0,30,+","108.2",",,0,17,","32.2","1,0,09,","","","28.7","1,0","255.8",",,,0","0",",,,0","18.41","1,0","24.67","1,,,0","12.16",",,,0"
"USC00391032","1948-07","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","133.2",",0","9","2,0","8","2,0","1","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","9.4",",0,23,","0",",,0,31,+","0",",,0,31,+","77.0","2,,0,29,","36.1",",0,06,+","0.9","0","0.9",",0","147.0",",a,,0","0",",,,0","22.60",",0","29.55",",,,0","15.65",",,,0"
"USC00391032","1948-08","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","146.7",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","11",",0","","","","","8.9",",0,05,","0",",,0,31,+","0",",,0,31,+","8.9",",,0,06,","38.3",",0,31,","7.6","0","6.7",",0","20.6",",,,0","0",",,,0","22.85",",0","30.12",",,,0","15.57",",,,0"
"USC00391032","1948-09","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","88.9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","11",",0","","","","","3.9",",0,30,+","0",",,0,30,+","0",",,0,30,+","16.5",",,0,06,","35.6",",0,15,+","45.1","0","37.5",",0","33.2",",,,0","0",",,,0","20.05",",0","28.40",",,,0","11.69",",,,0"
"USC00391032","1948-11","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","0.0",",0","4",",0","3",",0","1",",0","0","2,0","2","1,0","0",",0","23",",0","6",",0","0",",0","0",",0","","","","","-16.1",",0,28,","0","2,,0,30,+","381","1,,0,19,","55.1",",,0,19,","19.4",",0,01,","","","533.6",",0","69.6",",,,0","406","1,,,0","0.55",",0","5.97",",,,0","-4.88",",,,0"
"USC00391032","1948-12","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","","","0.0",",0","2",",0","0",",0","0",",0","2",",0","2",",0","2",",0","31",",0","21",",0","0",",0","0",",0","","","","","-20.6",",0,10,","51",",,0,19,","25",",,0,19,+","2.3",",,0,19,","7.8",",0,03,","","","786.3",",0","4.3",",,,0","50",",,,0","-7.03",",0","-1.42",",,,0","-12.65",",,,0"
"USC00391032","1949-01","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","0.0","0","0.0",",0","2","2,0","1","2,0","0","2,0","","","","","14",",0","31",",0","24",",0","0",",0","0",",0","","","","","-29.4",",0,21,","","","","","18.0","2,,0,04,","7.2",",0,07,","","","924.2",",0","22.6",",a,,0","","","-11.48",",0","-6.11",",,,0","-16.85",",,,0"
"USC00391032","1949-02","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","0.0","0","0.0","1,0","1",",0","0",",0","0",",0","","","0",",0","13",",0","28",",0","20","1,0","0","1,0","0","1,0","","","","","-26.1",",0,04,+","","","0",",,0,28,+","1.3",",,0,14,","6.7","1,0,23,+","","","743.2","1,0","1.3",",,,0","0",",,,0","-9.28","1,0","-2.57","1,,,0","-15.99",",,,0"
"USC00391032","1949-03","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","0.0","0","0.0",",0","11",",0","8",",0","1",",0","4",",0","7",",0","1",",0","28",",0","6",",0","0",",0","0",",0","5","","","","-19.4",",0,15,","102",",,0,31,","152",",,0,31,","33.0",",,0,30,","12.8",",0,24,","","","564.2",",0","96.4",",,,0","482",",,,0","0.13",",0","5.12",",,,0","-4.85",",,,0"
"USC00391032","1949-04","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","2.2","0","2.2","1,0","2",",0","1",",0","0",",0","2",",0","0",",0","0","1,0","13","1,0","0","1,0","10","1,0","1","1,0","","","","","-7.2","1,0,02,","51",",,0,02,+","0",",,0,30,+","12.7",",,0,15,","32.8","1,0,25,","","","266.6","1,0","13.2",",,,0","0",",,,0","9.22","1,0","17.28","1,,,0","1.15","1,,,0"
"USC00391032","1949-05","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","41.4","0","39.2",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","24",",0","2",",0","","","","","0.0",",0,24,","0",",,0,31,+","0",",,0,31,+","24.1",",,0,21,","35.0",",0,03,","","","63.9",",0","60.7",",,,0","0",",,,0","17.54",",0","25.28",",,,0","9.80",",,,0"
"USC00391032","1949-06","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","150.8","0","109.4",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","10",",0","","","","","7.8",",0,15,","0",",,0,30,+","0",",,0,30,+","12.4",",,0,12,","36.7",",0,25,","","","10.3",",0","39.9",",,,0","0",",,,0","21.64",",0","29.18",",,,0","14.10",",,,0"
"USC00391032","1949-07","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","363.0","0","212.2",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","","","","","7.2",",0,30,","0",",,0,31,+","0",",,0,31,+","14.7",",,0,09,","39.4",",0,03,","0.0","0","0.0",",0","21.6",",,,0","0",",,,0","25.18",",0","34.04",",,,0","16.32",",,,0"
"USC00391032","1949-08","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","530.0","0","167.0",",0","6",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","7.2",",0,31,","0",",,0,31,+","0",",,0,31,+","38.1",",,0,13,","38.3",",0,07,","3.4","0","3.4",",0","100.7",",,,0","0",",,,0","23.61",",0","32.15",",,,0","15.08",",,,0"
"USC00391032","1949-09","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","536.4","0","6.4",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","21",",0","0",",0","","","","","-2.8",",0,29,+","0",",,0,30,+","0",",,0,30,+","34.5",",,0,04,","30.0",",0,16,","117.6","0","114.2",",0","66.3",",,,0","0",",,,0","14.74",",0","23.18",",,,0","6.29",",,,0"
"USC00391032","1949-10","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","536.4","0","0.0",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","9",",0","0",",0","","","","","-11.1",",0,31,","0",",,0,31,+","0",",,0,31,+","14.5",",,0,10,","25.6",",0,05,","371.2","0","253.6",",0","22.3",",,,0","0",",,,0","10.15",",0","17.51",",,,0","2.80",",,,0"
"USC00391032","1949-11","43.55239","-97.50164","431.9","BRIDGEWATER, SD US","536.4","0","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","1",",0","0",",0","","","","","-8.9",",0,18,","0",",,0,30,+","0",",,0,30,+","9.1",",,0,12,","22.8",",0,10,","766.7","0","395.5",",0","9.1",",,,0","0",",,,0","5.15",",0","12.72",",,,0","-2.43",",,,0"
