"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORLA0075","2008-01","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","20",",N","16",",N","2",",N","0",",N","0",",,N,31,+","38.4",",,N,27,","190.8",",,,N","0",",,,N"
"US1ORLA0075","2008-02","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","16","3,N","5","3,N","0","3,N","0","3,N","0","3,,N,29,+","18.8","3,,N,01,","56.0","3,,,N","0","3,,,N"
"US1ORLA0075","2008-03","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","22",",N","17",",N","0",",N","0",",N","0",",,N,31,+","18.0",",,N,18,","145.4",",,,N","0",",,,N"
"US1ORLA0075","2008-04","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","17","3,N","9","3,N","0","3,N","0","3,N","0","3,,N,30,+","10.4","3,,N,29,","63.8","3,,,N","0","3,,,N"
"US1ORLA0075","2008-05","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","8","4,N","5","4,N","0","4,N","0","4,N","0","4,,N,31,+","6.1","4,,N,21,","24.4","4,,,N","0","4,,,N"
"US1ORLA0075","2008-06","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","11","1,N","2","1,N","0","1,N","0","1,N","0","1,,N,30,+","10.7","1,,N,03,","25.8","1,,,N","0","1,,,N"
"US1ORLA0075","2008-07","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","2","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","1.3","1,,N,30,","1.6","1,,,N","0","1,,,N"
"US1ORLA0075","2008-08","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","9",",N","1",",N","0",",N","0",",N","0",",,N,31,+","10.4",",,N,25,","18.4",",,,N","0",",,,N"
"US1ORLA0075","2008-09","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","4",",N","1",",N","0",",N","0",",N","0",",,N,30,+","2.8",",,N,25,","8.1",",,,N","0",",,,N"
"US1ORLA0075","2008-10","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","11","1,N","7","1,N","0","1,N","0","1,N","0","1,,N,31,+","16.3","1,,N,04,","51.0","1,,,N","0","1,,,N"
"US1ORLA0075","2008-11","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","17","1,N","12","1,N","0","1,N","0","1,N","0","1,,N,30,+","19.3","1,,N,04,","133.6","1,,,N","0","1,,,N"
"US1ORLA0075","2008-12","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","20","1,N","15","1,N","1","1,N","","","","","33.0","1,,N,29,","170.0","1,,,N","",""
"US1ORLA0075","2009-01","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","16","3,N","7","3,N","0","3,N","","","","","19.1","3,,N,02,","72.5","3,,,N","",""
"US1ORLA0075","2009-02","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","15",",N","8",",N","0",",N","","","","","19.6",",,N,26,","83.2",",,,N","",""
"US1ORLA0075","2009-03","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","20","1,N","14","1,N","0","1,N","","","","","21.3","1,,N,16,","96.3","1,,,N","",""
"US1ORLA0075","2009-04","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","15","1,N","9","1,N","0","1,N","","","","","7.6","1,,N,02,","53.6","1,,,N","",""
"US1ORLA0075","2009-05","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","12",",N","9",",N","0",",N","","","","","24.6",",,N,05,","89.9",",,,N","",""
"US1ORLA0075","2009-06","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","6","3,N","1","3,N","0","3,N","","","","","10.9","3,,N,03,","17.0","3,,,N","",""
"US1ORLA0075","2009-07","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","2","1,N","1","1,N","0","1,N","0","4,N","0","4,,N,31,+","8.4","1,,N,13,","9.2","1,,,N","0","4,,,N"
"US1ORLA0075","2009-08","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","3","1,N","1","1,N","0","1,N","","","","","3.0","1,,N,29,","4.5","1,,,N","",""
"US1ORLA0075","2009-09","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","8","3,N","4","3,N","0","3,N","","","","","15.5","3,,N,30,","42.3","3,,,N","",""
"US1ORLA0075","2009-10","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","21","2,N","13","2,N","0","2,N","","","","","23.1","2,,N,30,","134.7","2,,,N","",""
"US1ORLA0075","2009-11","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","19",",N","14",",N","1",",N","","","","","25.9",",,N,27,","176.6",",,,N","",""
"US1ORLA0075","2009-12","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","12","4,N","8","4,N","0","4,N","","","","","16.5","4,,N,16,","64.0","4,,,N","",""
"US1ORLA0075","2010-01","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","21","3,N","13","3,N","0","3,N","","","","","17.5","3,,N,06,","110.7","3,,,N","",""
"US1ORLA0075","2010-02","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","19","1,N","13","1,N","0","1,N","","","","","10.9","1,,N,24,","77.6","1,,,N","",""
"US1ORLA0075","2010-03","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","21","1,N","13","1,N","1","1,N","","","","","25.7","1,,N,30,","139.0","1,,,N","",""
"US1ORLA0075","2010-04","43.9675","-122.945","178.3","PLEASANT HILL 1 S, OR US","23","4,N","15","4,N","1","4,N","","","","","29.2","4,,N,27,","161.6","4,,,N","",""
