"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1LAOC0016","2009-10","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","19",",N","16",",N","9",",N","","","","","70.9",",,N,16,","491.3",",,,N","",""
"US1LAOC0016","2009-11","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","5","1,N","3","1,N","0","1,N","","","","","22.1","1,,N,30,","37.7","1,,,N","",""
"US1LAOC0016","2009-12","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","13",",N","9",",N","2",",N","","","","","39.9",",,N,25,","147.1",",,,N","",""
"US1LAOC0016","2010-01","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","10","1,N","7","1,N","2","1,N","","","","","35.6","1,,N,30,","122.5","1,,,N","",""
"US1LAOC0016","2010-02","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","10",",N","6",",N","0",",N","","","","","17.3",",,N,05,","76.9",",,,N","",""
"US1LAOC0016","2010-03","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","8","1,N","7","1,N","0","1,N","","","","","15.2","1,,N,02,","60.2","1,,,N","",""
"US1LAOC0016","2010-04","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","7",",N","5",",N","0",",N","","","","","19.8",",,N,24,+","75.9",",,,N","",""
"US1LAOC0016","2010-05","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","8",",N","3",",N","0",",N","","","","","19.6",",,N,16,","48.3",",,,N","",""
"US1LAOC0016","2010-06","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","7",",N","3",",N","1",",N","0","5,N","0","5,,N,30,+","27.4",",,N,06,","58.1",",,,N","0","5,,,N"
"US1LAOC0016","2010-07","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","9",",N","6",",N","1",",N","","","","","38.4",",,N,29,","105.1",",,,N","",""
"US1LAOC0016","2010-08","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","13","1,N","10","1,N","2","1,N","","","","","85.3","1,,N,07,","216.3","1,,,N","",""
"US1LAOC0016","2010-09","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","4","1,N","3","1,N","0","1,N","0","4,N","0","4,,N,30,+","21.1","1,,N,26,","30.7","1,,,N","0","4,,,N"
"US1LAOC0016","2010-10","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","4",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","1.8",",,N,20,","4.6",",,,N","0","2,,,N"
"US1LAOC0016","2010-11","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","10",",N","7",",N","3",",N","","","","","62.5",",,N,02,","199.5",",,,N","",""
"US1LAOC0016","2010-12","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","8",",N","3",",N","0",",N","","","","","6.9",",,N,30,","22.7",",,,N","",""
"US1LAOC0016","2011-01","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","12",",N","6",",N","2",",N","","","","","47.0",",,N,25,","145.9",",,,N","",""
"US1LAOC0016","2011-02","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","8",",N","7",",N","0",",N","","","","","19.8",",,N,25,+","79.5",",,,N","",""
"US1LAOC0016","2011-03","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","9",",N","3",",N","0",",N","","","","","11.4",",,N,30,","30.5",",,,N","",""
"US1LAOC0016","2011-04","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","8",",N","6",",N","2",",N","","","","","189.0",",,N,27,","253.7",",,,N","",""
"US1LAOC0016","2011-05","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","4",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","19.1",",,N,21,","31.1",",,,N","0","4,,,N"
"US1LAOC0016","2011-06","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","4",",N","3",",N","1",",N","0","4,N","0","4,,N,30,+","92.2",",,N,22,","124.0",",,,N","0","4,,,N"
"US1LAOC0016","2011-07","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","10",",N","6",",N","1",",N","","","","","69.6",",,N,14,","117.9",",,,N","",""
"US1LAOC0016","2011-08","32.45182701","-92.3438912","44.2","CALHOUN 4.3 SSE, LA US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","11.9",",,N,25,","17.5",",,,N","0","3,,,N"
