"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00056033","1953-01","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","6",",s","0",",s","0",",s","31",",s","31",",s","31",",s","0",",s","0",",s","-30.7",",s,06,","0.6",",,s,28,+","-2.2",",s,01,","","","1055.6",",s","3.4",",,,s","-15.72",",s","-7.23",",,,s","-24.21",",,,s"
"CHM00056033","1953-02","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","5",",s","0",",s","0",",s","22",",s","28",",s","22",",s","0",",s","0",",s","-30.6",",s,07,","1.1",",,s,11,","3.8",",s,22,","","","877.8",",s","3.7",",,,s","-13.02",",s","-4.02",",,,s","-22.02",",,,s"
"CHM00056033","1953-03","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","3",",s","0",",s","0",",s","7",",s","31",",s","4",",s","0",",s","0",",s","-20.7",",s,05,","1.7",",,s,13,","11.8",",s,29,","","","715.2",",s","3.2",",,,s","-4.74",",s","4.18",",,,s","-13.66",",,,s"
"CHM00056033","1953-04","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","3",",s","1",",s","0",",s","0",",s","30",",s","0",",s","0",",s","0",",s","-15.7",",s,06,","4.6",",,s,22,","9.3",",s,27,","","","640.0",",s","7.3",",,,s","-3.00",",s","5.00",",,,s","-11.00",",,,s"
"CHM00056033","1953-05","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","3",",s","1",",s","0",",s","0",",s","31",",s","0",",s","0",",s","0",",s","-13.2",",s,06,","4.4",",,s,24,","16.5",",s,27,","","","497.0",",s","7.7",",,,s","2.30",",s","10.37",",,,s","-5.77",",,,s"
"CHM00056033","1953-06","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","8",",s","6",",s","0",",s","0",",s","16",",s","0",",s","0",",s","0",",s","-7.4",",s,01,","15.6",",,s,25,","19.9",",s,23,","","","368.1",",s","43.2",",,,s","6.06",",s","13.17",",,,s","-1.04",",,,s"
"CHM00056033","1953-07","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","18",",s","8",",s","0",",s","0",",s","10",",s","0",",s","1",",s","0",",s","-2.5",",s,22,","10.4",",,s,12,","21.1",",s,08,","339.8","s","339.8",",s","59.0",",,,s","7.37",",s","13.19",",,,s","1.55",",,,s"
"CHM00056033","1953-08","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","20",",s","14",",s","0",",s","0",",s","0",",s","0",",s","0",",s","0",",s","0.4",",s,03,","21.7",",,s,24,","21.0",",s,13,","607.6","s","267.8",",s","112.0",",,,s","9.69",",s","15.31",",,,s","4.07",",,,s"
"CHM00056033","1953-09","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","10",",s","4",",s","0",",s","0",",s","24",",s","0",",s","0",",s","0",",s","-7.0",",s,20,","14.1",",,s,04,","15.1",",s,01,","1054.7","s","447.1",",s","30.2",",,,s","3.43",",s","9.12",",,,s","-2.27",",,,s"
"CHM00056033","1953-10","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","4",",s","0",",s","0",",s","0",",s","31",",s","1",",s","0",",s","0",",s","-14.8",",s,19,","0.8",",,s,01,","14.2",",s,03,","1661.2","s","606.5",",s","2.7",",,,s","-1.23",",s","5.77",",,,s","-8.23",",,,s"
"CHM00056033","1953-11","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","0",",s","0",",s","0",",s","11",",s","30",",s","12",",s","0",",s","0",",s","-25.0",",s,18,","0.0",",T,s,20,+","6.7",",s,08,","2441.7","s","780.5",",s","0.0",",T,,s","-7.69",",s","0.98",",,,s","-16.35",",,,s"
"CHM00056033","1953-12","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0","1,s","0",",s","0",",s","0",",s","25","1,s","30","1,s","26","1,s","0","1,s","0","1,s","-27.5","1,s,23,","0.1",",,s,16,","2.1","1,s,14,","3367.1","s","925.4","1,s","0.1",",,,s","-12.51","1,s","-3.41","1,,,s","-21.62","1,,,s"
"CHM00056033","1954-01","34.917","98.217","4273.0","MADOI, CH","0.0","s","0.0",",s","1",",s","0",",s","0",",s","25",",s","31",",s","29",",s","0",",s","0",",s","-29.1",",s,16,","1.1",",,s,11,","1.3",",s,01,","4371.6","s","1004.5",",s","1.9",",,,s","-14.07",",s","-6.43",",,,s","-21.71",",,,s"
