"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00408414","1941-02","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","4","4,6","2","4,6","0","4,6","","","","","","","","","","","","","","","","","","","","","","","","","10.9","4,,6,14,","","","","","","","17.0","4,,,6","","","","","","","",""
"USC00408414","1941-03","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","7",",6","5",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","","","38",",,6,08,","13.0",",,6,07,","","","","","","","39.4",",,,6","38",",,,6","","","","","",""
"USC00408414","1941-04","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","9",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","54.4",",,6,04,","","","","","","","114.2",",,,6","","","","","","","",""
"USC00408414","1941-05","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.6",",,6,18,","","","","","","","5.6",",,,6","","","","","","","",""
"USC00408414","1941-06","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","9",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","17.5",",,6,08,","","","","","","","67.2",",,,6","","","","","","","",""
"USC00408414","1941-07","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","11",",6","9",",6","3",",6","","","","","","","","","","","","","","","","","","","","","","","","","91.4",",,6,04,","","","","","","","264.4",",,,6","","","","","","","",""
"USC00408414","1941-08","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","12",",6","9",",6","4",",6","","","","","","","","","","","","","","","","","","","","","","","","","70.6",",,6,15,","","","","","","","233.1",",,,6","","","","","","","",""
"USC00408414","1941-09","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","9.9",",,6,03,","","","","","","","9.9",",,,6","","","","","","","",""
"USC00408414","1941-10","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","20.1",",,6,31,","","","","","","","67.8",",,,6","","","","","","","",""
"USC00408414","1941-11","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","8",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",T,6,09,","30.0",",,6,23,","","","","","","","78.4",",,,6","0",",T,,6","","","","","",""
"USC00408414","1941-12","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","9",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","38.1",",,6,13,","","","","","","","90.9",",,,6","","","","","","","",""
"USC00408414","1942-01","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","8",",6","7",",6","1",",6","","","2",",6","","","","","","","","","","","","","","","","","","","76",",,6,08,","45.5",",,6,01,","","","","","","","86.7",",,,6","140",",,,6","","","","","",""
"USC00408414","1942-02","35.9106","-86.5578","167.6","SMYRNA 6 S, TN US","","","","","8",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","13",",,6,24,","30.2",",,6,17,","","","","","","","97.3",",,,6","13",",,,6","","","","","",""
