"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ITE00105250","1797-01","38.1103","13.3514","37.0","PALERMO, IT","","","","","9",",E","6",",E","0",",E","","","","","","","","","","","","","8.6",",,E,18,+","","","","","","","35.9",",,,E","","","","","",""
"ITE00105250","1797-02","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","7",",E","0",",E","","","","","","","","","","","","","14.8",",,E,17,","","","","","","","50.9",",,,E","","","","","",""
"ITE00105250","1797-03","38.1103","13.3514","37.0","PALERMO, IT","","","","","12",",E","5",",E","0",",E","","","","","","","","","","","","","6.2",",,E,06,","","","","","","","31.1",",,,E","","","","","",""
"ITE00105250","1797-04","38.1103","13.3514","37.0","PALERMO, IT","","","","","12",",E","9",",E","0",",E","","","","","","","","","","","","","24.0",",,E,02,","","","","","","","65.6",",,,E","","","","","",""
"ITE00105250","1797-05","38.1103","13.3514","37.0","PALERMO, IT","","","","","6",",E","6",",E","0",",E","","","","","","","","","","","","","15.9",",,E,02,","","","","","","","56.0",",,,E","","","","","",""
"ITE00105250","1797-06","38.1103","13.3514","37.0","PALERMO, IT","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","7.9",",,E,04,","","","","","","","14.7",",,,E","","","","","",""
"ITE00105250","1797-07","38.1103","13.3514","37.0","PALERMO, IT","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"ITE00105250","1797-08","38.1103","13.3514","37.0","PALERMO, IT","","","","","3",",E","2",",E","0",",E","","","","","","","","","","","","","7.9",",,E,30,","","","","","","","12.6",",,,E","","","","","",""
"ITE00105250","1797-09","38.1103","13.3514","37.0","PALERMO, IT","","","","","6",",E","4",",E","0",",E","","","","","","","","","","","","","9.2",",,E,25,","","","","","","","30.6",",,,E","","","","","",""
"ITE00105250","1797-10","38.1103","13.3514","37.0","PALERMO, IT","","","","","15",",E","8",",E","0",",E","","","","","","","","","","","","","7.9",",,E,02,","","","","","","","51.7",",,,E","","","","","",""
"ITE00105250","1797-11","38.1103","13.3514","37.0","PALERMO, IT","","","","","7",",E","5",",E","0",",E","","","","","","","","","","","","","16.2",",,E,03,","","","","","","","55.9",",,,E","","","","","",""
"ITE00105250","1797-12","38.1103","13.3514","37.0","PALERMO, IT","","","","","12",",E","7",",E","0",",E","","","","","","","","","","","","","13.1",",,E,13,","","","","","","","49.3",",,,E","","","","","",""
"ITE00105250","1798-01","38.1103","13.3514","37.0","PALERMO, IT","","","","","12",",E","5",",E","1",",E","","","","","","","","","","","","","25.9",",,E,24,","","","","","","","65.3",",,,E","","","","","",""
"ITE00105250","1798-02","38.1103","13.3514","37.0","PALERMO, IT","","","","","4",",E","4",",E","0",",E","","","","","","","","","","","","","7.4",",,E,06,","","","","","","","21.6",",,,E","","","","","",""
"ITE00105250","1798-03","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","5",",E","0",",E","","","","","","","","","","","","","10.6",",,E,19,","","","","","","","38.8",",,,E","","","","","",""
"ITE00105250","1798-04","38.1103","13.3514","37.0","PALERMO, IT","","","","","7",",E","6",",E","0",",E","","","","","","","","","","","","","15.0",",,E,24,","","","","","","","40.3",",,,E","","","","","",""
"ITE00105250","1798-05","38.1103","13.3514","37.0","PALERMO, IT","","","","","4",",E","2",",E","0",",E","","","","","","","","","","","","","13.6",",,E,28,","","","","","","","21.2",",,,E","","","","","",""
"ITE00105250","1798-06","38.1103","13.3514","37.0","PALERMO, IT","","","","","5",",E","4",",E","0",",E","","","","","","","","","","","","","21.7",",,E,05,","","","","","","","38.0",",,,E","","","","","",""
"ITE00105250","1798-07","38.1103","13.3514","37.0","PALERMO, IT","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"ITE00105250","1798-08","38.1103","13.3514","37.0","PALERMO, IT","","","","","2",",E","2",",E","0",",E","","","","","","","","","","","","","7.9",",,E,28,","","","","","","","15.7",",,,E","","","","","",""
"ITE00105250","1798-09","38.1103","13.3514","37.0","PALERMO, IT","","","","","3",",E","2",",E","0",",E","","","","","","","","","","","","","7.9",",,E,15,","","","","","","","12.5",",,,E","","","","","",""
"ITE00105250","1798-10","38.1103","13.3514","37.0","PALERMO, IT","","","","","7",",E","4",",E","0",",E","","","","","","","","","","","","","8.0",",,E,18,","","","","","","","29.4",",,,E","","","","","",""
"ITE00105250","1798-11","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","4",",E","0",",E","","","","","","","","","","","","","9.4",",,E,30,","","","","","","","36.2",",,,E","","","","","",""
"ITE00105250","1798-12","38.1103","13.3514","37.0","PALERMO, IT","","","","","18",",E","16",",E","0",",E","","","","","","","","","","","","","23.5",",,E,21,","","","","","","","170.4",",,,E","","","","","",""
"ITE00105250","1802-01","38.1103","13.3514","37.0","PALERMO, IT","","","","","13",",E","7",",E","0",",E","","","","","","","","","","","","","20.1",",,E,16,","","","","","","","72.5",",,,E","","","","","",""
"ITE00105250","1802-02","38.1103","13.3514","37.0","PALERMO, IT","","","","","12",",E","10",",E","0",",E","","","","","","","","","","","","","13.2",",,E,11,","","","","","","","81.1",",,,E","","","","","",""
"ITE00105250","1802-03","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","4",",E","0",",E","","","","","","","","","","","","","10.6",",,E,13,","","","","","","","32.4",",,,E","","","","","",""
"ITE00105250","1802-04","38.1103","13.3514","37.0","PALERMO, IT","","","","","5",",E","4",",E","0",",E","","","","","","","","","","","","","8.4",",,E,20,","","","","","","","30.4",",,,E","","","","","",""
"ITE00105250","1802-05","38.1103","13.3514","37.0","PALERMO, IT","","","","","2",",E","1",",E","0",",E","","","","","","","","","","","","","5.1",",,E,19,","","","","","","","5.6",",,,E","","","","","",""
"ITE00105250","1802-06","38.1103","13.3514","37.0","PALERMO, IT","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"ITE00105250","1802-07","38.1103","13.3514","37.0","PALERMO, IT","","","","","1",",E","1",",E","0",",E","","","","","","","","","","","","","13.6",",,E,13,","","","","","","","13.6",",,,E","","","","","",""
"ITE00105250","1802-08","38.1103","13.3514","37.0","PALERMO, IT","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"ITE00105250","1802-09","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","5",",E","0",",E","","","","","","","","","","","","","12.0",",,E,14,","","","","","","","42.1",",,,E","","","","","",""
"ITE00105250","1802-10","38.1103","13.3514","37.0","PALERMO, IT","","","","","7",",E","3",",E","0",",E","","","","","","","","","","","","","7.9",",,E,28,","","","","","","","22.6",",,,E","","","","","",""
"ITE00105250","1802-11","38.1103","13.3514","37.0","PALERMO, IT","","","","","9",",E","5",",E","0",",E","","","","","","","","","","","","","7.9",",,E,10,+","","","","","","","30.8",",,,E","","","","","",""
"ITE00105250","1802-12","38.1103","13.3514","37.0","PALERMO, IT","","","","","10",",E","7",",E","0",",E","","","","","","","","","","","","","10.4",",,E,16,","","","","","","","49.4",",,,E","","","","","",""
"ITE00105250","1811-01","38.1103","13.3514","37.0","PALERMO, IT","","","","","11",",E","7",",E","0",",E","","","","","","","","","","","","","18.5",",,E,28,","","","","","","","55.4",",,,E","","","","","",""
"ITE00105250","1811-02","38.1103","13.3514","37.0","PALERMO, IT","","","","","3",",E","3",",E","1",",E","","","","","","","","","","","","","31.0",",,E,26,","","","","","","","46.0",",,,E","","","","","",""
"ITE00105250","1811-03","38.1103","13.3514","37.0","PALERMO, IT","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","6.0",",,E,16,","","","","","","","12.8",",,,E","","","","","",""
"ITE00105250","1811-04","38.1103","13.3514","37.0","PALERMO, IT","","","","","2",",E","2",",E","0",",E","","","","","","","","","","","","","10.8",",,E,14,","","","","","","","18.6",",,,E","","","","","",""
"ITE00105250","1811-05","38.1103","13.3514","37.0","PALERMO, IT","","","","","2",",E","1",",E","0",",E","","","","","","","","","","","","","4.2",",,E,23,","","","","","","","6.0",",,,E","","","","","",""
"ITE00105250","1811-06","38.1103","13.3514","37.0","PALERMO, IT","","","","","1",",E","0",",E","0",",E","","","","","","","","","","","","","2.1",",,E,24,","","","","","","","2.1",",,,E","","","","","",""
"ITE00105250","1811-07","38.1103","13.3514","37.0","PALERMO, IT","","","","","3",",E","1",",E","0",",E","","","","","","","","","","","","","15.0",",,E,31,","","","","","","","18.1",",,,E","","","","","",""
"ITE00105250","1811-08","38.1103","13.3514","37.0","PALERMO, IT","","","","","6",",E","2",",E","0",",E","","","","","","","","","","","","","6.7",",,E,23,","","","","","","","18.8",",,,E","","","","","",""
"ITE00105250","1811-09","38.1103","13.3514","37.0","PALERMO, IT","","","","","7",",E","6",",E","0",",E","","","","","","","","","","","","","20.5",",,E,17,","","","","","","","57.7",",,,E","","","","","",""
"ITE00105250","1811-10","38.1103","13.3514","37.0","PALERMO, IT","","","","","2",",E","2",",E","1",",E","","","","","","","","","","","","","35.5",",,E,19,","","","","","","","38.8",",,,E","","","","","",""
"ITE00105250","1811-11","38.1103","13.3514","37.0","PALERMO, IT","","","","","11",",E","7",",E","2",",E","","","","","","","","","","","","","32.5",",,E,28,","","","","","","","95.4",",,,E","","","","","",""
"ITE00105250","1811-12","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","7",",E","0",",E","","","","","","","","","","","","","22.0",",,E,01,","","","","","","","74.5",",,,E","","","","","",""
"ITE00105250","1812-01","38.1103","13.3514","37.0","PALERMO, IT","","","","","9",",E","9",",E","0",",E","","","","","","","","","","","","","18.7",",,E,26,","","","","","","","72.3",",,,E","","","","","",""
"ITE00105250","1812-02","38.1103","13.3514","37.0","PALERMO, IT","","","","","9",",E","5",",E","0",",E","","","","","","","","","","","","","21.3",",,E,12,","","","","","","","56.8",",,,E","","","","","",""
"ITE00105250","1812-03","38.1103","13.3514","37.0","PALERMO, IT","","","","","13",",E","11",",E","0",",E","","","","","","","","","","","","","24.7",",,E,17,","","","","","","","105.3",",,,E","","","","","",""
"ITE00105250","1812-04","38.1103","13.3514","37.0","PALERMO, IT","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","5.3",",,E,23,","","","","","","","14.5",",,,E","","","","","",""
"ITE00105250","1812-05","38.1103","13.3514","37.0","PALERMO, IT","","","","","5",",E","4",",E","0",",E","","","","","","","","","","","","","20.6",",,E,15,","","","","","","","44.4",",,,E","","","","","",""
"ITE00105250","1812-06","38.1103","13.3514","37.0","PALERMO, IT","","","","","1",",E","0",",E","0",",E","","","","","","","","","","","","","2.1",",,E,12,","","","","","","","2.1",",,,E","","","","","",""
"ITE00105250","1812-07","38.1103","13.3514","37.0","PALERMO, IT","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"ITE00105250","1812-08","38.1103","13.3514","37.0","PALERMO, IT","","","","","2",",E","0",",E","0",",E","","","","","","","","","","","","","2.1",",,E,16,","","","","","","","2.4",",,,E","","","","","",""
"ITE00105250","1812-09","38.1103","13.3514","37.0","PALERMO, IT","","","","","7",",E","6",",E","1",",E","","","","","","","","","","","","","36.7",",,E,21,","","","","","","","56.9",",,,E","","","","","",""
"ITE00105250","1812-10","38.1103","13.3514","37.0","PALERMO, IT","","","","","10",",E","9",",E","0",",E","","","","","","","","","","","","","17.6",",,E,12,","","","","","","","71.7",",,,E","","","","","",""
"ITE00105250","1812-11","38.1103","13.3514","37.0","PALERMO, IT","","","","","4",",E","4",",E","2",",E","","","","","","","","","","","","","32.3",",,E,03,","","","","","","","69.9",",,,E","","","","","",""
"ITE00105250","1812-12","38.1103","13.3514","37.0","PALERMO, IT","","","","","8",",E","6",",E","0",",E","","","","","","","","","","","","","18.3",",,E,22,","","","","","","","61.5",",,,E","","","","","",""
"ITE00105250","1822-01","38.1103","13.3514","37.0","PALERMO, IT","","","","","12",",E","7",",E","0",",E","","","","","","","","","","","","","17.1",",,E,29,","","","","","","","74.0",",,,E","","","","","",""
"ITE00105250","1822-02","38.1103","13.3514","37.0","PALERMO, IT","","","","","5",",E","4",",E","0",",E","","","","","","","","","","","","","4.2",",,E,19,","","","","","","","14.8",",,,E","","","","","",""
