"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AFRA","1999-12","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","0.0",",U","0",",U","26",",U","0",",U","0",",U","0",",U","-8.3",",U,14,","14.4",",U,30,","","","483.0",",U","2.75",",U","8.10",",,,U","-2.59",",,,U"
"USR0000AFRA","2000-01","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","0.0","U","0.0",",U","0",",U","18",",U","1",",U","0",",U","0",",U","-8.9",",U,06,","16.7",",U,19,","","","440.9",",U","4.11",",U","9.12",",,,U","-0.90",",,,U"
"USR0000AFRA","2000-02","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","0.0","U","0.0","2,U","0","1,U","17","1,U","1","1,U","0","1,U","0","1,U","-6.1","1,U,25,","16.7","1,U,07,","","","377.5","1,U","4.30","2,U","9.39","1,,,U","-0.79","1,,,U"
"USR0000AFRA","2000-05","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","37.9",",U","0",",U","1",",U","0",",U","24",",U","0",",U","0.0",",U,12,","30.6",",U,29,+","","","79.6",",U","16.99",",U","23.54",",,,U","10.44",",,,U"
"USR0000AFRA","2000-06","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","86.3",",U","0",",U","0",",U","0",",U","30",",U","0",",U","5.6",",U,09,","31.7",",U,15,+","","","10.5",",U","20.86",",U","27.51",",,,U","14.21",",,,U"
"USR0000AFRA","2000-07","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","141.5",",U","0",",U","0",",U","0",",U","30",",U","4",",U","10.6",",U,04,","34.4",",U,29,","1.1","U","1.1",",U","22.86",",U","29.13",",,,U","16.60",",,,U"
"USR0000AFRA","2000-08","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","101.0",",U","0",",U","0",",U","0",",U","28",",U","1",",U","9.4",",U,31,","32.2",",U,05,","13.0","U","11.9",",U","21.21",",U","27.11",",,,U","15.31",",,,U"
"USR0000AFRA","2000-09","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","56.7",",U","0",",U","0",",U","0",",U","27",",U","0",",U","1.7",",U,24,","31.1",",U,16,+","48.0","U","35.0",",U","19.06",",U","25.21",",,,U","12.91",",,,U"
"USR0000AFRA","2000-10","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","3.4",",U","0",",U","6",",U","0",",U","10",",U","0",",U","-2.2",",U,31,","25.6",",U,01,","295.4","U","247.4",",U","10.46",",U","15.44",",,,U","5.48",",,,U"
"USR0000AFRA","2000-11","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","0.0",",U","0",",U","21",",U","1",",U","0",",U","0",",U","-9.4",",U,12,","16.1",",U,28,","751.3","U","455.9",",U","3.14",",U","7.82",",,,U","-1.55",",,,U"
"USR0000AFRA","2000-12","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","","","0.0",",U","0",",U","14",",U","0",",U","0",",U","0",",U","-5.6",",U,18,","15.6",",U,05,","1160.4","U","409.1",",U","5.14",",U","10.13",",,,U","0.14",",,,U"
"USR0000AFRA","2001-01","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","0.0","U","0.0",",U","0",",U","26",",U","7",",U","0",",U","0",",U","-9.4",",U,31,+","16.1",",U,04,","1695.9","U","535.5",",U","1.06",",U","5.38",",,,U","-3.26",",,,U"
"USR0000AFRA","2001-02","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","0.0","U","0.0",",U","0",",U","22",",U","2",",U","0",",U","0",",U","-8.9",",U,09,","15.6",",U,05,","2143.8","U","447.9",",U","2.34",",U","6.77",",,,U","-2.09",",,,U"
"USR0000AFRA","2001-03","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","0.0","U","0.0",",U","0",",U","11",",U","0",",U","0",",U","0",",U","-3.9",",U,12,+","19.4",",U,20,","2490.7","U","346.9",",U","7.14",",U","12.05",",,,U","2.23",",,,U"
"USR0000AFRA","2001-04","35.8456","-113.055","2063.5","FRAZIER WELLS ARIZONA, AZ US","0.3","U","0.3",",U","0",",U","12",",U","0",",U","6",",U","0",",U","-4.4",",U,11,","23.9",",U,30,+","2778.0","U","287.3",",U","8.77",",U","13.97",",,,U","3.56",",,,U"
