"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR047440740","1937-11","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","4",",I","3",",I","0",",I","10.6",",,I,29,","20.9",",,,I"
"BR047440740","1937-12","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","11",",I","9",",I","3",",I","66.2",",,I,24,","200.0",",,,I"
"BR047440740","1938-01","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","4",",I","3",",I","1",",I","40.8",",,I,27,","60.1",",,,I"
"BR047440740","1938-02","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","8",",I","6",",I","3",",I","38.3",",,I,14,","124.8",",,,I"
"BR047440740","1938-03","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","8",",I","8",",I","1",",I","54.0",",,I,01,","105.3",",,,I"
"BR047440740","1938-04","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","5",",I","4",",I","0",",I","15.3",",,I,11,","29.7",",,,I"
"BR047440740","1938-05","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","2",",I","2",",I","0",",I","8.9",",,I,15,","11.9",",,,I"
"BR047440740","1938-06","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","1",",I","0",",I","0",",I","1.8",",,I,30,","1.8",",,,I"
"BR047440740","1938-07","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1938-08","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1938-09","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"BR047440740","1938-10","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1938-11","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","7",",I","6",",I","0",",I","21.8",",,I,14,","64.9",",,,I"
"BR047440740","1938-12","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","12",",I","9",",I","2",",I","48.8",",,I,03,","139.4",",,,I"
"BR047440740","1939-01","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","11",",I","11",",I","4",",I","52.2",",,I,27,","214.4",",,,I"
"BR047440740","1939-02","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","1",",I","1",",I","1",",I","29.4",",,I,18,","29.4",",,,I"
"BR047440740","1939-03","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","1",",I","1",",I","0",",I","4.3",",,I,17,","4.3",",,,I"
"BR047440740","1939-04","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","2",",I","2",",I","1",",I","25.9",",,I,09,","34.6",",,,I"
"BR047440740","1939-05","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1939-06","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"BR047440740","1939-07","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","5",",I","3",",I","0",",I","3.6",",,I,01,","13.4",",,,I"
"BR047440740","1939-08","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1939-09","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","4",",I","3",",I","1",",I","52.4",",,I,03,","80.4",",,,I"
"BR047440740","1939-10","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","2",",I","2",",I","0",",I","12.6",",,I,03,","15.2",",,,I"
"BR047440740","1939-11","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","3",",I","3",",I","0",",I","23.0",",,I,22,","37.1",",,,I"
"BR047440740","1939-12","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","5",",I","4",",I","1",",I","34.7",",,I,10,","74.3",",,,I"
"BR047440740","1940-01","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","17",",I","16",",I","4",",I","61.8",",,I,29,","257.8",",,,I"
"BR047440740","1940-02","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","12",",I","10",",I","1",",I","49.0",",,I,24,","144.2",",,,I"
"BR047440740","1940-03","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","17",",I","13",",I","2",",I","61.6",",,I,01,","216.7",",,,I"
"BR047440740","1940-04","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","3",",I","2",",I","0",",I","9.4",",,I,19,","14.0",",,,I"
"BR047440740","1940-05","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","2",",I","2",",I","0",",I","6.5",",,I,22,","9.7",",,,I"
"BR047440740","1940-06","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"BR047440740","1940-07","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1940-08","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR047440740","1940-09","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","4",",I","3",",I","2",",I","29.5",",,I,26,","60.9",",,,I"
"BR047440740","1940-10","-12.0","-42.63","1151.0","BROTAS DE MACAUBAS, BR","1",",I","1",",I","0",",I","4.9",",,I,26,","4.9",",,,I"
