"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0006K10S","1991-10","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","12",",T","12",",T","1",",T","","","","","","","","","","","","","","","","","25.4",",,T,24,","","","","","","","78.6",",,,T","","","","","",""
"USS0006K10S","1991-11","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","4,T","20",",T","20",",T","1",",T","","","8","4,T","26","4,T","13",",T","0",",T","0",",T","-29.6","4,T,03,","","","30.5",",,T,18,","15.1",",T,13,","","","618.9",",T","142.0",",,,T","-5.37","4,T","2.55",",,,T","-13.29","4,,,T"
"USS0006K10S","1991-12","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","2,T","7",",T","7",",T","0",",T","","","6","1,T","30","1,T","7","1,T","0","1,T","0","1,T","-22.0","1,T,13,","","","7.6",",,T,11,+","11.6","1,T,07,","","","708.0","1,T","27.7",",,,T","-6.10","2,T","3.47","1,,,T","-15.66","1,,,T"
"USS0006K10S","1992-01","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","5,T","11",",T","11",",T","0",",T","","","8","5,T","26","5,T","8",",T","0",",T","0",",T","-25.4","5,T,15,","","","7.6",",,T,07,+","15.0",",T,31,","","","619.9",",T","40.3",",,,T","-5.94","5,T","4.33",",,,T","-16.20","5,,,T"
"USS0006K10S","1992-02","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","5,T","9",",T","9",",T","0",",T","","","4","4,T","25","4,T","5","1,T","0","1,T","0","1,T","-21.0","4,T,19,","","","12.7",",,T,22,","15.6","1,T,01,","","","548.6","1,T","61.0",",,,T","-4.81","5,T","5.08","1,,,T","-14.71","4,,,T"
"USS0006K10S","1992-03","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","5,T","17",",T","17",",T","0",",T","","","0","5,T","26","5,T","1",",T","0",",T","0",",T","-17.2","5,T,20,+","","","20.3",",,T,28,+","15.3",",T,29,","","","510.6",",T","147.0",",,,T","-1.57","5,T","7.79",",,,T","-10.93","5,,,T"
"USS0006K10S","1992-04","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","2,T","14",",T","14",",T","0",",T","","","0","2,T","27","2,T","0",",T","1",",T","0",",T","-12.4","2,T,02,","","","20.3",",,T,18,","21.6",",T,29,","","","408.0",",T","80.9",",,,T","3.66","2,T","13.34",",,,T","-6.02","2,,,T"
"USS0006K10S","1992-05","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","4,T","7",",T","7",",T","0",",T","","","0","4,T","20","4,T","0",",T","0",",T","0",",T","-4.6","4,T,10,","","","15.2",",,T,26,","19.7",",T,18,","","","310.2",",T","48.2",",,,T","6.77","4,T","14.33",",,,T","-0.78","4,,,T"
"USS0006K10S","1992-06","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","2,T","6",",T","6",",T","0",",T","","","0","2,T","8","2,T","0",",T","5",",T","0",",T","-3.2","2,T,02,","","","5.1",",,T,25,+","23.0",",T,20,","","","258.0",",T","25.4",",,,T","9.04","2,T","16.82",",,,T","1.26","2,,,T"
"USS0006K10S","1992-07","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","2,T","13",",T","13",",T","0",",T","","","0","2,T","2","2,T","0",",T","9",",T","0",",T","-0.9","2,T,03,","","","20.3",",,T,08,","24.8",",T,06,","191.1","","191.1",",T","58.0",",,,T","11.57","2,T","19.72",",,,T","3.43","2,,,T"
"USS0006K10S","1992-08","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","2,T","8",",T","8",",T","0",",T","","","0","1,T","6","1,T","0","1,T","15","1,T","0","1,T","-2.7","1,T,27,+","","","20.3",",,T,24,","27.4","1,T,09,","383.8","","192.7","1,T","53.1",",,,T","11.65","2,T","19.98","1,,,T","3.32","1,,,T"
"USS0006K10S","1992-09","39.29","-106.55","3169.9","IVANHOE, CO US","0.0","","0.0","4,T","7",",T","7",",T","0",",T","","","0","4,T","9","4,T","0","2,T","2","2,T","0","2,T","-4.8","4,T,26,","","","10.2",",,T,20,","21.7","2,T,23,","640.0","","256.2","2,T","43.3",",,,T","8.32","4,T","16.10","2,,,T","0.54","4,,,T"
"USS0006K10S","1992-10","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","22.9",",,T,31,","","","","","","","76.2",",,,T","","","","","",""
"USS0006K10S","1992-11","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","16",",T","16",",T","0",",T","","","","","","","","","","","","","","","","","17.8",",,T,02,+","","","","","","","109.1",",,,T","","","","","",""
"USS0006K10S","1992-12","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","8",",T","8",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,18,","","","","","","","43.0",",,,T","","","","","",""
"USS0006K10S","1993-01","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","16",",T","16",",T","0",",T","","","","","","","","","","","","","","","","","12.7",",,T,06,","","","","","","","93.8",",,,T","","","","","",""
"USS0006K10S","1993-02","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","19",",T","19",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,19,","","","","","","","154.9",",,,T","","","","","",""
"USS0006K10S","1993-03","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","15",",T","15",",T","1",",T","","","","","","","","","","","","","","","","","43.2",",,T,27,","","","","","","","144.8",",,,T","","","","","",""
"USS0006K10S","1993-04","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","23",",T","23",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,24,+","","","","","","","134.2",",,,T","","","","","",""
"USS0006K10S","1993-05","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","14",",T","14",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,27,+","","","","","","","76.1",",,,T","","","","","",""
"USS0006K10S","1993-06","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,07,+","","","","","","","32.9",",,,T","","","","","",""
"USS0006K10S","1993-07","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","4",",T","4",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,04,","","","","","","","45.7",",,,T","","","","","",""
"USS0006K10S","1993-08","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","12",",T","12",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,26,+","","","","","","","53.1",",,,T","","","","","",""
"USS0006K10S","1993-09","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","10",",T","10",",T","0",",T","","","","","","","","","","","","","","","","","15.2",",,T,13,","","","","","","","63.4",",,,T","","","","","",""
"USS0006K10S","1993-10","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","4,T","13",",T","13",",T","0",",T","","","2","4,T","24","4,T","1","4,T","0","4,T","0","4,T","-23.1","4,T,30,","","","15.2",",,T,15,","19.6","4,T,05,","","","426.3","4,T","91.3",",,,T","2.54","4,T","11.09","4,,,T","-6.01","4,,,T"
"USS0006K10S","1993-11","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0",",T","15",",T","15",",T","0",",T","","","7",",T","30",",T","8",",T","0",",T","0",",T","-25.6",",T,24,","","","15.2",",,T,12,","11.3",",T,10,","","","742.8",",T","83.6",",,,T","-6.43",",T","2.98",",,,T","-15.83",",,,T"
"USS0006K10S","1993-12","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","3,T","14",",T","14",",T","0",",T","","","11","3,T","28","3,T","12","3,T","0","3,T","0","3,T","-28.7","3,T,22,","","","15.2",",,T,12,","14.6","3,T,11,","","","725.8","3,T","60.5",",,,T","-7.59","3,T","2.09","3,,,T","-17.26","3,,,T"
"USS0006K10S","1994-01","39.29","-106.55","3169.9","IVANHOE, CO US","","","","","10",",T","10",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,05,","","","","","","","50.8",",,,T","","","","","",""
"USS0006K10S","1994-02","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","2,T","17",",T","17",",T","0",",T","","","12","2,T","26","2,T","8","2,T","0","2,T","0","2,T","-25.5","2,T,01,","","","17.8",",,T,07,","11.3","2,T,26,","","","658.5","2,T","81.0",",,,T","-6.99","2,T","3.05","2,,,T","-17.03","2,,,T"
"USS0006K10S","1994-03","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","5,T","14",",T","14",",T","0",",T","","","6","5,T","26","5,T","1","4,T","0","4,T","0","4,T","-25.1","5,T,28,","","","12.7",",,T,25,","17.3","4,T,15,","","","534.7","4,T","73.5",",,,T","-2.24","5,T","8.96","4,,,T","-13.43","5,,,T"
"USS0006K10S","1994-04","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","2,T","17",",T","17",",T","0",",T","","","0","2,T","28","2,T","0","2,T","0","2,T","0","2,T","-16.8","2,T,05,","","","20.3",",,T,29,+","21.0","2,T,16,","","","479.5","2,T","139.6",",,,T","1.21","2,T","10.83","2,,,T","-8.41","2,,,T"
"USS0006K10S","1994-05","39.29","-106.55","3169.9","IVANHOE, CO US","","","0.0","1,T","8",",T","8",",T","1",",T","","","0","1,T","25","1,T","0","1,T","1","1,T","0","1,T","-6.6","1,T,03,","","","25.4",",,T,13,","21.5","1,T,30,","","","335.7","1,T","60.8",",,,T","7.14","1,T","15.81","1,,,T","-1.52","1,,,T"
