"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ALLD0002","2007-12","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","9","2,N","8","2,N","1","2,N","0","2,N","0","2,,N,31,+","27.4","2,,N,13,","103.4","2,,,N","0","2,,,N"
"US1ALLD0002","2008-01","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","11","3,N","5","3,N","0","3,N","0","3,N","13","3,,N,17,","15.5","3,,N,09,","55.9","3,,,N","13","3,,,N"
"US1ALLD0002","2008-02","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","13",",N","8",",N","1",",N","0",",N","0",",T,N,28,+","29.0",",,N,01,","116.2",",,,N","0",",T,,N"
"US1ALLD0002","2008-06","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","7",",N","5",",N","1",",N","0",",N","0",",,N,30,+","57.9",",,N,14,","87.2",",,,N","0",",,,N"
"US1ALLD0002","2008-07","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","9",",N","8",",N","0",",N","0",",N","0",",,N,31,+","8.9",",,N,26,","49.3",",,,N","0",",,,N"
"US1ALLD0002","2008-08","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","9",",N","8",",N","1",",N","0",",N","0",",,N,31,+","76.2",",,N,26,","141.3",",,,N","0",",,,N"
"US1ALLD0002","2008-09","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","5",",N","4",",N","0",",N","0",",N","0",",,N,30,+","17.0",",,N,05,","32.4",",,,N","0",",,,N"
"US1ALLD0002","2008-10","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","5",",N","5",",N","1",",N","0",",N","0",",,N,31,+","45.5",",,N,08,","106.3",",,,N","0",",,,N"
"US1ALLD0002","2008-11","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","11","1,N","10","1,N","0","1,N","0","1,N","0","1,,N,30,+","22.4","1,,N,13,","99.8","1,,,N","0","1,,,N"
"US1ALLD0002","2008-12","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","17",",N","12",",N","2",",N","","","","","107.7",",,N,10,","309.7",",,,N","",""
"US1ALLD0002","2009-01","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","12",",N","7",",N","1",",N","0","4,N","0","4,T,N,31,+","25.7",",,N,07,","67.7",",,,N","0","4,T,,N"
"US1ALLD0002","2009-02","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","12",",N","7",",N","1",",N","0","2,N","0","2,,N,28,+","26.9",",,N,18,","87.4",",,,N","0","2,,,N"
"US1ALLD0002","2009-03","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","11",",N","8",",N","2",",N","1",",N","38",",,N,01,","68.8",",,N,26,","154.8",",,,N","38",",,,N"
"US1ALLD0002","2009-04","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","13","3,N","11","3,N","2","3,N","0","3,N","0","3,,N,30,+","41.7","3,,N,03,","151.5","3,,,N","0","3,,,N"
"US1ALLD0002","2009-05","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","20",",N","15",",N","3",",N","","","","","110.5",",,N,02,","279.9",",,,N","",""
"US1ALLD0002","2009-06","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","10","2,N","9","2,N","1","2,N","","","","","30.7","2,,N,16,","76.7","2,,,N","",""
"US1ALLD0002","2009-11","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","9",",N","8",",N","0",",N","","","","","22.6",",,N,30,","54.0",",,,N","",""
"US1ALLD0002","2010-01","34.863314","-87.30271","195.1","ROGERSVILLE 2.8 NNW, AL US","9","1,N","7","1,N","4","1,N","0","3,N","3","3,,N,08,","48.0","1,,N,17,","169.7","1,,,N","3","3,,,N"
