"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00066196","1997-10","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","30.0",",a","0",",a","0",",a","0",",a","12",",a","0",",a","11.0",",a,21,+","31.0",",a,11,+","","","41.3",",a","17.97",",a","21.16",",,,a","14.77",",,,a"
"ASN00066196","1997-11","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","70.7",",a","0",",a","0",",a","0",",a","16",",a","1",",a","15.0",",a,19,+","34.0",",a,14,","","","1.2",",a","20.65",",a","23.33",",,,a","17.97",",,,a"
"ASN00066196","1997-12","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","120.2",",a","0",",a","0",",a","0",",a","27",",a","1",",a","18.0",",a,29,+","33.0",",a,02,","","","0.0",",a","22.21",",a","24.39",",,,a","20.03",",,,a"
"ASN00066196","1998-01","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","124.5","1,a","0",",a","0",",a","0","1,a","30","1,a","0","1,a","18.0",",a,26,+","32.0","1,a,15,","0.0","","0.0","1,a","22.48","1,a","24.73","1,,,a","20.23",",,,a"
"ASN00066196","1998-02","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","149.0","1,a","0",",a","0",",a","0","1,a","26","1,a","0","1,a","17.0",",a,18,+","32.0","1,a,20,","0.0","","0.0","1,a","23.86","1,a","26.41","1,,,a","21.32",",,,a"
"ASN00066196","1998-07","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","0.0","","0.0",",a","0",",a","0",",a","0",",a","0",",a","0",",a","7.0",",a,30,+","21.0",",a,06,","","","159.8",",a","13.18",",a","16.26",",,,a","10.10",",,,a"
"ASN00066196","1998-08","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","0.0","","0.0","4,a","0","2,a","0","2,a","0","3,a","0","3,a","0","3,a","8.0","2,a,02,+","21.0","3,a,14,","","","97.0","3,a","14.75","4,a","17.54","3,,,a","11.97","2,,,a"
"ASN00066196","1998-09","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","15.5","","15.5","2,a","0","2,a","0","2,a","0",",a","9",",a","0",",a","10.0","2,a,16,","30.0",",a,30,","","","38.3",",a","17.48","2,a","20.60",",,,a","14.36","2,,,a"
"ASN00066196","2001-09","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","6.5","2,a","0","1,a","0","1,a","0","1,a","3","1,a","0","1,a","11.0","1,a,06,+","28.0","1,a,25,","","","48.3","1,a","16.90","2,a","19.72","1,,,a","14.07","1,,,a"
"ASN00066196","2001-10","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","29.3","2,a","0","1,a","0","1,a","0","1,a","15","1,a","0","1,a","11.0","1,a,20,","26.0","1,a,24,+","","","25.5","1,a","18.38","2,a","21.73","1,,,a","15.03","1,,,a"
"ASN00066196","2001-11","-33.8414","151.2633","6.0","SYDNEY HARBOUR WEDDING CAKE W, AS","","","31.8","4,a","0","2,a","0","2,a","0","2,a","7","2,a","0","2,a","11.0","2,a,12,","32.0","2,a,25,","","","23.5","2,a","18.66","4,a","21.14","2,,,a","16.18","2,,,a"
