"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OKTL0066","2017-10","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7",",N","5",",N","2",",N","","","","","99.1",",,N,05,","182.8",",,,N","",""
"US1OKTL0066","2017-11","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","2","3,N","1","3,N","0","3,N","0","5,N","0","5,,N,30,+","19.6","3,,N,29,","20.7",",a,,N","0","5,,,N"
"US1OKTL0066","2017-12","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","5","1,N","3","1,N","0","1,N","1","4,N","38","4,,N,23,","15.0","1,,N,23,","28.5","1,,,N","45","4,,,N"
"US1OKTL0066","2018-01","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","2",",N","1",",N","0",",N","","","","","5.8",",,N,08,","6.1",",,,N","",""
"US1OKTL0066","2018-02","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8","2,N","7","2,N","1","2,N","","","","","38.6","2,,N,24,","126.0",",a,,N","",""
"US1OKTL0066","2018-03","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7",",N","4",",N","1",",N","","","","","80.3",",,N,27,","118.0",",,,N","",""
"US1OKTL0066","2018-04","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7",",N","3",",N","1",",N","","","","","26.2",",,N,22,","42.0",",,,N","",""
"US1OKTL0066","2018-05","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7","2,N","5","2,N","1","2,N","","","","","31.5","2,,N,15,","102.9",",a,,N","",""
"US1OKTL0066","2018-06","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8",",N","6",",N","0",",N","","","","","13.5",",,N,12,","38.7",",,,N","",""
"US1OKTL0066","2018-07","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","12",",N","6",",N","1",",N","","","","","35.8",",,N,29,","61.8",",,,N","",""
"US1OKTL0066","2018-08","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","11",",N","6",",N","2",",N","","","","","54.9",",,N,19,","121.1",",,,N","",""
"US1OKTL0066","2018-09","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8",",N","5",",N","2",",N","","","","","74.7",",,N,22,","121.5",",,,N","",""
"US1OKTL0066","2018-10","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","10","3,N","8","3,N","1","3,N","","","","","48.0","3,,N,07,","121.8",",a,,N","",""
"US1OKTL0066","2018-11","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7",",N","4",",N","0",",N","","","","","8.9",",,N,04,","33.3",",,,N","",""
"US1OKTL0066","2018-12","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","5","5,N","3","5,N","1","5,N","","","","","41.1","5,,N,14,","64.7","5,,,N","",""
"US1OKTL0066","2019-01","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8","1,N","5","1,N","2","1,N","","","","","44.7","1,,N,04,","109.2","1,,,N","",""
"US1OKTL0066","2019-02","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7","3,N","4","3,N","0","3,N","","","","","10.2","3,,N,07,","33.2","3,,,N","",""
"US1OKTL0066","2019-03","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","10","4,N","7","4,N","2","4,N","","","","","31.2","4,,N,09,","96.4","2,a,,N","",""
"US1OKTL0066","2019-04","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","5","1,N","3","1,N","1","1,N","","","","","37.3","1,,N,14,","50.5","1,,,N","",""
"US1OKTL0066","2019-05","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","13","4,N","11","4,N","4","4,N","","","","","158.2","4,,N,21,","361.1","1,a,,N","",""
"US1OKTL0066","2019-06","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","11","2,N","7","2,N","2","2,N","","","","","44.2","2,,N,07,","179.4",",a,,N","",""
"US1OKTL0066","2019-07","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","7",",N","4",",N","1",",N","","","","","51.6",",,N,07,","72.0",",,,N","",""
"US1OKTL0066","2019-08","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","","","","","","","","","","","","","183.6",",a,,N","",""
"US1OKTL0066","2019-10","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","14",",N","11",",N","4",",N","","","","","40.1",",,N,25,","188.9",",,,N","",""
"US1OKTL0066","2019-11","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","4","4,N","2","4,N","1","4,N","","","","","92.7","4,,N,07,","146.2",",a,,N","",""
"US1OKTL0066","2019-12","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","3",",N","1",",N","0",",N","0","4,N","0","4,T,N,17,","24.9",",,N,29,","27.9",",,,N","0","4,T,,N"
"US1OKTL0066","2020-01","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","9",",N","6",",N","2",",N","","","","","46.5",",,N,11,","120.3",",,,N","",""
"US1OKTL0066","2020-02","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","5","5,N","4","5,N","0","5,N","","","","","14.0","5,,N,05,","58.0",",a,,N","",""
"US1OKTL0066","2020-03","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8","5,N","6","5,N","0","5,N","","","","","24.6","5,,N,20,","152.6",",a,,N","",""
"US1OKTL0066","2020-05","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","13",",N","10",",N","1",",N","","","","","36.8",",,N,26,","149.5",",,,N","",""
"US1OKTL0066","2020-06","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","2",",N","2",",N","0",",N","0","4,N","0","4,,N,30,+","3.3",",,N,23,","5.8",",,,N","0","4,,,N"
"US1OKTL0066","2020-07","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","13",",N","8",",N","3",",N","","","","","36.1",",,N,12,","155.7",",,,N","",""
"US1OKTL0066","2020-08","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","4","5,N","3","5,N","2","5,N","","","","","45.0","5,,N,13,","95.6",",a,,N","",""
"US1OKTL0066","2020-09","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","9",",N","7",",N","0",",N","","","","","24.1",",,N,23,","81.0",",,,N","",""
"US1OKTL0066","2020-10","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8",",N","6",",N","2",",N","","","","","55.4",",,N,27,","121.8",",,,N","",""
"US1OKTL0066","2020-11","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","6","3,N","3","3,N","0","3,N","","","","","6.9","3,,N,14,","35.0",",a,,N","",""
"US1OKTL0066","2020-12","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","9",",N","6",",N","0",",N","2","5,N","130","5,,N,14,","20.3",",,N,30,","71.1",",,,N","197","5,,,N"
"US1OKTL0066","2021-01","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","8",",N","4",",N","1",",N","","","","","33.3",",,N,01,","70.8",",,,N","",""
"US1OKTL0066","2021-02","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","12",",N","4",",N","0",",N","3","4,N","112","4,,N,15,","6.6",",,N,15,","25.2",",,,N","252","4,,,N"
"US1OKTL0066","2021-03","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","10",",N","6",",N","0",",N","","","","","20.1",",,N,23,","63.3",",,,N","",""
"US1OKTL0066","2021-04","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","11","2,N","7","2,N","2","2,N","","","","","30.2","2,,N,28,","96.0","2,,,N","",""
"US1OKTL0066","2021-05","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","","","","","","","","","","","","","113.1","3,a,,N","",""
"US1OKTL0066","2021-06","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","10",",N","6",",N","1",",N","","","","","75.7",",,N,27,","150.0",",,,N","",""
"US1OKTL0066","2021-07","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","6","4,N","6","4,N","3","4,N","","","","","55.4","4,,N,02,","155.8",",a,,N","",""
"US1OKTL0066","2021-08","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","6",",N","4",",N","0",",N","","","","","19.1",",,N,18,","52.1",",,,N","",""
"US1OKTL0066","2021-09","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","2","1,N","1","1,N","0","1,N","0","4,N","0","4,,N,30,+","9.4","1,,N,05,","11.4","1,,,N","0","4,,,N"
"US1OKTL0066","2021-11","36.1011450339752","-95.768786655849",,"TULSA 8.4 ESE, OK US","5","4,N","3","4,N","0","4,N","","","","","14.0","4,,N,11,","35.6","4,,,N","",""
