"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOJC0035","2016-06","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","4",",N","2",",N","0",",N","","","","","8.1",",,N,27,","18.8",",,,N","",""
"US1MOJC0035","2016-07","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","11",",N","6",",N","1",",N","","","","","91.9",",,N,03,","161.9",",,,N","",""
"US1MOJC0035","2016-08","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","14",",N","11",",N","2",",N","","","","","65.0",",,N,25,","241.1",",,,N","",""
"US1MOJC0035","2016-09","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","10",",N","8",",N","1",",N","","","","","38.4",",,N,14,","115.1",",,,N","",""
"US1MOJC0035","2016-12","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","6","2,N","3","2,N","0","2,N","","","","","7.1","2,,N,26,","17.4","2,,,N","",""
"US1MOJC0035","2017-01","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","6","4,N","3","4,N","0","4,N","","","","","3.8","4,,N,22,","12.6","4,,,N","",""
"US1MOJC0035","2017-02","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","5",",N","0",",N","0",",N","","","","","1.0",",,N,21,","2.9",",,,N","",""
"US1MOJC0035","2017-03","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","9","4,N","5","4,N","0","4,N","","","","","18.8","4,,N,01,","48.3","4,,,N","",""
"US1MOJC0035","2017-05","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","11","5,N","5","5,N","1","5,N","","","","","39.9","5,,N,19,","80.3","5,,,N","",""
"US1MOJC0035","2017-06","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","14",",N","7",",N","2",",N","","","","","55.4",",,N,30,","140.1",",,,N","",""
"US1MOJC0035","2017-07","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","8",",N","6",",N","2",",N","","","","","124.0",",,N,27,","207.3",",,,N","",""
"US1MOJC0035","2017-08","38.959303","-94.442561","248.1","RAYTOWN 2.7 SSE, MO US","9",",N","8",",N","2",",N","","","","","154.2",",,N,22,","303.1",",,,N","",""
