"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIRC0016","2018-04","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","6","4,N","4","4,N","0","4,N","0","2,N","0","2,,N,30,+","7.6","4,,N,28,+","75.6","1,a,,N","0","2,,,N"
"US1WIRC0016","2018-05","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","12","4,N","11","4,N","2","4,N","","","","","31.8","4,,N,13,","151.5","4,,,N","",""
"US1WIRC0016","2018-06","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","11","2,N","9","2,N","3","2,N","","","","","59.7","2,,N,19,","169.1","2,,,N","",""
"US1WIRC0016","2018-07","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","6",",N","6",",N","0",",N","0","4,N","0","4,,N,31,+","18.3",",,N,20,","55.6",",,,N","0","4,,,N"
"US1WIRC0016","2018-08","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","11",",N","8",",N","0",",N","","","","","22.9",",,N,28,","92.5",",,,N","",""
"US1WIRC0016","2018-09","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","9","1,N","7","1,N","4","1,N","","","","","38.1","1,,N,03,","150.7","1,,,N","",""
"US1WIRC0016","2018-10","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","10","1,N","8","1,N","3","1,N","","","","","50.3","1,,N,01,","149.8","1,,,N","",""
"US1WIRC0016","2018-11","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","8","3,N","6","3,N","0","3,N","0","5,N","0","5,,N,30,+","12.7","3,,N,05,","50.3","3,,,N","0","5,,,N"
"US1WIRC0016","2018-12","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","7","2,N","4","2,N","0","2,N","0","5,N","0","5,,N,31,+","17.8","2,,N,02,","39.2","2,,,N","0","5,,,N"
"US1WIRC0016","2019-01","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","6","5,N","3","5,N","0","5,N","","","","","12.7","5,,N,01,","30.0","5,,,N","",""
"US1WIRC0016","2019-03","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","6","4,N","4","4,N","0","4,N","0","4,N","0","4,,N,31,+","12.7","4,,N,10,","30.0","4,,,N","0","4,,,N"
"US1WIRC0016","2019-04","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","11","3,N","9","3,N","0","3,N","","","","","14.0","3,,N,12,","60.3","3,,,N","",""
"US1WIRC0016","2019-05","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","20","1,N","17","1,N","1","1,N","","","","","36.8","1,,N,09,","193.9","1,,,N","",""
"US1WIRC0016","2019-06","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","12","3,N","9","3,N","0","3,N","","","","","23.6","3,,N,02,","104.0","3,,,N","",""
"US1WIRC0016","2019-07","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","9","2,N","7","2,N","1","2,N","","","","","27.9","2,,N,18,","94.1","2,,,N","",""
"US1WIRC0016","2019-08","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","11","2,N","9","2,N","0","2,N","","","","","21.6","2,,N,08,","103.6","2,,,N","",""
"US1WIRC0016","2019-09","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","11","4,N","8","4,N","3","4,N","","","","","67.3","4,,N,13,","177.2","4,,,N","",""
"US1WIRC0016","2019-10","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","10","2,N","9","2,N","2","2,N","","","","","62.2","2,,N,02,","158.9","2,,,N","",""
"US1WIRC0016","2019-11","42.750973","-88.225082","241.1","WATERFORD 1.0 SSW, WI US","","","","","","","","","","","","","36.1","5,a,,N","",""
