"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00014798","1891-11","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","5.6",",6","10",",6","5",",6","2",",6","","","","","0",",6","5",",6","0",",6","11",",6","0",",6","","","","","-6.7",",6,30,","","","","","49.5",",,6,22,","28.3",",6,05,","","","208.4",",6","136.4",",,,6","","","11.57",",6","18.16",",,,6","4.99",",,,6"
"USC00014798","1892-06","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","224.2",",6","12",",6","7",",6","2",",6","","","","","0",",6","0",",6","0",",6","30",",6","14",",6","","","","","15.6",",6,04,","","","","","47.0",",,6,27,","36.1",",6,15,","","","0.0",",6","140.6",",,,6","","","25.81",",6","31.85",",,,6","19.76",",,,6"
"USC00014798","1892-07","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","244.5",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","11",",6","","","","","18.9",",6,10,","","","","","","","33.9",",6,24,+","0.0","","0.0",",6","","","","","26.22",",6","30.89",",,,6","21.55",",,,6"
"USC00014798","1892-08","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","251.4",",6","19",",6","8",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","11",",6","","","","","20.0",",6,27,+","","","","","33.3",",,6,26,","33.9",",6,06,","0.0","","0.0",",6","125.9",",,,6","","","26.44",",6","31.45",",,,6","21.43",",,,6"
"USC00014798","1892-11","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","5.8","4,6","9",",6","5",",6","1",",6","","","","","0","3,6","7","3,6","0","1,6","12","1,6","0","1,6","","","","","-2.8","3,6,11,","","","","","33.5",",,6,09,","26.1","1,6,03,","","","156.8","1,6","82.6",",,,6","","","12.75","4,6","18.95","1,,,6","6.54","3,,,6"
"USC00014798","1896-10","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","29.5",",6","5",",6","5",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","0",",6","","","","","1.7",",6,20,","","","","","18.8",",,6,23,","30.0",",6,03,","","","47.5",",6","63.0",",,,6","","","17.75",",6","25.05",",,,6","10.45",",,,6"
"USC00014798","1896-11","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","8.9","2,6","","","","","","","","","","","0","1,6","4","1,6","0","1,6","20","1,6","0","1,6","","","","","-3.3","1,6,09,","","","","","","","29.4","1,6,11,","","","113.7","1,6","","","","","14.41","2,6","21.28","1,,,6","7.54","1,,,6"
"USC00014798","1896-12","32.5811","-88.1897","39.0","LIVINGSTON, AL US","","","","","3",",6","1",",6","0",",6","","","","","0","1,6","12","1,6","","","","","","","","","","","-6.7","1,6,26,","","","","","4.8",",,6,09,","","","","","","","8.9",",,,6","","","","","","","3.22","1,,,6"
"USC00014798","1897-01","32.5811","-88.1897","39.0","LIVINGSTON, AL US","1.1","6","1.1",",6","8",",6","7",",6","2",",6","","","0",",6","0",",6","15",",6","5",",6","1",",6","0",",6","","","","","-10.0",",6,29,+","","","0",",,6,31,+","28.7",",,6,20,","22.2",",6,03,","","","368.9",",6","119.5",",,,6","0",",,,6","6.47",",6","11.27",",,,6","1.67",",,,6"
"USC00014798","1897-02","32.5811","-88.1897","39.0","LIVINGSTON, AL US","10.3","6","9.2",",6","10",",6","9",",6","2",",6","","","","","0",",6","3",",6","0",",6","6",",6","0",",6","1","","","","-2.8",",6,28,+","","","","","39.4",",,6,23,","27.2",",6,23,","","","207.1",",6","149.6",",,,6","","","11.27",",6","16.17",",,,6","6.36",",,,6"
