"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00069018","1875-07","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","4",",a","2",",a","0",",a","","","","","","","","","","","","","6.4",",,a,28,","","","","","","","14.8",",,,a","","","","","",""
"ASN00069018","1875-08","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","2",",a","2",",a","0",",a","","","","","","","","","","","","","13.5",",,a,08,","","","","","","","16.0",",,,a","","","","","",""
"ASN00069018","1875-09","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","3",",a","2",",a","0",",a","","","","","","","","","","","","","2.5",",,a,13,+","","","","","","","7.0",",,,a","","","","","",""
"ASN00069018","1875-10","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","8",",a","6",",a","1",",a","","","","","","","","","","","","","27.2",",,a,12,","","","","","","","72.8",",,,a","","","","","",""
"ASN00069018","1875-11","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","8",",a","5",",a","0",",a","","","","","","","","","","","","","20.8",",,a,30,","","","","","","","42.8",",,,a","","","","","",""
"ASN00069018","1875-12","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","7",",a","6",",a","0",",a","","","","","","","","","","","","","15.2",",,a,17,","","","","","","","50.5",",,,a","","","","","",""
"ASN00069018","1876-01","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","6",",a","4",",a","0",",a","","","","","","","","","","","","","8.4",",,a,15,","","","","","","","24.1",",,,a","","","","","",""
"ASN00069018","1876-02","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","4",",a","4",",a","0",",a","","","","","","","","","","","","","14.0",",,a,28,","","","","","","","41.7",",,,a","","","","","",""
"ASN00069018","1876-03","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","6",",a","3",",a","0",",a","","","","","","","","","","","","","17.8",",,a,06,","","","","","","","29.7",",,,a","","","","","",""
"ASN00069018","1876-04","-35.9093","150.1532","17.0","MORUYA HEADS PILOT STATION, AS","","","","","6",",a","2",",a","0",",a","","","","","","","","","","","","","14.7",",,a,14,","","","","","","","24.9",",,,a","","","","","",""
