"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VAMN0024","2014-12","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16",",N","9",",N","0",",N","","","","","","","","","18.3",",,N,02,","71.8",",,,N","",""
"US1VAMN0024","2015-01","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","8","1,N","3","1,N","0","1,N","","","","","","","","","17.5","1,,N,24,","32.5","1,,,N","",""
"US1VAMN0024","2015-02","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","11",",N","5",",N","0",",N","","","","","","","","","22.1",",,N,17,","65.5",",,,N","",""
"US1VAMN0024","2015-03","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14",",N","9",",N","1",",N","","","","","","","","","28.7",",,N,05,","119.3",",,,N","",""
"US1VAMN0024","2015-04","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16","4,N","8","4,N","0","4,N","","","","","","","","","16.5","4,,N,15,","95.9","4,,,N","",""
"US1VAMN0024","2015-06","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","20",",N","9",",N","1",",N","","","","","","","","","33.0",",,N,06,","105.9",",,,N","",""
"US1VAMN0024","2015-07","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","19","1,N","6","1,N","2","1,N","","","","","","","","","31.2","1,,N,06,","104.3","1,,,N","",""
"US1VAMN0024","2015-08","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","15","4,N","7","4,N","1","4,N","","","","","","","","","41.1","4,,N,11,","86.0","1,a,,N","",""
"US1VAMN0024","2015-09","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14","3,N","8","3,N","2","3,N","","","","","","","","","73.4","3,,N,30,","194.3",",a,,N","",""
"US1VAMN0024","2015-10","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","17",",N","9",",N","1",",N","","","","","","","","","28.4",",,N,28,","103.6",",,,N","",""
"US1VAMN0024","2015-11","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","13","2,N","5","2,N","1","2,N","","","","","","","","","47.0","2,,N,19,","92.1","2,,,N","",""
"US1VAMN0024","2015-12","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","21","2,N","12","2,N","2","2,N","","","","","","","","","27.7","2,,N,02,","142.5","2,,,N","",""
"US1VAMN0024","2016-01","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14","1,N","5","1,N","0","1,N","","","","","","","","","24.6","1,,N,23,","75.0","1,,,N","",""
"US1VAMN0024","2016-02","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14",",N","9",",N","2",",N","","","","","","","","","33.0",",,N,16,","127.6",",,,N","",""
"US1VAMN0024","2016-03","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","12","1,N","7","1,N","0","1,N","","","","","","","","","18.5","1,,N,15,","61.6","1,,,N","",""
"US1VAMN0024","2016-04","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","13","1,N","6","1,N","0","1,N","","","","","","","","","9.7","1,,N,29,","40.4","1,,,N","",""
"US1VAMN0024","2016-05","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","24","4,N","11","4,N","0","4,N","","","","","","","","","19.3","4,,N,21,","99.2","1,a,,N","",""
"US1VAMN0024","2016-06","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16",",N","8",",N","2",",N","","","","","","","","","41.9",",,N,24,","102.9",",,,N","",""
"US1VAMN0024","2016-07","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","13","4,N","8","4,N","2","4,N","","","","","","","","","31.2","4,,N,05,","127.4","1,a,,N","",""
"US1VAMN0024","2016-08","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14","3,N","7","3,N","1","3,N","","","","","","","","","33.0","3,,N,04,","114.3",",a,,N","",""
"US1VAMN0024","2016-09","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","8","4,N","6","4,N","3","4,N","","","","","","","","","68.8","4,,N,30,","219.5",",a,,N","",""
"US1VAMN0024","2016-10","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","6",",N","3",",N","1",",N","","","","","","","","","40.6",",,N,08,","51.6",",,,N","",""
"US1VAMN0024","2016-11","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","4",",N","2",",N","0",",N","","","0","5,N","","","0","5,,N,30,+","13.0",",,N,30,","23.2",",,,N","0","5,,,N"
"US1VAMN0024","2016-12","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","17","1,N","8","1,N","1","1,N","","","","","","","","","27.9","1,,N,07,","96.6","1,,,N","",""
"US1VAMN0024","2017-01","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","20","3,N","9","3,N","1","3,N","","","","","","","","","29.5","3,,N,23,","116.1",",a,,N","",""
"US1VAMN0024","2017-02","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","7",",N","3",",N","0",",N","","","","","","","","","9.1",",,N,09,","21.6",",,,N","",""
"US1VAMN0024","2017-03","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","15",",N","6",",N","0",",N","","","","","","","","","25.1",",,N,31,","84.2",",,,N","",""
"US1VAMN0024","2017-04","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14","4,N","9","4,N","1","4,N","","","","","","","","","51.6","4,,N,24,","139.0",",a,,N","",""
"US1VAMN0024","2017-06","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","12","3,N","7","3,N","1","3,N","","","","","","","","","25.4","3,,N,20,","80.6","3,,,N","",""
"US1VAMN0024","2017-07","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","9","3,N","4","3,N","0","3,N","","","","","","","","","19.6","3,,N,24,","86.6",",a,,N","",""
"US1VAMN0024","2017-08","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16","3,N","8","3,N","0","3,N","","","","","","","","","18.3","3,,N,08,","74.4",",a,,N","",""
"US1VAMN0024","2017-09","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","11",",N","5",",N","0",",N","","","","","","","","","16.0",",,N,21,","52.9",",,,N","",""
"US1VAMN0024","2017-10","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","10",",N","5",",N","3",",N","","","","","","","","","66.3",",,N,09,","201.6",",,,N","",""
"US1VAMN0024","2017-11","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","11",",N","5",",N","0",",N","","","","","","","","","8.6",",,N,19,","29.8",",,,N","",""
"US1VAMN0024","2017-12","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","9",",N","3",",N","0",",N","","","","","","","","","8.1",",,N,24,","21.0",",,,N","",""
"US1VAMN0024","2018-01","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","10",",N","6",",N","0",",N","","","","","","","","","14.5",",,N,29,","46.5",",,,N","",""
"US1VAMN0024","2018-02","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","19",",N","13",",N","1",",N","","","","","","","","","32.3",",,N,11,","123.4",",,,N","",""
"US1VAMN0024","2018-03","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16",",N","11",",N","1",",N","","","","","","","","","28.7",",,N,25,","123.9",",,,N","",""
"US1VAMN0024","2018-06","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","13","2,N","3","2,N","0","2,N","","","","","","","","","17.8","2,,N,26,","47.8","2,,,N","",""
"US1VAMN0024","2018-07","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","10",",N","6",",N","1",",N","","","","","","","","","30.2",",,N,22,","74.5",",,,N","",""
"US1VAMN0024","2018-08","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","12","3,N","9","3,N","0","3,N","","","","","","","","","23.6","3,,N,02,","86.9","1,a,,N","",""
"US1VAMN0024","2018-09","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16","2,N","8","2,N","3","2,N","","","","","","","","","48.0","2,,N,17,","200.4","2,,,N","",""
"US1VAMN0024","2018-10","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16",",N","8",",N","2",",N","","","","","","","","","41.9",",,N,12,","122.5",",,,N","",""
"US1VAMN0024","2018-11","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","16",",N","11",",N","0",",N","","","","","","","","","20.8",",,N,13,","108.3",",,,N","",""
"US1VAMN0024","2018-12","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","13","1,N","9","1,N","1","1,N","","","2","3,N","","","224","3,,N,10,","26.2","1,,N,10,","127.5","1,,,N","346","3,,,N"
"US1VAMN0024","2019-01","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","12","1,N","7","1,N","0","1,N","","","2","1,N","","","51","1,,N,13,","21.8","1,,N,20,","78.8","1,,,N","79","1,,,N"
"US1VAMN0024","2019-02","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","13",",N","12",",N","1",",N","2",",N","1",",N","102",",,N,20,","104",",,N,20,","25.9",",,N,23,","154.5",",,,N","104",",,,N"
"US1VAMN0024","2019-03","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","12",",N","7",",N","0",",N","1",",N","0",",N","25",",,N,09,","20",",,N,09,","14.0",",,N,04,","64.8",",,,N","20",",,,N"
"US1VAMN0024","2019-04","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","10","4,N","5","4,N","1","4,N","","","0","4,N","","","0","4,,N,30,+","33.0","4,,N,20,","120.2",",a,,N","0","4,,,N"
"US1VAMN0024","2019-06","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","15","3,N","9","3,N","2","3,N","","","","","","","","","29.5","3,,N,11,","176.0","1,a,,N","",""
"US1VAMN0024","2019-09","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","","","","","","","","","","","","","","","","","25.0","4,a,,N","",""
"US1VAMN0024","2019-10","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","14","2,N","7","2,N","0","2,N","","","","","","","","","24.4","2,,N,27,","168.7",",a,,N","",""
"US1VAMN0024","2019-11","37.226389","-80.406361","662.3","BLACKSBURG 1.3 ESE, VA US","11",",N","6",",N","1",",N","","","","","","","","","41.4",",,N,01,","93.7",",,,N","",""
