"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ALMD0105","2020-08","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","9","4,N","8","4,N","1","4,N","51.6","4,,N,15,","106.9","4,,,N"
"US1ALMD0105","2020-09","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","8",",N","8",",N","2",",N","40.6",",,N,25,","132.0",",,,N"
"US1ALMD0105","2020-10","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","9",",N","7",",N","2",",N","64.8",",,N,29,","126.2",",,,N"
"US1ALMD0105","2020-11","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","6","2,N","3","2,N","0","2,N","21.3","2,,N,30,","63.0",",a,,N"
"US1ALMD0105","2020-12","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","9",",N","6",",N","2",",N","36.1",",,N,14,","108.7",",,,N"
"US1ALMD0105","2021-01","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","9",",N","7",",N","1",",N","45.7",",,N,25,","97.8",",,,N"
"US1ALMD0105","2021-02","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","10",",N","10",",N","1",",N","27.7",",,N,16,","139.8",",,,N"
"US1ALMD0105","2021-03","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","12",",N","10",",N","6",",N","57.4",",,N,18,","228.5",",,,N"
"US1ALMD0105","2021-04","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","8",",N","7",",N","1",",N","68.1",",,N,08,","124.7",",,,N"
"US1ALMD0105","2021-05","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","7",",N","6",",N","2",",N","52.3",",,N,10,","124.2",",,,N"
"US1ALMD0105","2021-06","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","14",",N","10",",N","0",",N","24.9",",,N,03,","109.4",",,,N"
"US1ALMD0105","2021-07","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","11",",N","8",",N","1",",N","35.1",",,N,12,","125.1",",,,N"
"US1ALMD0105","2021-08","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","12","1,N","10","1,N","3","1,N","51.6","1,,N,14,","203.7","1,,,N"
"US1ALMD0105","2021-10","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","12",",N","10",",N","2",",N","36.6",",,N,16,","135.2",",,,N"
"US1ALMD0105","2021-11","34.812818","-86.770489","251.5","HARVEST 3.2 SSW, AL US","5","3,N","4","3,N","1","3,N","27.7","3,,N,22,","48.3","3,,,N"
