"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXMCL012","2012-06","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","4",",N","4",",N","1",",N","0","4,N","0","4,,N,30,+","35.8",",,N,07,","52.8",",,,N","0","4,,,N"
"US1TXMCL012","2012-07","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","4",",N","1",",N","","","","","40.6",",,N,10,","86.6",",,,N","",""
"US1TXMCL012","2012-08","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","5",",N","2",",N","0",",N","0","5,N","0","5,,N,31,+","21.1",",,N,19,","29.8",",,,N","0","5,,,N"
"US1TXMCL012","2012-09","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","6",",N","1",",N","","","","","76.5",",,N,30,","138.9",",,,N","",""
"US1TXMCL012","2012-10","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXMCL012","2012-11","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,30,+","1.8",",,N,04,","2.6",",,,N","0","2,,,N"
"US1TXMCL012","2012-12","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,31,+","11.2",",,N,15,","20.6",",,,N","0","4,,,N"
"US1TXMCL012","2013-01","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","9",",N","4",",N","2",",N","","","","","87.4",",,N,09,","131.8",",,,N","",""
"US1TXMCL012","2013-02","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","4",",N","0",",N","","","","","16.0",",,N,10,","43.7",",,,N","",""
"US1TXMCL012","2013-03","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","4",",N","2",",N","1",",N","0","5,N","0","5,,N,31,+","42.4",",,N,10,","48.6",",,,N","0","5,,,N"
"US1TXMCL012","2013-04","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","4",",N","0",",N","","","","","12.2",",,N,03,","37.4",",,,N","",""
"US1TXMCL012","2013-05","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","9",",N","6",",N","1",",N","","","","","27.7",",,N,22,","94.6",",,,N","",""
"US1TXMCL012","2013-06","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","4",",N","2",",N","0",",N","","","","","8.4",",,N,02,","16.3",",,,N","",""
"US1TXMCL012","2013-07","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","5","2,N","3","2,N","1","2,N","0","4,N","0","4,,N,31,+","79.0","2,,N,15,","99.4","2,,,N","0","4,,,N"
"US1TXMCL012","2013-08","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","2.8",",,N,11,","4.1",",,,N","0","2,,,N"
"US1TXMCL012","2013-09","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","6",",N","4",",N","1",",N","","","","","68.1",",,N,20,","119.1",",,,N","",""
"US1TXMCL012","2013-10","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","10",",N","7",",N","2",",N","","","","","101.6",",,N,16,","192.1",",,,N","",""
"US1TXMCL012","2013-11","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","10",",N","5",",N","0",",N","","","","","17.8",",,N,22,","67.1",",,,N","",""
"US1TXMCL012","2013-12","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","5",",N","4",",N","0",",N","","","","","24.6",",,N,22,","41.0",",,,N","",""
"US1TXMCL012","2014-01","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","2",",N","1",",N","0",",N","0","5,N","0","5,,N,31,+","3.6",",,N,09,","4.4",",,,N","0","5,,,N"
"US1TXMCL012","2014-02","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","6",",N","1",",N","0",",N","","","","","4.8",",,N,04,","9.4",",,,N","",""
"US1TXMCL012","2014-03","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","6","2,N","3","2,N","0","2,N","","","","","17.0","2,,N,29,","30.6",",a,,N","",""
"US1TXMCL012","2014-04","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","2",",N","1",",N","","","","","33.0",",,N,14,","45.1",",,,N","",""
"US1TXMCL012","2014-05","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","6",",N","3",",N","","","","","58.2",",,N,13,","160.6",",,,N","",""
"US1TXMCL012","2014-06","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","8",",N","7",",N","2",",N","","","","","33.8",",,N,10,","133.9",",,,N","",""
"US1TXMCL012","2014-07","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","3",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","5.3",",,N,16,","10.4",",,,N","0","4,,,N"
"US1TXMCL012","2014-08","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","3",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","18.5",",,N,29,","24.6",",,,N","0","4,,,N"
"US1TXMCL012","2014-09","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","7",",N","3",",N","1",",N","","","","","37.3",",,N,12,","63.8",",,,N","",""
"US1TXMCL012","2014-10","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","5",",N","3",",N","2",",N","","","","","66.5",",,N,13,","127.5",",,,N","",""
"US1TXMCL012","2014-11","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","5",",N","3",",N","2",",N","","","","","39.1",",,N,23,","83.5",",,,N","",""
"US1TXMCL012","2014-12","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","9",",N","2",",N","0",",N","","","","","8.6",",,N,19,","15.6",",,,N","",""
"US1TXMCL012","2015-01","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","8",",N","6",",N","1",",N","","","","","30.0",",,N,21,","87.0",",,,N","",""
"US1TXMCL012","2015-02","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","9",",N","5",",N","0",",N","","","","","12.4",",,N,16,","42.1",",,,N","",""
"US1TXMCL012","2015-03","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","13",",N","8",",N","0",",N","","","","","20.1",",,N,10,","69.4",",,,N","",""
"US1TXMCL012","2015-05","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","19",",N","10",",N","3",",N","","","","","44.2",",,N,24,","169.5",",,,N","",""
"US1TXMCL012","2015-06","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","6",",N","6",",N","1",",N","","","","","66.3",",,N,17,","112.1",",,,N","",""
"US1TXMCL012","2015-07","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXMCL012","2015-08","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","3",",N","1",",N","0",",N","","","","","2.8",",,N,31,","5.1",",,,N","",""
"US1TXMCL012","2015-09","31.5800800323486","-97.3242568969727","180.4","CRAWFORD 7.5 ENE, TX US","2",",N","2",",N","0",",N","0","4,N","0","4,,N,30,+","5.1",",,N,10,","7.6",",,,N","0","4,,,N"
