"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCCV0029","2016-09","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","6",",N","2",",N","1",",N","","","","","29.2",",,N,27,","41.8",",,,N","",""
"US1NCCV0029","2016-10","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","3",",N","1",",N","0",",N","0","3,N","0","3,,N,31,+","20.3",",,N,08,","22.6",",,,N","0","3,,,N"
"US1NCCV0029","2016-11","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","2",",N","2",",N","0",",N","0","2,N","0","2,,N,30,+","14.7",",,N,30,","18.0",",,,N","0","2,,,N"
"US1NCCV0029","2016-12","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","12",",N","7",",N","0",",N","","","","","24.6",",,N,05,","69.8",",,,N","",""
"US1NCCV0029","2017-01","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","","","","","","","","","","","","","121.3","2,a,,N","",""
"US1NCCV0029","2017-02","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","7","1,N","4","1,N","0","1,N","","","","","6.4","1,,N,08,","17.8","1,,,N","",""
"US1NCCV0029","2017-03","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","12","4,N","7","4,N","2","4,N","","","","","37.1","4,,N,31,","126.2",",a,,N","",""
"US1NCCV0029","2017-04","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","13","1,N","7","1,N","2","1,N","","","","","62.0","1,,N,24,","136.9","1,,,N","",""
"US1NCCV0029","2017-05","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","","","","","","","","","","","","","136.1",",a,,N","",""
"US1NCCV0029","2017-06","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","","","","","","","","","","","","","48.1",",a,,N","",""
"US1NCCV0029","2017-07","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","20","1,N","8","1,N","1","1,N","","","","","37.1","1,,N,02,","114.9","1,,,N","",""
"US1NCCV0029","2017-08","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","14",",N","9",",N","2",",N","","","","","36.8",",,N,14,","138.8",",,,N","",""
"US1NCCV0029","2017-09","35.373736","-81.476627","255.4","SHELBY 6.9 NNE, NC US","10","5,N","5","5,N","1","5,N","","","","","35.1","5,,N,12,","101.2","3,a,,N","",""
