"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KZ000038151","1959-07","43.6","65.9","59.0","TEHNICAUL, KZ","4","3,I","2","3,I","0","3,I","6.4","3,,I,27,","13.2","3,,,I"
"KZ000038151","1959-08","43.6","65.9","59.0","TEHNICAUL, KZ","2",",I","0",",I","0",",I","1.1",",,I,16,","1.5",",,,I"
"KZ000038151","1959-09","43.6","65.9","59.0","TEHNICAUL, KZ","0",",I","0",",I","0",",I","0.0",",T,I,27,","0.0",",T,,I"
"KZ000038151","1959-10","43.6","65.9","59.0","TEHNICAUL, KZ","3","1,I","2","1,I","0","1,I","4.8","1,,I,22,","10.6","1,,,I"
"KZ000038151","1959-11","43.6","65.9","59.0","TEHNICAUL, KZ","3","1,I","3","1,I","0","1,I","8.9","1,,I,13,","16.0","1,,,I"
"KZ000038151","1959-12","43.6","65.9","59.0","TEHNICAUL, KZ","0",",I","0",",I","0",",I","0.2",",,I,24,+","0.7",",,,I"
"KZ000038151","1960-01","43.6","65.9","59.0","TEHNICAUL, KZ","6","1,I","3","1,I","0","1,I","3.9","1,,I,17,","12.1","1,,,I"
"KZ000038151","1960-03","43.6","65.9","59.0","TEHNICAUL, KZ","3","1,I","1","1,I","0","1,I","8.6","1,,I,01,","10.3","1,,,I"
"KZ000038151","1960-04","43.6","65.9","59.0","TEHNICAUL, KZ","2",",I","1",",I","0",",I","2.7",",,I,05,","4.9",",,,I"
"KZ000038151","1960-05","43.6","65.9","59.0","TEHNICAUL, KZ","5",",I","1",",I","0",",I","10.0",",,I,16,","13.8",",,,I"
"KZ000038151","1960-06","43.6","65.9","59.0","TEHNICAUL, KZ","1",",I","1",",I","0",",I","2.5",",,I,28,","2.5",",,,I"
"KZ000038151","1960-07","43.6","65.9","59.0","TEHNICAUL, KZ","1",",I","0",",I","0",",I","0.3",",,I,01,","0.3",",,,I"
"KZ000038151","1960-08","43.6","65.9","59.0","TEHNICAUL, KZ","1",",I","0",",I","0",",I","0.6",",,I,01,","0.6",",,,I"
"KZ000038151","1960-09","43.6","65.9","59.0","TEHNICAUL, KZ","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"KZ000038151","1960-10","43.6","65.9","59.0","TEHNICAUL, KZ","1",",I","0",",I","0",",I","1.5",",,I,27,","1.5",",,,I"
"KZ000038151","1960-11","43.6","65.9","59.0","TEHNICAUL, KZ","1",",I","1",",I","0",",I","6.3",",,I,24,","6.3",",,,I"
"KZ000038151","1960-12","43.6","65.9","59.0","TEHNICAUL, KZ","2",",I","0",",I","0",",I","2.3",",,I,02,","3.4",",,,I"
"KZ000038151","1961-01","43.6","65.9","59.0","TEHNICAUL, KZ","1","1,I","0","1,I","0","1,I","0.6","1,,I,15,","0.8","1,,,I"
"KZ000038151","1961-02","43.6","65.9","59.0","TEHNICAUL, KZ","3",",I","0",",I","0",",I","2.2",",,I,26,","4.4",",,,I"
