"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000SRED","1998-01","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","0.0","U","0.0",",U","4",",U","30",",U","8",",U","0",",U","0",",U","-23.9",",U,12,","13.3",",U,02,+","","","646.2",",U","-2.51",",U","3.04",",,,U","-8.06",",,,U"
"USR0000SRED","1998-02","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","0.0","U","0.0",",U","0",",U","23",",U","4",",U","0",",U","0",",U","-8.3",",U,28,+","13.9",",U,22,","","","462.1",",U","1.83",",U","6.52",",,,U","-2.86",",,,U"
"USR0000SRED","1998-03","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","0.0","U","0.0",",U","2",",U","27",",U","8",",U","2",",U","0",",U","-24.4",",U,11,","23.3",",U,25,","","","564.6",",U","0.12",",U","6.19",",,,U","-5.95",",,,U"
"USR0000SRED","1998-04","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","0.0","U","0.0",",U","0",",U","12",",U","0",",U","6",",U","0",",U","-3.9",",U,16,","25.6",",U,11,","","","303.9",",U","8.20",",U","14.99",",,,U","1.41",",,,U"
"USR0000SRED","1998-05","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","6.9","U","6.9",",U","0",",U","1",",U","0",",U","15",",U","0",",U","0.0",",U,02,","27.8",",U,17,","","","134.4",",U","14.22",",U","20.49",",,,U","7.95",",,,U"
"USR0000SRED","1998-06","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","28.9","U","22.0",",U","0",",U","0",",U","0",",U","16",",U","0",",U","0.6",",U,04,+","31.1",",U,25,","","","118.4",",U","15.12",",U","21.31",",,,U","8.93",",,,U"
"USR0000SRED","1998-07","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","189.7","U","160.8",",U","0",",U","0",",U","0",",U","30",",U","8",",U","13.9",",U,31,+","38.9",",U,18,","1.7","U","1.7",",U","23.46",",U","29.67",",,,U","17.26",",,,U"
"USR0000SRED","1998-08","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","332.5","U","142.8",",U","0",",U","0",",U","0",",U","31",",U","6",",U","13.3",",U,04,","33.3",",U,28,+","2.3","U","0.6",",U","22.92",",U","29.71",",,,U","16.13",",,,U"
"USR0000SRED","1998-09","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","443.3","U","110.8",",U","0",",U","0",",U","0",",U","26",",U","8",",U","4.4",",U,22,+","37.8",",U,04,","44.2","U","41.9",",U","20.63",",U","27.38",",,,U","13.88",",,,U"
"USR0000SRED","1998-10","43.4258","-103.7589","1415.5","RED CANYON SOUTH DAKOTA, SD US","443.3","U","0.0",",U","0",",U","2",",U","0",",U","2",",U","0",",U","0.0",",U,19,+","25.0",",U,08,","326.2","U","282.0",",U","9.24",",U","14.19",",,,U","4.28",",,,U"
