"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXHDL013","2008-01","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","7",",N","4",",N","0",",N","0",",N","0",",,N,31,+","19.6",",,N,17,","33.0",",,,N","0",",,,N"
"US1TXHDL013","2008-02","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","1",",N","0",",N","0",",N","0",",N","0",",,N,29,+","1.3",",,N,20,","1.3",",,,N","0",",,,N"
"US1TXHDL013","2008-03","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","1",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.8",",,N,01,","0.8",",,,N","0",",,,N"
"US1TXHDL013","2008-04","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","4",",N","1",",N","1",",N","0",",N","0",",,N,30,+","31.8",",,N,28,","32.7",",,,N","0",",,,N"
"US1TXHDL013","2008-05","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","2",",N","2",",N","0",",N","0",",N","0",",,N,31,+","5.1",",,N,16,","9.7",",,,N","0",",,,N"
"US1TXHDL013","2008-06","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","2",",N","1",",N","0",",N","0",",N","0",",,N,30,+","3.8",",,N,08,","4.3",",,,N","0",",,,N"
"US1TXHDL013","2008-07","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","12",",N","7",",N","3",",N","0",",N","0",",,N,31,+","136.7",",,N,24,","284.6",",,,N","0",",,,N"
"US1TXHDL013","2008-08","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","11",",N","5",",N","2",",N","0",",N","0",",,N,31,+","119.1",",,N,19,","192.2",",,,N","0",",,,N"
"US1TXHDL013","2008-09","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","11",",N","5",",N","1",",N","0",",N","0",",,N,30,+","42.7",",,N,16,","116.9",",,,N","0",",,,N"
"US1TXHDL013","2008-10","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","6",",N","3",",N","0",",N","0",",N","0",",,N,31,+","18.3",",,N,08,","38.1",",,,N","0",",,,N"
"US1TXHDL013","2008-11","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","2.0",",,N,21,+","5.6",",,,N","0",",,,N"
"US1TXHDL013","2008-12","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","5",",N","0",",N","0",",N","0","4,N","0","4,,N,31,+","1.5",",,N,17,","3.7",",,,N","0","4,,,N"
"US1TXHDL013","2009-01","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","3",",N","0",",N","0",",N","0","3,N","0","3,,N,31,+","0.5",",,N,01,","1.1",",,,N","0","3,,,N"
"US1TXHDL013","2009-02","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","5",",N","1",",N","0",",N","","","","","6.1",",,N,17,","10.2",",,,N","",""
"US1TXHDL013","2009-03","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","5","4,N","2","4,N","0","4,N","","","","","5.8","4,,N,15,","11.7","4,,,N","",""
"US1TXHDL013","2009-04","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","5",",N","2",",N","0",",N","0","5,N","0","5,,N,30,+","18.5",",,N,20,","24.4",",,,N","0","5,,,N"
"US1TXHDL013","2009-05","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","5","1,N","3","1,N","1","1,N","","","","","26.9","1,,N,28,","58.2","1,,,N","",""
"US1TXHDL013","2009-06","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","4",",N","1",",N","1",",N","0","4,N","0","4,,N,30,+","38.6",",,N,04,","41.7",",,,N","0","4,,,N"
"US1TXHDL013","2009-07","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","1.0",",,N,11,","1.5",",,,N","0","2,,,N"
"US1TXHDL013","2009-08","26.2315","-98.343","49.1","MISSION 2.1 NW, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
