"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ARDL0001","2009-05","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","17",",N","11",",N","5",",N","","","","","106.7",",,N,03,","371.7",",,,N","",""
"US1ARDL0001","2009-06","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","5",",N","2",",N","0",",N","","","","","15.2",",,N,11,","26.1",",,,N","",""
"US1ARDL0001","2009-07","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","13",",N","11",",N","7",",N","","","","","68.1",",,N,28,","376.8",",,,N","",""
"US1ARDL0001","2009-08","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","5",",N","4",",N","0",",N","0","5,N","0","5,,N,31,+","16.3",",,N,06,","48.6",",,,N","0","5,,,N"
"US1ARDL0001","2009-09","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","13","1,N","8","1,N","3","1,N","","","","","50.0","1,,N,16,","204.8","1,,,N","",""
"US1ARDL0001","2009-10","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","18",",N","15",",N","6",",N","","","","","143.8",",,N,14,","486.8",",,,N","",""
"US1ARDL0001","2009-11","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","4","1,N","2","1,N","1","1,N","0","5,N","0","5,,N,30,+","36.8","1,,N,30,","52.1","1,,,N","0","5,,,N"
"US1ARDL0001","2009-12","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","11",",N","7",",N","2",",N","","","","","135.4",",,N,24,","229.2",",,,N","",""
"US1ARDL0001","2010-01","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","9",",N","6",",N","1",",N","","","","","27.9",",,N,17,","91.7",",,,N","",""
"US1ARDL0001","2010-02","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","6",",N","5",",N","2",",N","","","","","47.2",",,N,09,","105.3",",,,N","",""
"US1ARDL0001","2010-03","33.90476","-92.46102","84.1","FORDYCE 6.6 NNW, AR US","8",",N","5",",N","0",",N","","","","","21.1",",,N,25,","67.7",",,,N","",""
