"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00096015","1986-04","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","31.1","5,S,26,","","","","","","","","","30.08","5,,,S","",""
"IDM00096015","1986-09","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","31.2","5,S,12,","","","","","","","","","30.08","5,,,S","",""
"IDM00096015","1987-04","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","32.0","5,S,02,","","","","","","","","","30.83","5,,,S","",""
"IDM00096015","1993-08","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","5","5,S","1","5,S","0","5,S","","","","","","","","","","","","","5.1","5,,S,05,","","","","","","","11.1","5,,,S","","","","","",""
"IDM00096015","1993-12","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","","","","","","","0","2,S","0","2,S","","","","","","","18.4","2,S,05,","","","","","","","","","","","","","","","20.16","2,,,S"
"IDM00096015","1994-01","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","","","","","","","0","4,S","0","4,S","","","","","","","19.4","4,S,29,+","","","","","","","","","","","","","","","20.18","4,,,S"
"IDM00096015","1994-03","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","198.8","3,S","13","4,S","11","4,S","3","4,S","0","2,S","0","2,S","0","2,S","29","2,S","0","2,S","19.2","2,S,28,+","56.9","4,,S,19,","31.4","2,S,30,","","","0.0","2,S","210.2","4,,,S","25.43","3,S","30.65","2,,,S","20.21","2,,,S"
"IDM00096015","1994-04","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","9","5,S","4","5,S","2","5,S","0","4,S","0","4,S","0","4,S","26","4,S","0","4,S","19.2","4,S,28,","124.0","5,,S,26,","31.8","4,S,02,","","","","","212.2","5,,,S","25.41","8,S","30.22","4,,,S","20.60","4,,,S"
"IDM00096015","1994-05","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19.4","5,S,31,","","","","","","","","","","","","","","","20.58","5,,,S"
"IDM00096015","1994-06","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","6","3,S","5","3,S","0","3,S","0","5,S","0","5,S","0","4,S","26","4,S","1","4,S","19.2","5,S,28,+","17.0","3,,S,29,+","32.5","4,S,27,","","","","","57.0","3,,,S","25.83","7,S","31.15","4,,,S","20.52","5,,,S"
"IDM00096015","1994-07","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","4","3,S","3","3,S","1","3,S","0","4,S","0","4,S","0","2,S","29","2,S","0","2,S","18.2","4,S,20,","40.9","3,,S,11,","31.8","2,S,16,","","","","","70.9","3,,,S","24.88","6,S","30.21","2,,,S","19.56","4,,,S"
"IDM00096015","1994-09","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","159.2","5,S","4","5,S","3","5,S","0","5,S","0","2,S","0","2,S","0","3,S","27","3,S","0","3,S","19.2","2,S,30,+","16.0","5,,S,25,","30.4","3,S,15,","","","0.0","3,S","28.9","5,,,S","24.64","5,S","29.17","3,,,S","20.10","2,,,S"
"IDM00096015","1994-10","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","168.5","4,S","12","4,S","8","4,S","2","4,S","0","2,S","0","2,S","0","2,S","29","2,S","0","2,S","13.5","2,S,25,","80.0","4,,S,05,","30.0","2,S,28,+","","","0.0","2,S","174.9","4,,,S","24.57","4,S","29.19","2,,,S","19.96","2,,,S"
"IDM00096015","1994-11","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","178.4","3,S","11","4,S","7","4,S","2","4,S","0","1,S","0","1,S","0","2,S","28","2,S","0","2,S","18.5","1,S,14,","45.0","4,,S,18,","31.2","2,S,27,+","","","0.0","2,S","134.3","4,,,S","24.95","3,S","29.73","2,,,S","20.18","1,,,S"
"IDM00096015","1994-12","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","187.3","4,S","","","","","","","0","1,S","0","1,S","0","3,S","28","3,S","0","3,S","16.4","1,S,13,","","","31.4","3,S,25,","","","0.0","3,S","","","25.24","4,S","30.39","3,,,S","20.08","1,,,S"
"IDM00096015","1995-01","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","201.7","S","201.7","2,S","7","2,S","7","2,S","2","2,S","0","1,S","0","1,S","0","1,S","30","1,S","0","1,S","17.4","1,S,08,","80.0","2,,S,02,","31.2","1,S,31,+","","","0.0","1,S","139.0","2,,,S","25.29","2,S","30.34","1,,,S","20.24","1,,,S"
"IDM00096015","1995-02","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","12",",S","7",",S","3",",S","0","4,S","0","4,S","0","3,S","25","3,S","0","3,S","19.2","4,S,18,","84.1",",,S,07,","31.5","3,S,09,","","","","","220.9",",,,S","25.46","7,S","30.34","3,,,S","20.59","4,,,S"
"IDM00096015","1995-05","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","10","4,S","7","4,S","4","4,S","0","2,S","0","2,S","0","5,S","26","5,S","1","5,S","18.2","2,S,16,+","136.9","4,,S,23,","32.3","5,S,15,","","","","","317.0","4,,,S","25.57","6,S","30.40","5,,,S","20.73","2,,,S"
"IDM00096015","1995-06","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","7","4,S","4","4,S","1","4,S","0","3,S","0","3,S","0","5,S","25","5,S","1","5,S","18.2","3,S,22,","35.1","4,,S,27,","32.5","5,S,11,","","","","","83.9","4,,,S","25.74","6,S","30.64","5,,,S","20.83","3,,,S"
"IDM00096015","1995-07","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","204.6","1,S","10","1,S","5","1,S","1","1,S","0",",S","0",",S","0","1,S","30","1,S","0","1,S","18.6",",S,16,+","50.0","1,,S,29,","31.8","1,S,06,","0.0","S","0.0","1,S","102.4","1,,,S","25.18","1,S","30.18","1,,,S","20.17",",,,S"
"IDM00096015","1995-08","4.25","96.117","90.0","MEULABOH CUT NYAK, ID","","","","","12","4,S","8","4,S","2","4,S","0","4,S","0","4,S","0","2,S","29","2,S","0","2,S","19.2","4,S,04,","47.0","4,,S,16,","32.0","2,S,24,","","","","","187.3","4,,,S","25.69","6,S","29.87","2,,,S","21.51","4,,,S"
