"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNSW0005","2020-09","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","3",",N","3",",N","0",",N","0","5,N","0","5,,N,30,+","15.2",",,N,12,","24.9",",,,N","0","5,,,N"
"US1MNSW0005","2020-10","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","7",",N","2",",N","0",",N","","","","","17.0",",,N,12,","33.9",",,,N","",""
"US1MNSW0005","2020-11","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","7",",N","4",",N","0",",N","","","","","15.2",",,N,09,","39.6",",,,N","",""
"US1MNSW0005","2020-12","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","4","1,N","2","1,N","0","1,N","","","","","7.6","1,,N,24,","16.8","1,,,N","",""
"US1MNSW0005","2021-01","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","7","2,N","3","2,N","0","2,N","3","5,N","71","5,,N,24,","6.1","2,,N,24,","17.8",",a,,N","157","5,,,N"
"US1MNSW0005","2021-02","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","5","2,N","1","2,N","0","2,N","","","","","5.8","2,,N,28,","8.2",",a,,N","",""
"US1MNSW0005","2021-04","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","10",",N","4",",N","1",",N","","","","","40.9",",,N,07,","103.3",",,,N","",""
"US1MNSW0005","2021-05","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","7","3,N","5","3,N","0","3,N","","","","","14.0","3,,N,14,","44.7",",a,,N","",""
"US1MNSW0005","2021-06","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","7",",N","4",",N","1",",N","0","5,N","0","5,,N,30,+","33.5",",,N,29,","72.3",",,,N","0","5,,,N"
"US1MNSW0005","2021-07","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","7",",N","7",",N","1",",N","0","5,N","0","5,,N,31,+","35.1",",,N,10,","88.2",",,,N","0","5,,,N"
"US1MNSW0005","2021-08","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","9",",N","7",",N","4",",N","0",",N","0",",,N,31,+","41.4",",,N,29,","156.2",",,,N","0",",,,N"
"US1MNSW0005","2021-09","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","","","","","","","","","","","","","112.2","2,a,,N","",""
"US1MNSW0005","2021-10","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","12",",N","6",",N","3",",N","0",",N","0",",,N,31,+","39.1",",,N,10,","133.7",",,,N","0",",,,N"
"US1MNSW0005","2021-11","45.31338","-95.60851","317.6","BENSON 0.1 SW, MN US","2","5,N","2","5,N","0","5,N","","","","","10.2","5,,N,11,","13.2","1,a,,N","",""
