"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BPW00080601","1983-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10","5,S","7","5,S","1","5,S","","","","","","","","","","","","","","","","","","","","","","","","","53.1","5,,S,17,","","","","","","","121.9","5,,,S","","","","","","","",""
"BPW00080601","1983-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","5","4,S","2","4,S","0","4,S","","","","","","","","","","","","","","","","","","","","","","","","","6.1","4,,S,05,","","","","","","","12.1","4,,,S","","","","","","","",""
"BPW00080601","1983-07","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10","5,S","5","5,S","1","5,S","","","","","","","","","0","4,S","27","4,S","1","4,S","","","","","","","","","","","27.9","5,,S,30,","33.0","4,S,11,","","","","","70.3","5,,,S","","","","","30.33","4,,,S","",""
"BPW00080601","1983-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","11","4,S","5","4,S","0","4,S","","","","","","","","","0","4,S","27","4,S","0","4,S","","","","","","","","","","","22.1","4,,S,15,","32.0","4,S,09,","","","","","61.4","4,,,S","","","","","30.19","4,,,S","",""
"BPW00080601","1983-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","13","3,S","7","3,S","1","3,S","","","","","","","","","","","","","","","","","","","","","","","","","41.9","3,,S,10,","","","","","","","131.1","3,,,S","","","","","","","",""
"BPW00080601","1983-10","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10","5,S","4","5,S","1","5,S","","","","","","","","","","","","","","","","","","","","","","","","","33.0","5,,S,27,","","","","","","","64.3","5,,,S","","","","","","","",""
"BPW00080601","1984-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","12","5,S","9","5,S","2","5,S","","","","","","","","","0",",S","31",",S","0",",S","","","","","","","","","","","134.9","5,,S,19,","32.0",",S,17,+","","","","","281.3","5,,,S","","","","","30.84",",,,S","",""
"BPW00080601","1984-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","14","5,S","9","5,S","0","5,S","","","","","","","","","0","2,S","27","2,S","1","2,S","","","","","","","","","","","17.0","5,,S,14,","33.0","2,S,13,","","","","","86.6","5,,,S","","","","","31.19","2,,,S","",""
"BPW00080601","1984-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","19","4,S","15","4,S","3","4,S","","","","","","","","","0","3,S","28","3,S","0","3,S","","","","","","","","","","","52.1","4,,S,30,","32.0","3,S,29,+","","","","","241.5","4,,,S","","","","","30.14","3,,,S","",""
"BPW00080601","1984-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","227.5","3,S","17","4,S","9","4,S","4","4,S","","","","","0","3,S","0","3,S","0","2,S","28","2,S","0","2,S","","","","","21.0","3,S,10,","","","","","69.1","4,,S,23,","32.0","2,S,16,+","","","0.0","2,S","257.0","4,,,S","","","26.77","3,S","30.57","2,,,S","22.96","3,,,S"
"BPW00080601","1984-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","0","5,S","0","5,S","0","4,S","27","4,S","0","4,S","","","","","22.0","5,S,29,+","","","","","","","32.0","4,S,27,","","","","","","","","","26.57","6,S","30.48","4,,,S","22.65","5,,,S"
"BPW00080601","1984-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","2,S","28","2,S","0","2,S","","","","","","","","","","","","","32.0","2,S,28,","","","","","","","","","","","30.43","2,,,S","",""
"BPW00080601","1984-07","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","199.5","S","199.5","4,S","","","","","","","","","","","0","4,S","0","4,S","0",",S","31",",S","1",",S","","","","","19.0","4,S,16,","","","","","","","33.0",",S,24,","","","0.0",",S","","","","","25.65","4,S","30.26",",,,S","21.04","4,,,S"
"BPW00080601","1984-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","4,S","26","4,S","3","4,S","","","","","","","","","","","","","33.0","4,S,25,+","","","","","","","","","","","31.23","4,,,S","",""
"BPW00080601","1985-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","4,S","26","4,S","2","4,S","","","","","","","","","","","","","33.0","4,S,30,+","","","","","","","","","","","31.31","4,,,S","",""
"BPW00080601","1985-11","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","4,S","26","4,S","0","4,S","","","","","","","","","","","","","32.0","4,S,29,+","","","","","","","","","","","30.88","4,,,S","",""
"BPW00080601","1986-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","3,S","28","3,S","0","3,S","","","","","","","","","","","","","32.0","3,S,26,+","","","","","","","","","","","31.36","3,,,S","",""
"BPW00080601","1990-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","17","3,S","12","3,S","3","3,S","","","","","","","","","","","","","","","","","","","","","","","","","48.0","3,,S,01,","","","","","","","240.5","3,,,S","","","","","","","",""
"BPW00080601","1992-11","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","7",",S","3",",S","1",",S","","","","","","","","","0","3,S","27","3,S","5","3,S","","","","","","","","","","","33.0",",,S,25,","33.8","3,S,28,","","","","","84.8",",,,S","","","","","30.83","3,,,S","",""
"BPW00080601","1992-12","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10","1,S","5","1,S","1","1,S","","","","","","","","","0","4,S","27","4,S","5","4,S","","","","","","","","","","","49.0","1,,S,15,","34.6","4,S,30,","","","","","89.0","1,,,S","","","","","31.29","4,,,S","",""
"BPW00080601","1993-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","9",",S","6",",S","0",",S","","","","","","","","","","","","","","","","","","","","","","","","","9.9",",,S,02,","","","","","","","40.8",",,,S","","","","","","","",""
"BPW00080601","1993-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","14","1,S","11","1,S","3","1,S","","","","","","","","","0","3,S","25","3,S","2","3,S","","","","","","","","","","","66.0","1,,S,24,","34.0","3,S,10,","","","","","202.2","1,,,S","","","","","30.54","3,,,S","",""
"BPW00080601","1993-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","7",",S","5",",S","2",",S","","","","","","","","","","","","","","","","","","","","","","","","","29.0",",,S,13,","","","","","","","82.6",",,,S","","","","","","","",""
"BPW00080601","1993-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","13","2,S","8","2,S","1","2,S","","","","","","","","","","","","","","","","","","","","","","","","","39.9","2,,S,19,","","","","","","","105.9","2,,,S","","","","","","","",""
"BPW00080601","1993-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","11","3,S","5","3,S","0","3,S","","","","","","","","","","","","","","","","","","","","","","","","","16.0","3,,S,10,","","","","","","","41.7","3,,,S","","","","","","","",""
"BPW00080601","1993-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","9","5,S","6","5,S","1","5,S","","","","","","","","","","","","","","","","","","","","","","","","","32.0","5,,S,17,","","","","","","","94.4","5,,,S","","","","","","","",""
"BPW00080601","1993-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","5","5,S","2","5,S","0","5,S","","","","","","","","","","","","","","","","","","","","","","","","","14.0","5,,S,26,","","","","","","","19.3","5,,,S","","","","","","","",""
"BPW00080601","1993-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","8",",S","4",",S","0",",S","","","","","","","","","0","1,S","29","1,S","5","1,S","","","","","","","","","","","7.1",",,S,01,","34.0","1,S,21,","","","","","28.3",",,,S","","","","","30.76","1,,,S","",""
"BPW00080601","1993-12","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","15","2,S","7","2,S","2","2,S","","","","","","","","","","","","","","","","","","","","","","","","","75.9","2,,S,24,","","","","","","","183.6","2,,,S","","","","","","","",""
"BPW00080601","1994-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","20","1,S","14","1,S","3","1,S","","","","","","","","","","","","","","","","","","","","","","","","","59.9","1,,S,27,","","","","","","","235.9","1,,,S","","","","","","","",""
"BPW00080601","1994-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","16",",S","12",",S","5",",S","","","","","","","","","0","3,S","25","3,S","3","3,S","","","","","","","","","","","82.0",",,S,24,","34.1","3,S,20,","","","","","347.3",",,,S","","","","","30.89","3,,,S","",""
"BPW00080601","1994-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","14",",S","13",",S","3",",S","","","","","","","","","0","1,S","30","1,S","1","1,S","","","","","","","","","","","109.0",",,S,24,","33.9","1,S,30,","","","","","270.1",",,,S","","","","","31.23","1,,,S","",""
"BPW00080601","1994-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","17","1,S","12","1,S","2","1,S","","","","","","","","","0","2,S","28","2,S","4","2,S","","","","","","","","","","","37.1","1,,S,22,","32.5","2,S,27,","","","","","171.0","1,,,S","","","","","30.69","2,,,S","",""
"BPW00080601","1994-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","17","2,S","10","2,S","1","2,S","","","","","","","","","0","3,S","28","3,S","7","3,S","","","","","","","","","","","36.1","2,,S,07,","33.8","3,S,24,","","","","","94.6","2,,,S","","","","","30.91","3,,,S","",""
"BPW00080601","1994-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","13","1,S","8","1,S","3","1,S","","","","","","","","","0","5,S","25","5,S","2","5,S","","","","","","","","","","","51.1","1,,S,11,","33.2","5,S,07,","","","","","184.4","1,,,S","","","","","30.29","5,,,S","",""
"BPW00080601","1994-07","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","12",",S","3",",S","1",",S","","","","","","","","","0","4,S","27","4,S","1","4,S","","","","","","","","","","","27.9",",,S,27,","33.1","4,S,09,","","","","","43.4",",,,S","","","","","29.76","4,,,S","",""
"BPW00080601","1994-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","12","1,S","5","1,S","0","1,S","","","","","","","","","0","1,S","30","1,S","3","1,S","","","","","","","","","","","20.1","1,,S,21,","33.1","1,S,06,","","","","","46.9","1,,,S","","","","","30.41","1,,,S","",""
"BPW00080601","1994-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","6",",S","3",",S","0",",S","","","","","","","","","0","1,S","29","1,S","2","1,S","","","","","","","","","","","13.0",",,S,20,","32.3","1,S,02,","","","","","25.2",",,,S","","","","","30.44","1,,,S","",""
"BPW00080601","1994-10","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10","1,S","4","1,S","0","1,S","","","","","","","","","0","4,S","27","4,S","11","4,S","","","","","","","","","","","16.0","1,,S,02,","34.3","4,S,30,","","","","","36.2","1,,,S","","","","","31.64","4,,,S","",""
"BPW00080601","1994-11","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","4","1,S","2","1,S","0","1,S","","","","","","","","","0","2,S","28","2,S","6","2,S","","","","","","","","","","","4.1","1,,S,20,+","32.7","2,S,28,","","","","","12.2","1,,,S","","","","","31.50","2,,,S","",""
"BPW00080601","1994-12","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","7",",S","2",",S","0",",S","","","","","","","","","0","3,S","28","3,S","8","3,S","","","","","","","","","","","16.0",",,S,08,","34.2","3,S,04,","","","","","28.6",",,,S","","","","","31.55","3,,,S","",""
"BPW00080601","1995-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","13",",S","7",",S","1",",S","","","","","","","","","0","4,S","27","4,S","12","4,S","","","","","","","","","","","42.9",",,S,28,","33.9","4,S,11,","","","","","104.9",",,,S","","","","","31.89","4,,,S","",""
"BPW00080601","1995-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10",",S","4",",S","1",",S","","","","","","","","","0",",S","28",",S","1",",S","","","","","","","","","","","41.9",",,S,21,","32.2",",S,05,","","","","","73.1",",,,S","","","","","31.23",",,,S","",""
"BPW00080601","1995-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","17",",S","11",",S","3",",S","","","","","","","","","0","3,S","28","3,S","0","3,S","","","","","","","","","","","78.0",",,S,02,","32.1","3,S,23,","","","","","258.8",",,,S","","","","","30.28","3,,,S","",""
"BPW00080601","1995-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","13",",S","9",",S","1",",S","","","","","","","","","0","1,S","29","1,S","2","1,S","","","","","","","","","","","33.0",",,S,15,","32.9","1,S,03,","","","","","109.1",",,,S","","","","","31.26","1,,,S","",""
"BPW00080601","1995-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10",",S","8",",S","3",",S","","","","","","","","","0","3,S","28","3,S","9","3,S","","","","","","","","","","","41.9",",,S,01,","33.4","3,S,11,","","","","","166.4",",,,S","","","","","31.29","3,,,S","",""
"BPW00080601","1995-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","8","2,S","3","2,S","0","2,S","","","","","","","","","0","3,S","27","3,S","7","3,S","","","","","","","","","","","14.0","2,,S,26,","32.5","3,S,28,","","","","","34.0","2,,,S","","","","","31.39","3,,,S","",""
"BPW00080601","1995-07","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","12",",S","5",",S","0",",S","","","","","","","","","0","2,S","29","2,S","11","2,S","","","","","","","","","","","18.0",",,S,30,","34.1","2,S,06,","","","","","52.3",",,,S","","","","","31.71","2,,,S","",""
"BPW00080601","1995-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","17","1,S","9","1,S","0","1,S","","","","","","","","","0","5,S","26","5,S","6","5,S","","","","","","","","","","","22.1","1,,S,29,","33.8","5,S,17,","","","","","90.5","1,,,S","","","","","31.52","5,,,S","",""
"BPW00080601","1995-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","8","1,S","5","1,S","1","1,S","","","","","","","","","","","","","","","","","","","","","","","","","31.0","1,,S,16,","","","","","","","53.9","1,,,S","","","","","","","",""
"BPW00080601","1995-10","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10",",S","5",",S","1",",S","","","","","","","","","0","2,S","29","2,S","10","2,S","","","","","","","","","","","131.1",",,S,26,","33.5","2,S,31,","","","","","177.9",",,,S","","","","","31.74","2,,,S","",""
"BPW00080601","1995-11","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","5",",S","1",",S","0",",S","","","","","","","","","0","1,S","29","1,S","18","1,S","","","","","","","","","","","11.9",",,S,29,","35.1","1,S,19,","","","","","13.7",",,,S","","","","","32.41","1,,,S","",""
"BPW00080601","1995-12","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","14",",S","6",",S","0",",S","","","","","","","","","0","2,S","29","2,S","5","2,S","","","","","","","","","","","21.1",",,S,08,","35.4","2,S,21,","","","","","66.0",",,,S","","","","","31.63","2,,,S","",""
"BPW00080601","1996-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","20",",S","11",",S","2",",S","","","","","","","","","0","1,S","30","1,S","4","1,S","","","","","","","","","","","48.0",",,S,12,","34.8","1,S,17,","","","","","168.2",",,,S","","","","","31.14","1,,,S","",""
"BPW00080601","1996-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","18",",S","11",",S","3",",S","","","","","","","","","0","3,S","26","3,S","4","3,S","","","","","","","","","","","51.1",",,S,25,","32.6","3,S,23,","","","","","188.5",",,,S","","","","","31.47","3,,,S","",""
"BPW00080601","1996-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","17",",S","13",",S","3",",S","","","","","","","","","0","2,S","29","2,S","3","2,S","","","","","","","","","","","82.0",",,S,09,","33.6","2,S,30,","","","","","264.5",",,,S","","","","","31.10","2,,,S","",""
"BPW00080601","1996-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","12","1,S","7","1,S","1","1,S","","","","","","","","","0","5,S","25","5,S","5","5,S","","","","","","","","","","","65.0","1,,S,18,","33.9","5,S,02,","","","","","130.3","1,,,S","","","","","31.22","5,,,S","",""
"BPW00080601","1996-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","14",",S","9",",S","0",",S","","","","","","","","","0","4,S","27","4,S","6","4,S","","","","","","","","","","","24.9",",,S,07,","33.4","4,S,21,","","","","","105.4",",,,S","","","","","30.99","4,,,S","",""
"BPW00080601","1996-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","12",",S","8",",S","0",",S","","","","","","","","","0",",S","30",",S","8",",S","","","","","","","","","","","20.1",",,S,25,","33.8",",S,18,","","","","","70.5",",,,S","","","","","31.02",",,,S","",""
"BPW00080601","1996-07","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","4,S","27","4,S","4","4,S","","","","","","","","","","","","","33.2","4,S,10,","","","","","","","","","","","31.31","4,,,S","",""
"BPW00080601","1996-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","4,S","27","4,S","6","4,S","","","","","","","","","","","","","33.4","4,S,25,","","","","","","","","","","","31.30","4,,,S","",""
"BPW00080601","1996-09","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","9","4,S","7","4,S","0","4,S","","","","","","","","","0","4,S","26","4,S","8","4,S","","","","","","","","","","","16.0","4,,S,13,","34.2","4,S,08,","","","","","63.4","4,,,S","","","","","31.50","4,,,S","",""
"BPW00080601","1996-10","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","2,S","29","2,S","9","2,S","","","","","","","","","","","","","34.1","2,S,15,","","","","","","","","","","","31.74","2,,,S","",""
"BPW00080601","1996-11","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","13","2,S","9","2,S","2","2,S","","","","","","","","","0",",S","30",",S","5",",S","","","","","","","","","","","55.1","2,,S,23,","33.3",",S,10,","","","","","156.1","2,,,S","","","","","31.50",",,,S","",""
"BPW00080601","1996-12","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","4,S","27","4,S","9","4,S","","","","","","","","","","","","","33.0","4,S,17,","","","","","","","","","","","31.56","4,,,S","",""
"BPW00080601","1997-01","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0",",S","31",",S","8",",S","","","","","","","","","","","","","33.2",",S,27,","","","","","","","","","","","31.44",",,,S","",""
"BPW00080601","1997-02","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","3,S","25","3,S","1","3,S","","","","","","","","","","","","","32.6","3,S,06,","","","","","","","","","","","31.24","3,,,S","",""
"BPW00080601","1997-03","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","19","4,S","12","4,S","2","4,S","","","","","","","","","0","4,S","27","4,S","1","4,S","","","","","","","","","","","140.0","4,,S,17,","32.2","4,S,07,","","","","","313.7","4,,,S","","","","","31.17","4,,,S","",""
"BPW00080601","1997-04","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","3,S","27","3,S","4","3,S","","","","","","","","","","","","","33.1","3,S,03,","","","","","","","","","","","30.99","3,,,S","",""
"BPW00080601","1997-05","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","1,S","30","1,S","6","1,S","","","","","","","","","","","","","33.9","1,S,18,","","","","","","","","","","","31.34","1,,,S","",""
"BPW00080601","1997-06","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","","","","","","","0","3,S","27","3,S","3","3,S","","","","","","","","","","","","","33.0","3,S,26,","","","","","","","","","","","30.67","3,,,S","",""
"BPW00080601","1997-08","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","10","5,S","4","5,S","0","5,S","","","","","","","","","0","3,S","28","3,S","1","3,S","","","","","","","","","","","10.9","5,,S,16,","32.2","3,S,29,","","","","","27.6","5,,,S","","","","","30.18","3,,,S","",""
