"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXFD0001","2013-05","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","3","4,N","2","4,N","0","4,N","","","","","6.4","4,,N,22,","12.5","4,,,N","",""
"US1TXFD0001","2013-06","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","5","4,N","5","4,N","0","4,N","","","","","15.7","4,,N,09,","48.9","4,,,N","",""
"US1TXFD0001","2013-07","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","7","5,N","5","5,N","2","5,N","","","","","37.1","5,,N,17,","127.3","5,,,N","",""
"US1TXFD0001","2013-08","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","4","4,N","3","4,N","0","4,N","","","","","10.2","4,,N,16,","23.2","4,,,N","",""
"US1TXFD0001","2013-09","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","5","3,N","5","3,N","1","3,N","","","","","46.2","3,,N,20,","81.1","3,,,N","",""
"US1TXFD0001","2013-10","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","5","3,N","1","3,N","0","3,N","","","","","2.8","3,,N,31,","7.9","3,,,N","",""
"US1TXFD0001","2013-11","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","2","3,N","1","3,N","0","3,N","","","","","5.6","3,,N,06,","6.4","3,,,N","",""
"US1TXFD0001","2013-12","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","3",",N","2",",N","1",",N","1","3,N","89","3,,N,06,","30.5",",,N,21,","42.7",",,,N","89","3,,,N"
"US1TXFD0001","2014-01","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","0.3",",,N,09,","0.3",",,,N","0","1,,,N"
"US1TXFD0001","2014-02","33.9847679138184","-99.5408477783203","409.7","CROWELL 10.5 E, TX US","2","1,N","0","1,N","0","1,N","1","5,N","25","5,,N,06,","1.3","1,,N,06,","1.6","1,,,N","25","5,,,N"
