"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BC004612080","1960-09","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","1",",I","1",",I","0",",I","","","","","","","","","","","","","2.6",",,I,26,","","","","","","","2.6",",,,I","","","","","",""
"BC004612080","1960-10","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","2",",I","2",",I","0",",I","","","","","","","","","","","","","7.5",",,I,21,","","","","","","","11.0",",,,I","","","","","",""
"BC004612080","1960-11","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","5",",I","1",",I","0",",I","","","","","","","","","","","","","8.5",",,I,24,","","","","","","","13.3",",,,I","","","","","",""
"BC004612080","1960-12","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","3",",I","2",",I","1",",I","","","","","","","","","","","","","37.5",",,I,28,","","","","","","","46.3",",,,I","","","","","",""
"BC004612080","1961-01","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","7",",I","4",",I","0",",I","","","","","","","","","","","","","13.5",",,I,15,","","","","","","","29.0",",,,I","","","","","",""
"BC004612080","1961-02","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","4",",I","2",",I","1",",I","","","","","","","","","","","","","31.0",",,I,28,","","","","","","","38.8",",,,I","","","","","",""
"BC004612080","1961-03","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","6",",I","3",",I","0",",I","","","","","","","","","","","","","16.0",",,I,30,","","","","","","","37.3",",,,I","","","","","",""
"BC004612080","1961-04","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","5",",I","5",",I","0",",I","","","","","","","","","","","","","22.0",",,I,08,","","","","","","","76.5",",,,I","","","","","",""
"BC004612080","1961-05","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","10.5",",,I,01,","","","","","","","18.9",",,,I","","","","","",""
"BC004612080","1961-06","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","4",",I","3",",I","0",",I","","","","","","","","","","","","","22.5",",,I,07,","","","","","","","42.3",",,,I","","","","","",""
"BC004612080","1961-07","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","1",",I","1",",I","0",",I","","","","","","","","","","","","","6.2",",,I,28,","","","","","","","6.2",",,,I","","","","","",""
"BC004612080","1961-08","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1961-09","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","0.3",",,I,05,","","","","","","","0.3",",,,I","","","","","",""
"BC004612080","1961-10","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1961-11","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","6",",I","3",",I","1",",I","","","","","","","","","","","","","27.5",",,I,12,","","","","","","","42.3",",,,I","","","","","",""
"BC004612080","1961-12","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","1.7",",,I,03,","","","","","","","2.5",",,,I","","","","","",""
"BC004612080","1962-01","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","3.5",",,I,05,","","","","","","","3.8",",,,I","","","","","",""
"BC004612080","1962-02","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","9",",I","7",",I","2",",I","","","","","","","","","","","","","57.4",",,I,12,","","","","","","","117.5",",,,I","","","","","",""
"BC004612080","1962-03","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","1",",I","1",",I","0",",I","","","","","","","","","","","","","5.5",",,I,12,","","","","","","","5.7",",,,I","","","","","",""
"BC004612080","1962-04","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,30,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1962-05","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1962-06","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,30,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1962-07","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,31,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1962-08","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","10.5",",,I,07,","","","","","","","12.7",",,,I","","","","","",""
"BC004612080","1962-09","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","0.0",",,I,30,+","","","","","","","0.0",",,,I","","","","","",""
"BC004612080","1962-10","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","1.1",",,I,22,","","","","","","","1.8",",,,I","","","","","",""
"BC004612080","1962-11","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","5",",I","2",",I","0",",I","","","","","","","","","","","","","17.3",",,I,02,","","","","","","","31.5",",,,I","","","","","",""
"BC004612080","1962-12","-26.467","20.617","879.0","TWEE RIVIEREN, BC","","","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","12.0",",,I,26,","","","","","","","12.6",",,,I","","","","","",""
