"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOPL0014","2011-03","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","11","4,N","7","4,N","1","4,N","0","5,N","13","5,,N,15,","26.4","4,,N,20,","98.1","4,,,N","21","5,,,N"
"US1MOPL0014","2011-04","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","11",",N","7",",N","2",",N","","","","","37.1",",,N,15,","110.1",",,,N","",""
"US1MOPL0014","2011-05","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","15",",N","11",",N","4",",N","","","","","45.2",",,N,19,","218.1",",,,N","",""
"US1MOPL0014","2011-06","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","6",",N","3",",N","0",",N","","","","","17.3",",,N,21,","38.9",",,,N","",""
"US1MOPL0014","2011-07","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,31,+","10.7",",,N,13,","20.4",",,,N","0","4,,,N"
"US1MOPL0014","2011-08","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","6","5,N","4","5,N","1","5,N","","","","","38.6","5,,N,09,","51.8","5,,,N","",""
"US1MOPL0014","2011-09","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","9",",N","5",",N","1",",N","","","","","26.7",",,N,18,","72.5",",,,N","",""
"US1MOPL0014","2011-10","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","6",",N","2",",N","0",",N","","","","","18.0",",,N,18,","32.5",",,,N","",""
"US1MOPL0014","2011-11","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","8",",N","7",",N","2",",N","","","","","34.8",",,N,08,","135.3",",,,N","",""
"US1MOPL0014","2011-12","37.740899","-93.591293","311.5","DUNNEGAN 2.4 NNW, MO US","9",",N","5",",N","1",",N","","","","","54.4",",,N,20,","94.1",",,,N","",""
