"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ARPY0005","2016-09","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","5","4,N","3","4,N","0","4,N","","","","","23.9","4,,N,17,","45.8","4,,,N","",""
"US1ARPY0005","2016-12","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","13","5,N","8","5,N","1","5,N","","","","","25.9","5,,N,27,","93.7","5,,,N","",""
"US1ARPY0005","2017-03","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11","4,N","10","4,N","1","4,N","","","","","58.9","4,,N,25,","152.6","4,,,N","",""
"US1ARPY0005","2017-04","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","4,N","7","4,N","3","4,N","","","","","98.6","4,,N,30,","250.3","4,,,N","",""
"US1ARPY0005","2017-05","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","4,N","6","4,N","3","4,N","","","","","44.7","4,,N,28,","184.3","4,,,N","",""
"US1ARPY0005","2017-06","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","5,N","8","5,N","1","5,N","","","","","52.1","5,,N,05,","101.3","5,,,N","",""
"US1ARPY0005","2017-07","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","5,N","10","5,N","4","5,N","","","","","32.0","5,,N,28,","202.4","5,,,N","",""
"US1ARPY0005","2017-08","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11","4,N","8","4,N","2","4,N","","","","","66.8","4,,N,15,","193.3","4,,,N","",""
"US1ARPY0005","2017-09","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","2","1,N","2","1,N","0","1,N","0","3,N","0","3,,N,30,+","6.4","1,,N,06,","9.7","1,,,N","0","3,,,N"
"US1ARPY0005","2017-10","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7",",N","3",",N","1",",N","","","","","34.5",",,N,04,","53.8",",,,N","",""
"US1ARPY0005","2017-11","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","6",",N","3",",N","0",",N","","","","","7.6",",,N,16,+","25.7",",,,N","",""
"US1ARPY0005","2017-12","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7","1,N","4","1,N","2","1,N","","","","","67.1","1,,N,23,","154.3","1,,,N","",""
"US1ARPY0005","2018-01","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7",",N","4",",N","0",",N","","","","","21.8",",,N,22,+","61.3",",,,N","",""
"US1ARPY0005","2018-02","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","14","2,N","12","2,N","5","2,N","","","","","113.8","2,,N,21,","387.3","2,,,N","",""
"US1ARPY0005","2018-03","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10",",N","6",",N","2",",N","","","","","55.9",",,N,01,","132.7",",,,N","",""
"US1ARPY0005","2018-04","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","8","1,N","4","1,N","3","1,N","","","","","71.6","1,,N,14,","151.4","1,,,N","",""
"US1ARPY0005","2018-05","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","9","1,N","7","1,N","0","1,N","","","","","19.8","1,,N,04,","77.4","1,,,N","",""
"US1ARPY0005","2018-06","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","6",",N","5",",N","1",",N","","","","","43.7",",,N,09,","78.7",",,,N","",""
"US1ARPY0005","2018-07","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","1,N","7","1,N","1","1,N","","","","","27.7","1,,N,18,","90.2","1,,,N","",""
"US1ARPY0005","2018-08","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","13",",N","8",",N","3",",N","","","","","80.5",",,N,08,","206.2",",,,N","",""
"US1ARPY0005","2018-09","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","13",",N","9",",N","4",",N","","","","","52.8",",,N,22,","225.3",",,,N","",""
"US1ARPY0005","2018-10","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","2,N","9","2,N","3","2,N","","","","","34.0","2,,N,15,","144.0","2,,,N","",""
"US1ARPY0005","2018-11","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12",",N","6",",N","1",",N","","","","","129.5",",,N,01,","173.9",",,,N","",""
"US1ARPY0005","2018-12","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","2,N","9","2,N","3","2,N","","","","","45.7","2,,N,14,","206.6","2,,,N","",""
"US1ARPY0005","2019-01","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","1,N","8","1,N","2","1,N","","","","","36.8","1,,N,23,","106.6","1,,,N","",""
"US1ARPY0005","2019-02","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","3,N","9","3,N","4","3,N","","","","","75.7","3,,N,11,","274.1","3,,,N","",""
"US1ARPY0005","2019-03","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11","1,N","6","1,N","1","1,N","","","","","33.5","1,,N,09,","83.4","1,,,N","",""
"US1ARPY0005","2019-04","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","1,N","9","1,N","2","1,N","","","","","83.6","1,,N,18,","234.1","1,,,N","",""
"US1ARPY0005","2019-05","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12",",N","11",",N","6",",N","","","","","48.8",",,N,30,","276.1",",,,N","",""
"US1ARPY0005","2019-06","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7",",N","3",",N","1",",N","","","","","82.6",",,N,24,","111.5",",,,N","",""
"US1ARPY0005","2019-07","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","9","2,N","5","2,N","3","2,N","","","","","106.7","2,,N,30,","187.2","2,,,N","",""
"US1ARPY0005","2019-08","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","2,N","9","2,N","2","2,N","","","","","88.1","2,,N,10,","226.0","2,,,N","",""
"US1ARPY0005","2019-09","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","6","1,N","5","1,N","1","1,N","","","","","30.5","1,,N,24,","64.1","1,,,N","",""
"US1ARPY0005","2019-10","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","9","2,N","8","2,N","1","2,N","","","","","31.8","2,,N,21,","112.1","2,,,N","",""
"US1ARPY0005","2019-11","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11",",N","10",",N","3",",N","","","","","35.1",",,N,07,","159.8",",,,N","",""
"US1ARPY0005","2019-12","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","8",",N","2",",N","0",",N","","","","","19.1",",,N,29,","32.1",",,,N","",""
"US1ARPY0005","2020-01","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12",",N","8",",N","2",",N","","","","","57.7",",,N,11,","126.8",",,,N","",""
"US1ARPY0005","2020-02","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11","1,N","8","1,N","1","1,N","","","","","34.0","1,,N,05,","122.1","1,,,N","",""
"US1ARPY0005","2020-03","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","1,N","10","1,N","1","1,N","","","","","62.0","1,,N,31,","149.4","1,,,N","",""
"US1ARPY0005","2020-04","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11","1,N","8","1,N","2","1,N","","","","","42.4","1,,N,12,","134.1","1,,,N","",""
"US1ARPY0005","2020-05","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","2,N","11","2,N","2","2,N","","","","","111.5","2,,N,17,","250.1","2,,,N","",""
"US1ARPY0005","2020-07","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","3,N","5","3,N","1","3,N","","","","","32.3","3,,N,23,","69.1","3,,,N","",""
"US1ARPY0005","2020-09","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","9","1,N","8","1,N","3","1,N","","","","","50.8","1,,N,02,","175.8","1,,,N","",""
"US1ARPY0005","2020-10","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","5",",N","2",",N","1",",N","","","","","36.1",",,N,29,","48.6",",,,N","",""
"US1ARPY0005","2020-11","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","5",",N","4",",N","0",",N","","","","","18.5",",,N,25,","45.4",",,,N","",""
"US1ARPY0005","2020-12","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7","1,N","5","1,N","0","1,N","","","","","20.8","1,,N,12,","64.6","1,,,N","",""
"US1ARPY0005","2021-01","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10","3,N","6","3,N","2","3,N","","","","","32.8","3,,N,01,","99.6","3,,,N","",""
"US1ARPY0005","2021-02","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7","2,N","5","2,N","1","2,N","","","","","26.2","2,,N,26,","86.4",",a,,N","",""
"US1ARPY0005","2021-03","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","10",",N","8",",N","3",",N","","","","","37.3",",,N,23,","142.1",",,,N","",""
"US1ARPY0005","2021-04","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","1,N","7","1,N","2","1,N","","","","","47.2","1,,N,29,","122.7","1,,,N","",""
"US1ARPY0005","2021-05","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","12","5,N","9","5,N","3","5,N","","","","","62.0","5,,N,17,","182.7","5,,,N","",""
"US1ARPY0005","2021-06","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","9",",N","7",",N","0",",N","","","","","18.5",",,N,09,","94.8",",,,N","",""
"US1ARPY0005","2021-07","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","8",",N","7",",N","2",",N","","","","","34.5",",,N,23,","97.2",",,,N","",""
"US1ARPY0005","2021-08","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","7","1,N","6","1,N","1","1,N","","","","","27.7","1,,N,15,","63.8","1,,,N","",""
"US1ARPY0005","2021-09","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","3","5,N","2","5,N","0","5,N","","","","","10.7","5,,N,06,","21.4","5,,,N","",""
"US1ARPY0005","2021-10","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","11","1,N","6","1,N","1","1,N","","","","","41.9","1,,N,03,","98.6","1,,,N","",""
"US1ARPY0005","2021-11","35.002317","-92.626277","92.4","BIGELOW 0.4 NE, AR US","6","4,N","4","4,N","1","4,N","","","","","37.8","4,,N,11,","81.3","4,,,N","",""
