"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00009034","1921-01","19.25","-99.1","2259.8","MOYOGUARDA, MX","0.0","m","0.0",",m","0",",m","0",",m","0",",m","0",",m","3",",m","0",",m","24",",m","0",",m","0.0",",m,22,+","0.0",",,m,31,+","25.0",",m,12,","","","204.2",",m","0.0",",,,m","11.75",",m","21.89",",,,m","1.61",",,,m"
"MXN00009034","1921-02","19.25","-99.1","2259.8","MOYOGUARDA, MX","0.0","m","0.0",",m","0",",m","0",",m","0",",m","0",",m","6",",m","0",",m","24",",m","0",",m","0.0",",m,14,+","0.0",",,m,28,+","25.6",",m,08,","","","170.5",",m","0.0",",,,m","12.24",",m","22.84",",,,m","1.65",",,,m"
"MXN00009034","1921-03","19.25","-99.1","2259.8","MOYOGUARDA, MX","0.0","m","0.0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","28",",m","0",",m","2.8",",m,21,+","0.0",",,m,31,+","30.0",",m,22,","","","102.4",",m","0.0",",,,m","15.03",",m","25.25",",,,m","4.80",",,,m"
"MXN00009034","1921-04","19.25","-99.1","2259.8","MOYOGUARDA, MX","0.6","m","0.6",",m","2",",m","2",",m","1",",m","0",",m","0",",m","0",",m","29",",m","0",",m","5.0",",m,20,+","30.0",",,m,23,","28.9",",m,27,+","","","53.2",",m","54.9",",,,m","16.58",",m","26.09",",,,m","7.06",",,,m"
"MXN00009034","1921-05","19.25","-99.1","2259.8","MOYOGUARDA, MX","8.6","m","8.0",",m","3",",m","3",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","5.0",",m,25,+","24.9",",,m,01,","28.9",",m,28,+","","","33.3",",m","55.7",",,,m","17.52",",m","26.96",",,,m","8.07",",,,m"
"MXN00009034","1921-06","19.25","-99.1","2259.8","MOYOGUARDA, MX","21.9","m","13.3",",m","8",",m","8",",m","1",",m","0",",m","0",",m","0",",m","30",",m","0",",m","0.6",",m,10,","49.8",",,m,24,","28.9",",m,21,+","","","18.5",",m","122.6",",,,m","18.16",",m","26.25",",,,m","10.08",",,,m"
"MXN00009034","1921-07","19.25","-99.1","2259.8","MOYOGUARDA, MX","22.5","m","0.6",",m","13",",m","13",",m","6",",m","0",",m","0",",m","0",",m","28",",m","0",",m","8.9",",m,31,+","79.8",",,m,20,","26.7",",m,16,","40.7","","40.7",",m","403.1",",,,m","17.04",",m","23.52",",,,m","10.56",",,,m"
"MXN00009034","1921-08","19.25","-99.1","2259.8","MOYOGUARDA, MX","23.2","m","0.7",",m","6",",m","6",",m","2",",m","0",",m","0",",m","0",",m","30",",m","0",",m","7.8",",m,09,","63.8",",,m,02,","27.8",",m,07,","76.2","","35.5",",m","144.2",",,,m","17.21",",m","24.29",",,,m","10.13",",,,m"
"MXN00009034","1921-09","19.25","-99.1","2259.8","MOYOGUARDA, MX","44.2","m","21.0",",m","7",",m","6",",m","5",",m","0",",m","0",",m","0",",m","28",",m","0",",m","8.9",",m,05,+","85.9",",,m,08,","31.7",",m,22,","93.7","","17.5",",m","302.1",",,,m","18.45",",m","25.36",",,,m","11.54",",,,m"
"MXN00009034","1921-10","19.25","-99.1","2259.8","MOYOGUARDA, MX","59.2","m","15.0",",m","7",",m","7",",m","3",",m","0",",m","0",",m","0",",m","27",",m","0",",m","5.6",",m,30,","75.7",",,m,01,","28.9",",m,25,+","137.4","","43.7",",m","212.1",",,,m","17.41",",m","24.20",",,,m","10.61",",,,m"
"MXN00009034","1921-11","19.25","-99.1","2259.8","MOYOGUARDA, MX","59.2","m","0.0",",m","0",",m","0",",m","0",",m","0",",m","2",",m","0",",m","0",",m","0",",m","-7.2",",m,02,","0.0",",,m,30,+","20.0",",m,07,+","397.0","","259.6",",m","0.0",",,,m","9.68",",m","15.17",",,,m","4.19",",,,m"
"MXN00009034","1921-12","19.25","-99.1","2259.8","MOYOGUARDA, MX","59.2","m","0.0",",m","0",",m","0",",m","0",",m","0",",m","16",",m","0",",m","0",",m","0",",m","-4.4",",m,25,+","0.0",",,m,31,+","20.0",",m,07,+","699.1","","302.1",",m","0.0",",,,m","8.59",",m","16.74",",,,m","0.44",",,,m"
