"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ALMG0030","2020-01","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","15",",N","9",",N","2",",N","97.3",",,N,03,","222.6",",,,N"
"US1ALMG0030","2020-02","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","19",",N","13",",N","4",",N","65.3",",,N,06,","287.4",",,,N"
"US1ALMG0030","2020-03","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","20",",N","17",",N","4",",N","31.2",",,N,25,","232.1",",,,N"
"US1ALMG0030","2020-04","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","12",",N","9",",N","3",",N","89.2",",,N,13,","180.7",",,,N"
"US1ALMG0030","2020-05","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","11",",N","9",",N","2",",N","26.9",",,N,23,","124.2",",,,N"
"US1ALMG0030","2020-06","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","13",",N","9",",N","1",",N","29.7",",,N,09,","99.4",",,,N"
"US1ALMG0030","2020-07","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","10",",N","5",",N","2",",N","29.0",",,N,01,","100.7",",,,N"
"US1ALMG0030","2020-08","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","15",",N","7",",N","2",",N","32.5",",,N,26,","121.4",",,,N"
"US1ALMG0030","2020-09","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","9",",N","6",",N","3",",N","79.2",",,N,01,","234.3",",,,N"
"US1ALMG0030","2020-10","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","9",",N","7",",N","2",",N","65.0",",,N,11,","162.7",",,,N"
"US1ALMG0030","2020-11","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","6","1,N","3","1,N","0","1,N","22.4","1,,N,30,","49.0","1,,,N"
"US1ALMG0030","2020-12","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","9",",N","6",",N","2",",N","43.9",",,N,14,","122.2",",,,N"
"US1ALMG0030","2021-01","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","10",",N","7",",N","0",",N","22.6",",,N,25,","78.4",",,,N"
"US1ALMG0030","2021-02","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","13",",N","9",",N","2",",N","30.0",",,N,16,","140.0",",,,N"
"US1ALMG0030","2021-03","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","14",",N","9",",N","5",",N","58.4",",,N,18,","279.4",",,,N"
"US1ALMG0030","2021-04","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","8",",N","7",",N","1",",N","27.4",",,N,08,","110.5",",,,N"
"US1ALMG0030","2021-05","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","11","1,N","4","1,N","1","1,N","49.5","1,,N,05,","91.2","1,,,N"
"US1ALMG0030","2021-06","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","16",",N","12",",N","1",",N","48.0",",,N,03,","178.4",",,,N"
"US1ALMG0030","2021-07","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","15",",N","9",",N","2",",N","56.4",",,N,12,","177.9",",,,N"
"US1ALMG0030","2021-08","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","11","1,N","9","1,N","2","1,N","46.5","1,,N,31,","139.6","1,,,N"
"US1ALMG0030","2021-09","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","11",",N","8",",N","2",",N","99.6",",,N,20,","205.1",",,,N"
"US1ALMG0030","2021-10","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","13",",N","8",",N","1",",N","35.6",",,N,06,","81.9",",,,N"
"US1ALMG0030","2021-11","34.51861","-86.92917","202.7","DECATUR 5.0 SE, AL US","6",",N","4",",N","0",",N","13.2",",,N,22,","36.7",",,,N"
