"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CAFR0014","2013-01","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","6","2,N","1","2,N","0","2,N","","","","","16.0","2,,N,06,","20.4","2,,,N","",""
"US1CAFR0014","2013-02","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,28,+","8.9",",,N,20,","15.0",",,,N","0","3,,,N"
"US1CAFR0014","2013-03","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","6.4",",,N,31,","10.8",",,,N","0","3,,,N"
"US1CAFR0014","2013-04","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,30,+","4.6",",,N,05,","5.1",",,,N","0","2,,,N"
"US1CAFR0014","2013-05","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","2.8",",,N,08,","3.1",",,,N","0","2,,,N"
"US1CAFR0014","2013-06","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CAFR0014","2013-07","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CAFR0014","2013-08","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CAFR0014","2013-09","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CAFR0014","2013-10","36.805333","-119.822217","97.2","FRESNO 2.4 NW, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
