"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYMD0005","2007-09","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","11",",N","7",",N","0",",N","","","0",",N","","","0",",,N,30,+","20.1",",,N,10,","89.3",",,,N","0",",,,N"
"US1NYMD0005","2007-10","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","15",",N","11",",N","0",",N","","","0",",N","","","0",",,N,31,+","23.9",",,N,24,","173.0",",,,N","0",",,,N"
"US1NYMD0005","2007-11","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","15","3,N","11","3,N","1","3,N","","","1",",N","","","25",",,N,17,","28.7","3,,N,27,","115.8","3,,,N","25",",,,N"
"US1NYMD0005","2007-12","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","","","","","","","22","4,N","9",",N","305","4,,N,17,","122",",,N,17,","","","","","774",",,,N"
"US1NYMD0005","2008-01","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","","","","","","","","","1",",N","","","89",",,N,25,","","","","","141",",,,N"
"US1NYMD0005","2008-02","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","","","","","","","","","7",",N","","","216",",,N,27,","","","","","496",",,,N"
"US1NYMD0005","2008-03","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","","","","","","","","","4","1,N","","","76","1,,N,28,","","","","","198","1,,,N"
"US1NYMD0005","2008-04","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","10",",N","6",",N","0",",N","","","0",",N","","","0",",,N,30,+","23.9",",,N,27,","92.2",",,,N","0",",,,N"
"US1NYMD0005","2008-05","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","14",",N","8",",N","0",",N","","","0",",N","","","0",",T,N,01,","6.4",",,N,27,","41.1",",,,N","0",",T,,N"
"US1NYMD0005","2008-06","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","19",",N","11",",N","0",",N","","","0",",N","","","0",",,N,30,+","18.8",",,N,11,","113.7",",,,N","0",",,,N"
"US1NYMD0005","2008-07","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","13","3,N","10","3,N","1","3,N","","","0","3,N","","","0","3,,N,31,+","32.3","3,,N,14,","150.8",",a,,N","0","3,,,N"
"US1NYMD0005","2008-08","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","18",",N","11",",N","1",",N","","","0",",N","","","0",",,N,31,+","47.2",",,N,11,","167.3",",,,N","0",",,,N"
"US1NYMD0005","2008-09","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","10",",N","6",",N","0",",N","","","0",",N","","","0",",,N,30,+","16.8",",,N,13,","51.9",",,,N","0",",,,N"
"US1NYMD0005","2008-10","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","18",",N","12",",N","1",",N","","","1",",N","","","25",",,N,29,","32.5",",,N,26,","135.9",",,,N","25",",,,N"
"US1NYMD0005","2008-11","43.071672","-75.755985","166.4","CANASTOTA 0.9 S, NY US","13","4,N","4","4,N","0","4,N","","","2",",N","","","58",",,N,22,","19.1","4,,N,16,","65.0","4,,,N","86",",,,N"
