"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003179","1999-03","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.6",",W","0.0","W","0.0",",W","3",",W","2",",W","0",",W","","","","","0",",W","1",",W","0",",W","7",",W","0",",W","","","","","","","0.0",",W,12,","","","","","5.6",",,W,15,","26.1",",W,29,+","1026.7","W","212.3",",W","10.2",",,,W","","","11.48",",W","18.56",",,,W","4.40",",,,W","","","250",",W","240",",W","11.2",",W","13.4",",W"
"USW00003179","1999-04","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.8",",W","11.4","W","11.4",",W","10",",W","4",",W","0",",W","","","","","0",",W","2",",W","0",",W","10",",W","4",",W","","","","","","","-0.6",",W,02,","","","","","13.5",",,W,11,","33.9",",W,17,","1189.1","W","162.4",",W","40.3",",,,W","","","13.30",",W","20.44",",,,W","6.16",",,,W","","","340",",W","320",",W","16.1",",W","19.2",",W"
"USW00003179","1999-05","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.3","1,W","21.9","W","10.5","1,W","0","1,W","0","1,W","0","1,W","","","","","0","1,W","0","1,W","0","1,W","22","1,W","0","1,W","","","","","","","4.4","1,W,01,","","","","","0.0","1,T,W,23,+","30.6","1,W,17,+","1231.4","W","42.3","1,W","0.0","1,T,,W","","","17.27","1,W","24.10","1,,,W","10.44","1,,,W","","","230","1,W","270","1,W","10.3","1,W","12.5","1,W"
"USW00003179","1999-06","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.0",",W","83.3","W","61.4",",W","2",",W","1",",W","0",",W","","","","","0",",W","0",",W","0",",W","27",",W","7",",W","","","","","","","7.2",",W,05,","","","","","6.4",",,W,02,","35.6",",W,14,","1253.1","W","21.7",",W","6.9",",,,W","","","19.66",",W","28.17",",,,W","11.14",",,,W","","","250",",W","270",",W","9.8",",W","12.5",",W"
"USW00003179","1999-07","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.8",",W","239.3","W","156.0",",W","1",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","17",",W","","","","","","","10.6",",W,24,+","","","","","1.8",",,W,08,","39.4",",W,12,","0.0","W","0.0",",W","1.8",",,,W","","","23.36",",W","32.20",",,,W","14.53",",,,W","","","240",",W","250",",W","9.8",",W","11.2",",W"
"USW00003179","1999-08","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.6",",W","391.3","W","152.0","1,W","1",",W","0",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","30","1,W","19","1,W","","","","","","","10.6","1,W,08,","","","","","0.3",",,W,31,","39.4","1,W,25,","0.0","W","0.0","1,W","0.3",",,,W","","","23.40","1,W","33.24","1,,,W","13.56","1,,,W","","","270",",W","260",",W","10.3",",W","11.6",",W"
"USW00003179","1999-09","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.4",",W","488.9","W","97.6","1,W","0",",W","0",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","28","1,W","11","1,W","","","","","","","8.3","1,W,20,","","","","","0.0",",T,W,28,+","38.9","1,W,30,+","1.4","W","1.4","1,W","0.0",",T,,W","","","21.65","1,W","30.18","1,,,W","13.12","1,,,W","","","330",",W","240",",W","10.7",",W","13.0",",W"
"USW00003179","1999-10","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.8",",W","558.7","W","69.8",",W","2",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","16",",W","","","","","","","5.6",",W,19,+","","","","","0.3",",,W,16,+","38.3",",W,13,","7.0","W","5.6",",W","0.6",",,,W","","","20.40",",W","31.83",",,,W","8.97",",,,W","","","120",",W","50",",W","10.7",",W","14.3",",W"
"USW00003179","1999-11","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.5",",W","561.8","W","3.1",",W","6",",W","0",",W","0",",W","","","","","0",",W","1",",W","0",",W","23",",W","2",",W","","","","","","","0.0",",W,23,","","","","","2.3",",,W,08,","32.8",",W,01,","106.9","W","99.9",",W","4.0",",,,W","","","15.10",",W","24.47",",,,W","5.74",",,,W","","","40",",W","60",",W","9.4",",W","14.3",",W"
"USW00003179","1999-12","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.5",",W","561.8","W","0.0",",W","1",",W","1",",W","0",",W","","","","","0",",W","7",",W","0",",W","19",",W","0",",W","","","","","","","-1.1",",W,06,+","","","","","6.4",",,W,31,","28.3",",W,17,","299.5","W","192.6",",W","6.4",",,,W","","","12.12",",W","22.05",",,,W","2.19",",,,W","","","40",",W","40",",W","17.9",",W","23.2",",W"
"USW00003179","2000-01","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.5",",W","0.0","W","0.0",",W","4",",W","1",",W","0",",W","","","","","0",",W","5",",W","0",",W","14",",W","0",",W","","","","","","","-2.2",",W,09,+","","","","","10.7",",,W,25,","28.3",",W,15,","480.1","W","180.6",",W","12.8",",,,W","","","12.51",",W","20.32",",,,W","4.69",",,,W","","","100",",W","130",",W","16.1",",W","21.0",",W"
"USW00003179","2000-02","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.1",",W","0.0","W","0.0",",W","10",",W","7",",W","0",",W","","","","","0",",W","0",",W","0",",W","7",",W","0",",W","","","","","","","2.2",",W,24,+","","","","","12.2",",,W,21,","28.3",",W,07,","651.9","W","171.8",",W","52.0",",,,W","","","12.41",",W","18.38",",,,W","6.43",",,,W","","","310",",W","310",",W","10.7",",W","13.0",",W"
"USW00003179","2000-03","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.5",",W","0.0","W","0.0",",W","4",",W","2",",W","0",",W","","","","","0",",W","0",",W","0",",W","17",",W","0",",W","","","","","","","1.1",",W,07,","","","","","4.6",",,W,04,","27.8",",W,18,","805.7","W","153.8",",W","12.2",",,,W","","","13.37",",W","20.56",",,,W","6.19",",,,W","","","80",",W","80",",W","14.8",",W","21.0",",W"
"USW00003179","2000-04","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.8",",W","10.3","W","10.3","1,W","4",",W","2",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","23","1,W","2","1,W","","","","","","","3.9","1,W,09,+","","","","","15.2",",,W,17,","34.4","1,W,26,","864.4","W","58.7","1,W","27.5",",,,W","","","16.66","1,W","25.29","1,,,W","8.03","1,,,W","","","70",",W","80",",W","15.2",",W","20.1",",W"
"USW00003179","2000-05","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.2","1,W","65.9","W","55.6","1,W","1","1,W","0","1,W","0","1,W","","","","","0","1,W","0","1,W","0","1,W","28","1,W","5","1,W","","","","","","","6.7","1,W,12,","","","","","1.5","1,,W,15,","37.8","1,W,27,+","877.5","W","13.1","1,W","1.5","1,,,W","","","19.75","1,W","27.82","1,,,W","11.68","1,,,W","","","260","1,W","230","1,W","10.7","1,W","13.4","1,W"
"USW00003179","2000-06","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.0",",W","194.6","W","128.7",",W","1",",W","1",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","16",",W","","","","","","","8.3",",W,09,","","","","","3.3",",,W,21,","38.3",",W,21,","880.0","W","2.5",",W","3.3",",,,W","","","22.54",",W","31.56",",,,W","13.53",",,,W","","","240",",W","270",",W","9.8",",W","11.6",",W"
"USW00003179","2000-07","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.8",",W","346.0","W","151.4",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","17",",W","","","","","","","10.0",",W,17,","","","","","0.0",",T,W,23,+","40.0",",W,19,","0.0","W","0.0",",W","0.0",",T,,W","","","23.22",",W","32.63",",,,W","13.80",",,,W","","","250",",W","140",",W","9.8",",W","11.6",",W"
"USW00003179","2000-08","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.7",",W","541.8","W","195.8",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","23",",W","","","","","","","12.2",",W,20,","","","","","0.0",",T,W,29,+","39.4",",W,11,","0.0","W","0.0",",W","0.0",",T,,W","","","24.65",",W","33.67",",,,W","15.63",",,,W","","","270",",W","260",",W","10.3",",W","11.2",",W"
"USW00003179","2000-09","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.3",",W","668.3","W","126.5",",W","2",",W","1",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","16",",W","","","","","","","8.3",",W,10,+","","","","","3.3",",,W,22,","41.7",",W,16,","0.3","W","0.3",",W","3.6",",,,W","","","22.54",",W","32.06",",,,W","13.02",",,,W","","","250",",W","260",",W","9.4",",W","11.2",",W"
"USW00003179","2000-10","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.2",",W","685.5","W","17.2",",W","6",",W","3",",W","0",",W","","","","","0",",W","0",",W","0",",W","24",",W","1",",W","","","","","","","4.4",",W,31,","","","","","9.1",",,W,29,","33.3",",W,17,","49.8","W","49.5",",W","20.4",",,,W","","","17.29",",W","24.33",",,,W","10.25",",,,W","","","70",",W","70",",W","14.3",",W","17.9",",W"
"USW00003179","2000-11","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.1",",B","685.5","W","0.0","3,W","2","3,W","0","3,W","0","3,W","","","","","0","3,W","6","3,W","0","3,W","13","3,W","0","3,W","","","","","","","-2.8","3,W,14,+","","","","","0.8","3,,W,11,","27.8","3,W,20,+","215.6","W","165.8","3,W","1.1","3,,,W","","","12.19","3,W","21.68","3,,,W","2.71","3,,,W","","","50","3,W","80","3,W","14.3","3,W","19.7","3,W"
"USW00003179","2000-12","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.9",",W","685.5","W","0.0",",W","1",",W","0",",W","0",",W","","","","","0",",W","3",",W","0",",W","22",",W","0",",W","","","","","","","-0.6",",W,27,","","","","","0.5",",,W,12,","28.9",",W,05,","381.5","W","165.9",",W","0.5",",,,W","","","12.98",",W","22.46",",,,W","3.51",",,,W","","","80",",W","60",",W","17.4",",W","21.9",",W"
"USW00003179","2001-01","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.1",",W","0.0","W","0.0",",W","9",",W","6",",W","2",",W","","","","","0",",W","2",",W","0",",W","8",",W","0",",W","","","","","","","-1.1",",W,18,","","","","","29.7",",,W,10,","28.3",",W,04,","640.7","W","259.2",",W","81.9",",,,W","","","9.97",",W","17.43",",,,W","2.52",",,,W","","","20",",W","100","1,W","15.6",",W","17.0","1,W"
"USW00003179","2001-02","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.9",",W","1.4","W","1.4",",W","11",",W","10",",W","1",",W","","","","","0",",W","2",",W","0",",W","5",",W","0",",W","","","","","","","-1.7",",W,08,","","","","","67.3",",,W,12,","31.1",",W,04,","861.3","W","220.6",",W","177.5",",,,W","","","10.51",",W","16.59",",,,W","4.42",",,,W","","","70",",W","70",",W","15.6",",W","19.7",",W"
"USW00003179","2001-03","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.2",",W","3.3","W","1.9",",W","4",",W","2",",W","0",",W","","","","","0",",W","0",",W","0",",W","11",",W","0",",W","","","","","","","2.2",",W,02,","","","","","12.7",",,W,06,","31.1",",W,19,","1001.8","W","140.5",",W","18.3",",,,W","","","13.86",",W","20.04",",,,W","7.69",",,,W","","","250",",W","250",",W","9.4",",W","11.2",",W"
"USW00003179","2001-04","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.5",",W","6.7","W","3.4","1,W","4","1,W","3","1,W","0","1,W","","","","","0","1,W","0","1,W","0","1,W","14","1,W","1","1,W","","","","","","","1.1","1,W,10,","","","","","14.2","1,,W,07,","33.9","1,W,24,","1145.1","W","143.3","1,W","25.4","1,,,W","","","13.51","1,W","20.80","1,,,W","6.21","1,,,W","","","270","1,W","270","1,W","11.2","1,W","13.0","1,W"
"USW00003179","2001-05","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.1",",W","65.4","W","58.7",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","6",",W","","","","","","","4.4",",W,04,","","","","","0.0",",T,W,12,+","36.1",",W,23,","1158.2","W","13.1",",W","0.0",",T,,W","","","19.81",",W","27.94",",,,W","11.68",",,,W","0","3,W","70",",W","40",",W","13.4",",W","18.3",",W"
"USW00003179","2001-06","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.0",",W","169.5","W","104.1",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","29",",W","15",",W","","","","","","","8.9",",W,14,","","","","","0.0",",,W,30,+","36.7",",W,22,","1159.0","W","0.8",",W","0.0",",,,W","","","21.78",",W","31.10",",,,W","12.45",",,,W","","","250",",W","240",",W","9.4",",W","11.2",",W"
"USW00003179","2001-07","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.1",",W","293.6","W","124.1","2,W","1",",W","1",",W","0",",W","","","","","0","2,W","0","2,W","0","2,W","29","2,W","11","2,W","","","","","","","10.0","2,W,12,","","","","","4.6",",,W,05,","37.8","2,W,02,","0.0","W","0.0","2,W","4.6",",,,W","","","22.61","2,W","31.46","2,,,W","13.77","2,,,W","","","240",",W","250",",W","10.3",",W","11.2",",W"
"USW00003179","2001-08","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.7",",W","480.0","W","186.4",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","21",",W","","","","","","","12.2",",W,31,+","","","","","0.0",",T,W,21,+","38.3",",W,15,+","0.0","W","0.0",",W","0.0",",T,,W","","","24.35",",W","33.55",",,,W","15.15",",,,W","","","260",",W","250",",W","9.4",",W","10.3",",W"
"USW00003179","2001-09","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.3",",W","604.4","W","124.4","3,W","0",",W","0",",W","0",",W","","","","","0","3,W","0","3,W","0","3,W","27","3,W","16","3,W","","","","","","","10.0","3,W,29,","","","","","0.0",",T,W,30,+","39.4","3,W,30,","0.0","W","0.0","3,W","0.0",",T,,W","","","22.94","3,W","32.46","3,,,W","13.42","3,,,W","","","250",",W","250",",W","8.9",",W","10.7",",W"
"USW00003179","2001-10","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.8",",W","654.3","W","49.9",",W","4",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","7",",W","","","","","","","7.2",",W,18,","","","","","0.3",",,W,25,+","36.7",",W,01,","11.9","W","11.9",",W","1.2",",,,W","","","19.56",",W","28.25",",,,W","10.86",",,,W","","","20",",W","40",",W","9.4",",W","11.6",",W"
"USW00003179","2001-11","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.7",",W","657.1","W","2.8",",W","10",",W","2",",W","0",",W","","","","","0",",W","0",",W","0",",W","21",",W","0",",W","","","","","","","0.6",",W,28,","","","","","15.5",",,W,24,","30.6",",W,08,","115.2","W","103.3",",W","24.2",",,,W","","","14.98",",W","22.32",",,,W","7.65",",,,W","","","70",",W","80",",W","13.0",",W","17.9",",W"
"USW00003179","2001-12","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.6",",W","657.1","W","0.0",",W","6",",W","2",",W","0",",W","","","","","0",",W","5",",W","0",",W","7",",W","0",",W","","","","","","","-1.1",",W,18,","","","","","10.2",",,W,21,","25.0",",W,08,","367.2","W","252.0",",W","19.4",",,,W","","","10.20",",W","17.62",",,,W","2.79",",,,W","","","70",",W","60",",W","16.1",",W","20.6",",W"
"USW00003179","2002-01","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.6",",W","0.0","W","0.0",",W","3",",W","1",",W","0",",W","","","","","0",",W","11",",W","0",",W","10",",W","0",",W","","","","","","","-3.3",",W,31,+","","","","","3.3",",,W,28,","27.2",",W,12,+","598.9","W","231.7",",W","5.4",",,,W","","","10.86",",W","19.58",",,,W","2.14",",,,W","0","1,W","90",",W","40",",W","13.9",",W","19.2",",W"
"USW00003179","2002-02","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.3",",W","0.0","W","0.0",",W","1",",W","1",",W","0",",W","","","","","0",",W","7",",W","0",",W","19",",W","1",",W","","","","","","","-2.8",",W,01,","","","","","3.8",",,W,17,","32.2",",W,22,","751.1","W","152.2",",W","3.8",",,,W","","","12.90",",W","23.18",",,,W","2.61",",,,W","0",",W","70",",W","70",",W","16.5",",W","23.2",",W"
"USW00003179","2002-03","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.8",",W","0.0","W","0.0",",W","3",",W","3",",W","0",",W","","","","","0",",W","5",",W","0",",W","15",",W","0",",W","","","","","","","-2.2",",W,03,","","","","","5.6",",,W,17,","30.0",",W,21,","924.1","W","173.0",",W","12.4",",,,W","","","12.75",",W","21.68",",,,W","3.82",",,,W","0","1,W","290",",W","90",",W","13.0",",W","17.4",",W"
"USW00003179","2002-04","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.0",",W","7.5","W","7.5","1,W","4","1,W","1","1,W","0","1,W","","","","","0","1,W","0","1,W","0","1,W","17","1,W","1","1,W","","","","","","","4.4","1,W,19,","","","","","3.8","1,,W,24,","33.3","1,W,13,","1008.1","W","84.0","1,W","6.8","1,,,W","","","15.69","1,W","22.88","1,,,W","8.51","1,,,W","","","230","1,W","10","1,W","11.6","1,W","14.3","1,W"
"USW00003179","2002-05","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.3",",W","29.9","W","22.4","1,W","1",",W","0",",W","0",",W","","","","","0","1,W","0","1,W","0",",W","27",",W","5",",W","","","","","","","6.1","1,W,22,","","","","","1.0",",,W,20,","36.7",",W,29,","1043.1","W","35.0",",W","1.0",",,,W","","","18.03","1,W","26.05",",,,W","10.00","1,,,W","0","1,W","260",",W","230",",W","10.7",",W","12.5",",W"
"USW00003179","2002-06","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","3.0",",W","112.4","W","82.5","4,W","0",",W","0",",W","0",",W","","","","","0","4,W","0","4,W","0","1,W","29","1,W","12","1,W","","","","","","","10.6","4,W,14,","","","","","0.0",",T,W,23,+","38.9","1,W,05,","1043.1","W","0.0","1,W","0.0",",T,,W","","","21.64","4,W","30.59","1,,,W","12.70","4,,,W","","","290",",W","290",",W","10.3",",W","11.6",",W"
"USW00003179","2002-07","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.8",",W","295.6","W","183.2",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","22",",W","","","","","","","11.7",",W,02,","","","","","0.0",",T,W,11,+","38.9",",W,09,","0.0","W","0.0",",W","0.0",",T,,W","","","24.24",",W","33.44",",,,W","15.05",",,,W","","","250",",W","260",",W","10.3",",W","11.2",",W"
"USW00003179","2002-08","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.4",",W","458.4","W","162.8",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","20",",W","","","","","","","11.1",",W,24,","","","","","0.0",",T,W,31,+","39.4",",W,09,","0.0","W","0.0",",W","0.0",",T,,W","","","23.58",",W","32.78",",,,W","14.39",",,,W","0","1,W","250",",W","280",",W","8.9",",W","11.2",",W"
"USW00003179","2002-09","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.0",",W","617.6","W","159.2","1,W","1",",W","0",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","29","1,W","19","1,W","","","","","","","10.6","1,W,30,+","","","","","0.3",",,W,20,","43.3","1,W,01,","2.5","W","2.5","1,W","0.3",",,,W","","","23.74","1,W","33.99","1,,,W","13.49","1,,,W","0","5,W","260",",W","260",",W","9.4",",W","11.2",",W"
"USW00003179","2002-10","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","1.9",",W","641.9","W","24.3",",W","1",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","23",",W","5",",W","","","","","","","5.6",",W,28,","","","","","0.3",",,W,25,","36.7",",W,07,+","47.1","W","44.6",",W","0.3",",,,W","","","17.68",",W","24.85",",,,W","10.50",",,,W","0","2,W","260",",W","260",",W","8.9",",W","10.3",",W"
"USW00003179","2002-11","33.97528","-117.63611","198.1","CHINO AIRPORT, CA US","2.6",",W","652.2","W","10.3","1,W","4",",W","1",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","25","1,W","2","1,W","","","","","","","3.3","1,W,18,+","","","","","5.6",",,W,08,","32.8","1,W,21,","110.3","W","63.2","1,W","8.4",",,,W","","","16.51","1,W","25.44","1,,,W","7.57","1,,,W","0","1,W","50",",W","50",",W","15.6",",W","25.9",",W"
