"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120107","1982-04","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","0.0","5,S","","","","","","","0","4,S","0","4,S","0","2,S","10","2,S","0","2,S","0.5","4,S,15,","","","24.4","2,S,10,","","","162.3","2,S","","","12.00","5,S","18.66","2,,,S","5.34","4,,,S"
"SPE00120107","1982-05","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","","","","","","","","","0","3,S","0","3,S","","","","","","","0.8","3,S,08,","","","","","","","","","","","","","","","9.05","3,,,S"
"SPE00120107","1982-06","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","73.3","3,S","","","","","","","0","2,S","0","2,S","0","1,S","28","1,S","2","1,S","7.6","2,S,04,","","","35.1","1,S,30,","","","6.9","1,S","","","20.80","3,S","28.11","1,,,S","13.49","2,,,S"
"SPE00120107","1982-09","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","","","","","","","","","0","5,S","0","5,S","0","5,S","20","5,S","0","5,S","5.3","5,S,27,","","","31.2","5,S,09,","","","","","","","18.55","7,S","25.17","5,,,S","11.93","5,,,S"
"SPE00120107","1982-11","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","","","","","","","","","0","5,S","4","5,S","0","3,S","0","3,S","0","3,S","-2.0","5,S,30,","","","20.9","3,S,01,","","","","","","","8.94","6,S","13.71","3,,,S","4.16","5,,,S"
"SPE00120107","1983-01","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","18.4","5,S,26,","","","","","","","","","13.38","5,,,S","",""
"SPE00120107","1983-03","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","","","","","","","","","","","","","0","4,S","6","4,S","0","4,S","","","","","23.7","4,S,22,","","","","","","","","","18.33","4,,,S","",""
"SPE00120107","1983-05","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","","","","","","","","","0","5,S","0","5,S","0","5,S","10","5,S","0","5,S","2.7","5,S,21,","","","26.5","5,S,29,","","","","","","","13.44","8,S","19.65","5,,,S","7.24","5,,,S"
"SPE00120107","1983-06","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","91.5","5,S","","","","","","","0","5,S","0","5,S","0","5,S","25","5,S","7","5,S","6.6","5,S,02,","","","35.9","5,S,11,","","","4.4","5,S","","","21.81","5,S","30.13","5,,,S","13.50","5,,,S"
"SPE00120107","1983-09","40.6608","-3.1742","639.0","GUADALAJARA, SP","","","90.9","4,S","","","","","","","0","2,S","0","2,S","0","2,S","28","2,S","9","2,S","8.0","2,S,11,","","","34.7","2,S,25,","","","0.9","2,S","","","21.80","4,S","30.00","2,,,S","13.61","2,,,S"
