"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"HO000078714","1979-01","14.83","-88.86","387.0","CATACAMAS, HO","6",",I","5",",I","0",",I","5.1",",,I,03,","19.8",",,,I"
"HO000078714","1979-02","14.83","-88.86","387.0","CATACAMAS, HO","7",",I","4",",I","0",",I","6.5",",,I,20,","25.6",",,,I"
"HO000078714","1979-03","14.83","-88.86","387.0","CATACAMAS, HO","8",",I","5",",I","0",",I","15.4",",,I,28,","48.9",",,,I"
"HO000078714","1979-04","14.83","-88.86","387.0","CATACAMAS, HO","14",",I","10",",I","3",",I","74.2",",,I,29,","233.0",",,,I"
"HO000078714","1979-05","14.83","-88.86","387.0","CATACAMAS, HO","8",",I","4",",I","0",",I","18.4",",,I,14,","44.9",",,,I"
"HO000078714","1979-06","14.83","-88.86","387.0","CATACAMAS, HO","25",",I","18",",I","3",",I","46.6",",,I,13,","263.9",",,,I"
"HO000078714","1979-07","14.83","-88.86","387.0","CATACAMAS, HO","20",",I","13",",I","1",",I","26.6",",,I,23,","133.9",",,,I"
"HO000078714","1979-08","14.83","-88.86","387.0","CATACAMAS, HO","23",",I","18",",I","1",",I","25.8",",,I,09,","243.1",",,,I"
"HO000078714","1979-09","14.83","-88.86","387.0","CATACAMAS, HO","22",",I","17",",I","1",",I","54.5",",,I,06,","236.8",",,,I"
"HO000078714","1979-10","14.83","-88.86","387.0","CATACAMAS, HO","21",",I","16",",I","2",",I","45.6",",,I,12,","271.4",",,,I"
"HO000078714","1979-11","14.83","-88.86","387.0","CATACAMAS, HO","16",",I","6",",I","0",",I","25.0",",,I,02,","78.3",",,,I"
"HO000078714","1979-12","14.83","-88.86","387.0","CATACAMAS, HO","16",",I","8",",I","0",",I","16.5",",,I,07,","67.9",",,,I"
"HO000078714","1980-01","14.83","-88.86","387.0","CATACAMAS, HO","11",",I","2",",I","0",",I","2.6",",,I,14,","16.4",",,,I"
"HO000078714","1980-02","14.83","-88.86","387.0","CATACAMAS, HO","5",",I","3",",I","0",",I","9.2",",,I,08,","18.3",",,,I"
"HO000078714","1980-03","14.83","-88.86","387.0","CATACAMAS, HO","4",",I","1",",I","0",",I","3.2",",,I,03,","7.2",",,,I"
"HO000078714","1980-04","14.83","-88.86","387.0","CATACAMAS, HO","5",",I","2",",I","0",",I","8.0",",,I,15,","16.0",",,,I"
"HO000078714","1980-05","14.83","-88.86","387.0","CATACAMAS, HO","11",",I","7",",I","2",",I","47.6",",,I,13,","149.3",",,,I"
"HO000078714","1980-06","14.83","-88.86","387.0","CATACAMAS, HO","25",",I","19",",I","4",",I","49.6",",,I,03,","326.2",",,,I"
"HO000078714","1980-07","14.83","-88.86","387.0","CATACAMAS, HO","26",",I","17",",I","1",",I","48.3",",,I,22,","234.7",",,,I"
"HO000078714","1980-08","14.83","-88.86","387.0","CATACAMAS, HO","26",",I","18",",I","3",",I","39.1",",,I,08,","252.1",",,,I"
"HO000078714","1980-09","14.83","-88.86","387.0","CATACAMAS, HO","21",",I","14",",I","2",",I","32.9",",,I,10,","197.3",",,,I"
"HO000078714","1980-10","14.83","-88.86","387.0","CATACAMAS, HO","27",",I","18",",I","6",",I","66.1",",,I,11,","382.2",",,,I"
"HO000078714","1980-11","14.83","-88.86","387.0","CATACAMAS, HO","18",",I","8",",I","0",",I","13.0",",,I,23,","49.8",",,,I"
"HO000078714","1980-12","14.83","-88.86","387.0","CATACAMAS, HO","9",",I","2",",I","0",",I","11.8",",,I,11,","24.7",",,,I"
"HO000078714","1981-01","14.83","-88.86","387.0","CATACAMAS, HO","1",",I","1",",I","0",",I","3.8",",,I,28,","3.8",",,,I"
"HO000078714","1981-02","14.83","-88.86","387.0","CATACAMAS, HO","9",",I","2",",I","0",",I","10.3",",,I,19,","22.6",",,,I"
"HO000078714","1981-03","14.83","-88.86","387.0","CATACAMAS, HO","5",",I","2",",I","0",",I","6.8",",,I,29,","14.3",",,,I"
"HO000078714","1981-04","14.83","-88.86","387.0","CATACAMAS, HO","9",",I","5",",I","0",",I","13.2",",,I,03,","42.3",",,,I"
"HO000078714","1981-05","14.83","-88.86","387.0","CATACAMAS, HO","7",",I","6",",I","2",",I","61.0",",,I,09,","117.7",",,,I"
"HO000078714","1981-06","14.83","-88.86","387.0","CATACAMAS, HO","25",",I","17",",I","4",",I","40.0",",,I,01,","266.0",",,,I"
"HO000078714","1981-07","14.83","-88.86","387.0","CATACAMAS, HO","24",",I","15",",I","2",",I","40.9",",,I,12,","189.7",",,,I"
"HO000078714","1981-08","14.83","-88.86","387.0","CATACAMAS, HO","21",",I","13",",I","3",",I","65.0",",,I,16,","218.5",",,,I"
"HO000078714","1981-09","14.83","-88.86","387.0","CATACAMAS, HO","19",",I","10",",I","1",",I","30.8",",,I,15,","96.5",",,,I"
"HO000078714","1981-10","14.83","-88.86","387.0","CATACAMAS, HO","24",",I","12",",I","1",",I","32.7",",,I,02,","114.1",",,,I"
"HO000078714","1981-11","14.83","-88.86","387.0","CATACAMAS, HO","6",",I","2",",I","0",",I","15.6",",,I,27,","27.7",",,,I"
"HO000078714","1981-12","14.83","-88.86","387.0","CATACAMAS, HO","14",",I","5",",I","0",",I","7.6",",,I,24,","30.8",",,,I"
"HO000078714","1982-01","14.83","-88.86","387.0","CATACAMAS, HO","12",",I","4",",I","0",",I","6.7",",,I,07,","30.0",",,,I"
"HO000078714","1982-02","14.83","-88.86","387.0","CATACAMAS, HO","12",",I","7",",I","0",",I","22.9",",,I,02,","70.7",",,,I"
"HO000078714","1982-03","14.83","-88.86","387.0","CATACAMAS, HO","11",",I","1",",I","0",",I","6.7",",,I,10,","18.6",",,,I"
"HO000078714","1982-04","14.83","-88.86","387.0","CATACAMAS, HO","4",",I","3",",I","0",",I","14.2",",,I,30,","22.6",",,,I"
"HO000078714","1982-05","14.83","-88.86","387.0","CATACAMAS, HO","21",",I","12",",I","2",",I","64.2",",,I,30,","218.5",",,,I"
"HO000078714","1982-06","14.83","-88.86","387.0","CATACAMAS, HO","23",",I","18",",I","1",",I","25.6",",,I,13,","240.9",",,,I"
"HO000078714","1982-07","14.83","-88.86","387.0","CATACAMAS, HO","22",",I","17",",I","1",",I","80.0",",,I,13,","254.1",",,,I"
"HO000078714","1982-08","14.83","-88.86","387.0","CATACAMAS, HO","21",",I","12",",I","1",",I","25.8",",,I,17,","149.4",",,,I"
"HO000078714","1982-09","14.83","-88.86","387.0","CATACAMAS, HO","22",",I","16",",I","4",",I","67.7",",,I,29,","289.0",",,,I"
"HO000078714","1982-10","14.83","-88.86","387.0","CATACAMAS, HO","19",",I","13",",I","0",",I","11.2",",,I,08,","71.7",",,,I"
"HO000078714","1982-11","14.83","-88.86","387.0","CATACAMAS, HO","16",",I","7",",I","0",",I","16.3",",,I,05,","70.7",",,,I"
"HO000078714","1982-12","14.83","-88.86","387.0","CATACAMAS, HO","16",",I","10",",I","0",",I","12.6",",,I,24,","77.1",",,,I"
"HO000078714","1983-01","14.83","-88.86","387.0","CATACAMAS, HO","4",",I","0",",I","0",",I","0.9",",,I,19,","2.2",",,,I"
"HO000078714","1983-02","14.83","-88.86","387.0","CATACAMAS, HO","3",",I","0",",I","0",",I","1.8",",,I,25,","3.3",",,,I"
"HO000078714","1983-03","14.83","-88.86","387.0","CATACAMAS, HO","1",",I","0",",I","0",",I","0.3",",,I,01,","0.3",",,,I"
"HO000078714","1983-04","14.83","-88.86","387.0","CATACAMAS, HO","3",",I","2",",I","1",",I","38.0",",,I,02,","44.4",",,,I"
"HO000078714","1983-05","14.83","-88.86","387.0","CATACAMAS, HO","8",",I","6",",I","1",",I","35.5",",,I,04,","78.6",",,,I"
"HO000078714","1983-06","14.83","-88.86","387.0","CATACAMAS, HO","24",",I","14",",I","2",",I","42.3",",,I,17,","191.9",",,,I"
"HO000078714","1983-07","14.83","-88.86","387.0","CATACAMAS, HO","29",",I","22",",I","3",",I","35.7",",,I,22,","273.4",",,,I"
"HO000078714","1983-08","14.83","-88.86","387.0","CATACAMAS, HO","23",",I","18",",I","0",",I","22.7",",,I,21,","180.2",",,,I"
