"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00361423","1946-03","39.85","-75.36667","27.1","CHESTER, PA US","","","","","6","1,6","5","1,6","0","1,6","","","","","","","","","","","","","","","","","","","","","","","","","23.1","1,,6,18,","","","","","","","54.3","1,,,6","","","","","","","",""
"USC00361423","1946-04","39.85","-75.36667","27.1","CHESTER, PA US","","","0.8","5,6","6",",6","4",",6","0",",6","","","","","0","5,6","1","5,6","0","4,6","6","4,6","0","4,6","","","","","0.0","5,6,11,","","","","","15.2",",,6,25,","27.2","4,6,24,","","","178.8","4,6","39.0",",,,6","","","11.18","5,6","17.03","4,,,6","5.33","5,,,6"
"USC00361423","1946-05","39.85","-75.36667","27.1","CHESTER, PA US","","","18.8","5,6","12",",6","9",",6","2",",6","","","","","0","5,6","0","5,6","0","5,6","19","5,6","0","5,6","","","","","5.6","5,6,10,","","","","","45.5",",,6,18,","30.6","5,6,27,","","","50.8","5,6","169.1",",,,6","","","17.10","5,6","22.93","5,,,6","11.27","5,,,6"
"USC00361423","1946-06","39.85","-75.36667","27.1","CHESTER, PA US","","","88.9",",6","10",",6","7",",6","3",",6","","","","","0",",6","0",",6","0",",6","27",",6","2",",6","","","","","8.9",",6,10,","","","","","68.6",",,6,02,","32.8",",6,25,","","","28.3",",6","201.6",",,,6","","","20.35",",6","25.98",",,,6","14.72",",,,6"
"USC00361423","1946-07","39.85","-75.36667","27.1","CHESTER, PA US","","","169.3",",6","6",",6","4",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","6",",6","","","","","11.1",",6,28,","","","","","52.1",",,6,23,","35.0",",6,20,+","0.0","6","0.0",",6","96.1",",,,6","","","23.80",",6","29.65",",,,6","17.94",",,,6"
"USC00361423","1946-08","39.85","-75.36667","27.1","CHESTER, PA US","","","104.5",",6","11",",6","6",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","1",",6","","","","","10.0",",6,31,","","","","","49.0",",,6,07,","32.2",",6,05,","3.1","6","3.1",",6","116.0",",,,6","","","21.60",",6","26.85",",,,6","16.36",",,,6"
"USC00361423","1946-09","39.85","-75.36667","27.1","CHESTER, PA US","","","","","4",",6","4",",6","1",",6","","","","","0","5,6","0","5,6","0","1,6","27","1,6","1","1,6","","","","","7.8","5,6,15,","","","","","67.6",",,6,25,","32.8","1,6,10,","","","","","101.2",",,,6","","","20.62","6,6","27.19","1,,,6","14.04","5,,,6"
"USC00361423","1946-10","39.85","-75.36667","27.1","CHESTER, PA US","","","18.6",",6","10",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","20",",6","0",",6","","","","","4.4",",6,22,+","","","","","12.2",",,6,10,","30.6",",6,06,","","","90.6",",6","50.2",",,,6","","","16.01",",6","21.98",",,,6","10.04",",,,6"
"USC00361423","1946-11","39.85","-75.36667","27.1","CHESTER, PA US","","","0.0",",6","","","","","","","","","","","0",",6","6",",6","0",",6","2",",6","0",",6","","","","","-3.3",",6,24,","","","","","","","24.4",",6,04,","","","254.3",",6","","","","","9.86",",6","15.03",",,,6","4.68",",,,6"
"USC00361423","1946-12","39.85","-75.36667","27.1","CHESTER, PA US","","","","","5","1,6","3","1,6","1","1,6","","","","","0","5,6","19","5,6","2","3,6","0","3,6","0","3,6","","","","","-8.9","5,6,03,+","","","","","36.3","1,,6,21,","18.9","3,6,11,","","","","","51.3","1,,,6","","","3.21","6,6","8.44","3,,,6","-2.02","5,,,6"
