"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSME0021","2021-01","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","0","4,N","0","4,N","0","4,N","","","0","4,N","","","0","4,,N,31,+","0.0","4,T,N,31,+","5.3",",a,,N","0","4,,,N"
"US1KSME0021","2021-02","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","","","","","","","","","","","","","","","","","2.0","5,a,,N","",""
"US1KSME0021","2021-03","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","7","2,N","5","2,N","0","2,N","0","2,N","0","2,N","0","2,T,N,25,","0","2,T,N,25,","24.1","2,,N,14,","66.2","2,,,N","0","2,T,,N"
"US1KSME0021","2021-04","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","0","4,N","0","4,N","0","4,N","","","0","4,N","","","0","4,,N,30,+","0.0","4,T,N,29,+","2.8","2,a,,N","0","4,,,N"
"US1KSME0021","2021-05","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","18","1,N","12","1,N","2","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","54.6","1,,N,31,","160.8","1,,,N","0","1,,,N"
"US1KSME0021","2021-06","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","5","3,N","3","3,N","1","3,N","0","3,N","0","3,N","0","3,,N,30,+","0","3,,N,30,+","27.9","3,,N,26,","47.0","3,,,N","0","3,,,N"
"US1KSME0021","2021-07","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","6","2,N","2","2,N","0","2,N","","","0","2,N","","","0","2,,N,31,+","11.9","2,,N,26,","19.3","2,,,N","0","2,,,N"
"US1KSME0021","2021-08","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","","","","","","","","","","","","","","","","","23.4","1,a,,N","",""
"US1KSME0021","2021-09","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","6","1,N","2","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,30,+","0","1,,N,30,+","18.3","1,,N,30,","32.0","1,,,N","0","1,,,N"
"US1KSME0021","2021-10","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","6","2,N","3","2,N","1","2,N","0","2,N","0","2,N","0","2,,N,31,+","0","2,,N,31,+","31.8","2,,N,13,","48.7","2,,,N","0","2,,,N"
"US1KSME0021","2021-11","37.431375","-100.486952","836.7","MEADE 12.4 NW, KS US","1",",N","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","0.8",",,N,03,","0.8",",,,N","0",",,,N"
