"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR001751001","1972-06","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"BR001751001","1972-07","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","2",",I","1",",I","0",",I","25.0",",,I,17,","26.0",",,,I"
"BR001751001","1972-08","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","2",",I","1",",I","0",",I","4.1",",,I,06,","6.1",",,,I"
"BR001751001","1972-09","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","6",",I","4",",I","0",",I","11.0",",,I,28,","36.4",",,,I"
"BR001751001","1972-10","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","14",",I","12",",I","3",",I","95.0",",,I,11,","355.0",",,,I"
"BR001751001","1972-11","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","21",",I","18",",I","5",",I","100.0",",,I,22,","392.8",",,,I"
"BR001751001","1972-12","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","17",",I","15",",I","5",",I","70.0",",,I,12,","316.0",",,,I"
"BR001751001","1973-01","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","13",",I","10",",I","2",",I","53.0",",,I,17,","160.4",",,,I"
"BR001751001","1973-02","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","12",",I","10",",I","0",",I","23.0",",,I,06,","108.0",",,,I"
"BR001751001","1973-03","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","13",",I","10",",I","4",",I","68.0",",,I,06,","242.5",",,,I"
"BR001751001","1973-04","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","12",",I","11",",I","3",",I","50.0",",,I,12,","162.0",",,,I"
"BR001751001","1973-05","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","4",",I","4",",I","0",",I","13.0",",,I,22,","30.0",",,,I"
"BR001751001","1973-06","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","4",",I","3",",I","0",",I","12.0",",,I,29,","24.0",",,,I"
"BR001751001","1973-07","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","2",",I","2",",I","0",",I","5.0",",,I,07,","9.0",",,,I"
"BR001751001","1973-08","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"BR001751001","1973-09","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","0",",I","0",",I","0",",I","0.0",",,I,30,+","0.0",",,,I"
"BR001751001","1973-10","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","4",",I","4",",I","2",",I","43.2",",,I,08,","92.9",",,,I"
"BR001751001","1973-11","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","9",",I","9",",I","1",",I","42.0",",,I,19,","162.6",",,,I"
"BR001751001","1973-12","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","7",",I","6",",I","0",",I","20.2",",,I,02,","45.7",",,,I"
"BR001751001","1974-02","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","4",",I","4",",I","0",",I","25.3",",,I,03,","54.3",",,,I"
"BR001751001","1974-03","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","15",",I","14",",I","0",",I","18.3",",,I,20,","161.5",",,,I"
"BR001751001","1974-04","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","10",",I","9",",I","1",",I","59.3",",,I,22,","108.5",",,,I"
"BR001751001","1974-05","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","2",",I","2",",I","0",",I","7.4",",,I,13,","10.0",",,,I"
"BR001751001","1974-06","-17.86","-51.39","0.0","PONTE RIO DOCE, BR","1",",I","0",",I","0",",I","1.4",",,I,19,","1.4",",,,I"
