"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00325484","1948-07","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","","","112.2","2,0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","29","2,0","9","2,0","","","3","","9.4",",0,27,+","0",",,0,31,+","0",",,0,31,+","19.6",",,0,15,","41.7","2,0,05,","0.3","0","0.3","2,0","51.7",",,,0","0",",,,0","22.30","2,0","29.79","2,,,0","14.82",",,,0"
"USC00325484","1948-08","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","","","120.7",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","3","","3","","6.1",",0,01,","0",",,0,31,+","0",",,0,31,+","15.2",",,0,07,","36.7",",0,30,","4.8","0","4.5",",0","33.0",",,,0","0",",,,0","22.08",",0","30.47",",,,0","13.69",",,,0"
"USC00325484","1948-09","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","","","66.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","10",",0","","","","","1.7",",0,09,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,20,","40.6",",0,15,","49.0","0","44.2",",0","0.0",",T,,0","0",",,,0","19.07",",0","28.59",",,,0","9.55",",,,0"
"USC00325484","1948-10","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","","","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","4",",0","0",",0","3","","","","-11.1",",0,17,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,06,","26.7",",0,03,","353.3","0","304.3",",0","35.3",",,,0","0",",,,0","8.52",",0","17.16",",,,0","-0.12",",,,0"
"USC00325484","1948-11","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","","","0.0",",0","8",",0","2",",0","0",",0","0",",0","1",",0","0",",0","24",",0","3",",0","0",",0","0",",0","","","","","-11.7",",0,20,","0",",,0,30,+","25",",,0,10,","10.4",",,0,05,","13.9",",0,01,","890.5","0","537.2",",0","19.3",",,,0","28",",,,0","0.43",",0","5.43",",,,0","-4.58",",,,0"
"USC00325484","1948-12","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","","","0.0","3,0","6",",0","1",",0","0",",0","","","3","1,0","12",",0","31",",0","20","3,0","0","3,0","0","3,0","","","","","-26.7",",0,23,","","","25","1,,0,19,+","6.1",",,0,15,","13.9","3,0,02,","1655.6","0","765.1","3,0","11.2",",,,0","108","1,,,0","-8.85","3,0","-2.50","3,,,0","-15.21",",,,0"
"USC00325484","1949-01","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","0.0","0","0.0",",0","6","1,0","3","1,0","0","1,0","","","4","1,0","21",",0","31",",0","25",",0","0",",0","0",",0","","","","","-36.1",",0,21,","","","76","1,,0,04,","5.1","1,,0,04,","9.4",",0,07,","2684.8","0","1029.2",",0","13.7","1,,,0","203","1,,,0","-14.87",",0","-8.55",",,,0","-21.18",",,,0"
"USC00325484","1949-02","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","","","2",",0","19",",0","28",",0","24",",0","0",",0","0",",0","","","","","-31.1",",0,20,+","","","165",",,0,19,","4.6",",,0,19,","6.1",",0,17,","3606.6","0","921.8",",0","9.8",",,,0","247",",,,0","-14.59",",0","-7.96",",,,0","-21.21",",,,0"
"USC00325484","1949-03","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","0.0","0","0.0",",0","3",",0","1",",0","0",",0","","","2",",0","4",",0","31",",0","10",",0","0",",0","0",",0","","","","","-21.1",",0,15,","","","58",",,0,23,","5.8",",,0,23,","10.6",",0,29,+","4289.7","0","683.1",",0","7.8",",,,0","101",",,,0","-3.70",",0","1.65",",,,0","-9.06",",,,0"
"USC00325484","1949-04","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","3.1","0","3.1",",0","4",",0","2",",0","0",",0","","","0",",0","0",",0","13",",0","0",",0","13",",0","0",",0","","","","","-7.2",",0,15,+","","","0",",,0,30,+","17.8",",,0,30,","31.1",",0,29,","4534.2","0","244.5",",0","36.1",",,,0","0",",,,0","10.29",",0","19.67",",,,0","0.91",",,,0"
"USC00325484","1949-05","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","18.6","0","15.5",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","23",",0","2",",0","","","","","-2.2",",0,24,","0",",,0,31,+","0",",,0,31,+","25.7",",,0,01,","32.2",",0,29,+","4654.0","0","119.8",",0","45.0",",,,0","0",",,,0","14.97",",0","23.43",",,,0","6.52",",,,0"
"USC00325484","1949-06","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","76.2","0","57.6",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","","","8","","3.9",",0,07,","0",",,0,30,+","0",",T,0,29,","26.2",",,0,01,","38.3",",0,29,","4682.6","0","28.6",",0","55.5",",,,0","0",",T,,0","19.30",",0","27.88",",,,0","10.72",",,,0"
"USC00325484","1949-07","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","207.0","0","130.8","1,0","10",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","14",",0","1","","12","","5.0","1,0,22,","0",",,0,31,+","0",",,0,31,+","37.6",",,0,13,","42.2",",0,02,","3.3","0","3.3",",0","101.8",",,,0","0",",,,0","22.60","1,0","31.55",",,,0","13.66","1,,,0"
"USC00325484","1949-08","46.75","-100.86667","509.0","MANDAN FORT LINCOLN, ND US","359.0","0","152.0",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","7","","4.4",",0,31,","0",",,0,31,+","0",",,0,31,+","11.9",",,0,14,","41.7",",0,07,","12.2","0","8.9",",0","39.8",",,,0","0",",,,0","22.95",",0","31.81",",,,0","14.09",",,,0"
