"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COEL0090","2018-06","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","8",",N","3",",N","1",",N","","","","","29.0",",,N,25,","56.3",",,,N","",""
"US1COEL0090","2018-07","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","10","1,N","6","1,N","0","1,N","","","","","18.5","1,,N,05,","59.9","1,,,N","",""
"US1COEL0090","2018-08","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","5","2,N","1","2,N","0","2,N","","","","","4.8","2,,N,07,","10.7","2,,,N","",""
"US1COEL0090","2018-09","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","6","3,N","4","3,N","1","3,N","","","","","25.4","3,,N,07,","42.6","3,,,N","",""
"US1COEL0090","2018-10","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","7","5,N","7","5,N","1","5,N","","","","","30.5","5,,N,08,","67.9","5,,,N","",""
"US1COEL0090","2018-11","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","3","4,N","2","4,N","0","4,N","","","","","3.6","4,,N,25,","8.9","4,,,N","",""
"US1COEL0090","2019-01","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","5","3,N","2","3,N","0","3,N","5","3,N","102","3,,N,12,","8.6","3,,N,12,","19.8","1,a,,N","249","3,,,N"
"US1COEL0090","2019-02","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","4","1,N","1","1,N","0","1,N","3","1,N","97","1,,N,23,","6.1","1,,N,23,","8.9","1,,,N","194","1,,,N"
"US1COEL0090","2019-03","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","8","1,N","6","1,N","0","1,N","4","5,N","76","5,,N,23,","22.9","1,,N,13,","73.3","1,,,N","244","5,,,N"
"US1COEL0090","2019-05","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","14","4,N","6","4,N","1","4,N","","","","","58.7","4,,N,21,","107.1","4,,,N","",""
"US1COEL0090","2019-06","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","10","5,N","4","5,N","0","5,N","","","","","16.3","5,,N,02,","41.9","5,,,N","",""
"US1COEL0090","2019-07","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","11","2,N","3","2,N","0","2,N","","","","","10.4","2,,N,22,","27.3","2,,,N","",""
"US1COEL0090","2019-08","39.071599","-104.039312","1931.8","SIMLA 5.3 SSE, CO US","10",",N","7",",N","3",",N","","","","","35.3",",,N,09,","111.7",",,,N","",""
