"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYNT0053","2013-11","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","2","1,N","1","1,N","0","1,N","1","4,N","51","4,,N,21,","2.8","1,,N,04,","4.6","1,,,N","61","4,,,N"
"US1WYNT0053","2014-01","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","10",",N","4",",N","0",",N","6","3,N","152","3,,N,27,+","8.9",",,N,14,","36.7",",,,N","604","3,,,N"
"US1WYNT0053","2014-02","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","9","1,N","2","1,N","0","1,N","7","2,N","107","2,,N,26,","6.4","1,,N,28,","20.3","1,,,N","426","2,,,N"
"US1WYNT0053","2014-03","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","10",",N","8",",N","1",",N","10",",N","178",",,N,31,","26.9",",,N,31,","70.1",",,,N","762",",,,N"
"US1WYNT0053","2014-04","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","9",",N","7",",N","0",",N","6","2,N","76","2,,N,28,+","14.0",",,N,28,","48.5",",,,N","303","2,,,N"
"US1WYNT0053","2014-05","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","10",",N","8",",N","0",",N","","","","","15.0",",,N,23,","62.4",",,,N","",""
"US1WYNT0053","2014-06","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","8","2,N","5","2,N","0","2,N","","","","","20.6","2,,N,08,","47.0",",a,,N","",""
"US1WYNT0053","2014-07","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","7","1,N","3","1,N","0","1,N","","","","","6.1","1,,N,29,","17.1","1,,,N","",""
"US1WYNT0053","2014-08","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","12",",N","6",",N","0",",N","","","","","15.0",",,N,23,","48.3",",,,N","",""
"US1WYNT0053","2014-10","42.766832","-106.355149","1908.7","CASPER 4.7 SSW, WY US","6",",N","3",",N","0",",N","1","5,N","51","5,,N,03,","14.0",",,N,13,","32.3",",,,N","51","5,,,N"
