"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NVWH0130","2016-09","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","","","","","","","","","","","","","0.0","3,a,,N","",""
"US1NVWH0130","2016-10","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","","","","","","","","","","","","","73.0","3,a,,N","",""
"US1NVWH0130","2017-02","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","11","4,N","4","4,N","1","4,N","","","","","30.2","4,,N,21,","105.5","1,a,,N","",""
"US1NVWH0130","2017-07","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","2","1,N","1","1,N","0","1,N","","","","","13.0","1,,N,30,","14.0","1,,,N","",""
"US1NVWH0130","2017-09","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","8","2,N","1","2,N","0","2,N","","","","","4.8","2,,N,22,","9.8","2,,,N","",""
"US1NVWH0130","2017-10","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","1","3,N","1","3,N","0","3,N","","","","","8.4","3,,N,20,","8.4",",a,,N","",""
"US1NVWH0130","2017-11","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","4",",N","3",",N","0",",N","","","","","14.0",",,N,16,","34.4",",,,N","",""
"US1NVWH0130","2017-12","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","2",",N","0",",N","0",",N","","","","","1.3",",,N,20,","2.3",",,,N","",""
"US1NVWH0130","2018-01","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","6",",N","2",",N","0",",N","","","","","11.7",",,N,06,","19.1",",,,N","",""
"US1NVWH0130","2018-02","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","5","1,N","0","1,N","0","1,N","","","","","2.3","1,,N,12,","6.1","1,,,N","",""
"US1NVWH0130","2018-03","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","11","3,N","6","3,N","0","3,N","","","","","14.7","3,,N,23,","59.1","3,,,N","",""
"US1NVWH0130","2018-04","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","","","","","","","","","","","","","15.6","3,a,,N","",""
"US1NVWH0130","2018-12","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","7",",N","2",",N","0",",N","","","","","20.3",",,N,25,","33.4",",,,N","",""
"US1NVWH0130","2019-01","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","7",",N","6",",N","1",",N","","","","","25.4",",,N,07,","93.5",",,,N","",""
"US1NVWH0130","2019-02","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","17","1,N","11","1,N","0","1,N","","","","","23.6","1,,N,14,","106.6","1,,,N","",""
"US1NVWH0130","2019-03","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","12","4,N","5","4,N","0","4,N","","","","","10.4","4,,N,23,","35.0","1,a,,N","",""
"US1NVWH0130","2019-06","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","1",",N","0",",N","0",",N","","","","","0.3",",,N,04,","0.3",",,,N","",""
"US1NVWH0130","2019-07","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","2",",N","1",",N","0",",N","","","","","7.6",",,N,27,","8.1",",,,N","",""
"US1NVWH0130","2019-08","39.543736","-119.813068","139.0","RENO 0.6 ENE, NV US","0",",N","0",",N","0",",N","","","","","0.0",",,N,31,+","0.0",",,,N","",""
